Period_Index,Rep_Period,Rep_Period_Index
1,93,1
2,93,1
3,93,1
4,93,1
5,186,2
6,186,2
7,93,1
8,93,1
9,93,1
10,93,1
11,93,1
12,93,1
13,93,1
14,186,2
15,93,1
16,93,1
17,93,1
18,93,1
19,186,2
20,93,1
21,93,1
22,93,1
23,93,1
24,93,1
25,93,1
26,93,1
27,186,2
28,93,1
29,93,1
30,93,1
31,93,1
32,186,2
33,186,2
34,93,1
35,93,1
36,93,1
37,93,1
38,186,2
39,93,1
40,93,1
41,186,2
42,93,1
43,93,1
44,93,1
45,186,2
46,93,1
47,186,2
48,93,1
49,93,1
50,93,1
51,93,1
52,186,2
53,93,1
54,93,1
55,93,1
56,93,1
57,93,1
58,93,1
59,93,1
60,93,1
61,93,1
62,93,1
63,186,2
64,186,2
65,93,1
66,93,1
67,93,1
68,93,1
69,93,1
70,93,1
71,93,1
72,93,1
73,93,1
74,93,1
75,93,1
76,93,1
77,93,1
78,93,1
79,93,1
80,186,2
81,186,2
82,186,2
83,186,2
84,186,2
85,186,2
86,186,2
87,186,2
88,186,2
89,186,2
90,186,2
91,186,2
92,93,1
93,93,1
94,186,2
95,186,2
96,186,2
97,186,2
98,186,2
99,186,2
100,186,2
101,186,2
102,93,1
103,93,1
104,93,1
105,93,1
106,93,1
107,186,2
108,186,2
109,186,2
110,186,2
111,93,1
112,186,2
113,186,2
114,186,2
115,93,1
116,93,1
117,93,1
118,93,1
119,93,1
120,93,1
121,93,1
122,186,2
123,186,2
124,186,2
125,186,2
126,186,2
127,186,2
128,186,2
129,186,2
130,93,1
131,93,1
132,186,2
133,186,2
134,186,2
135,186,2
136,186,2
137,186,2
138,186,2
139,186,2
140,186,2
141,186,2
142,186,2
143,93,1
144,93,1
145,93,1
146,186,2
147,186,2
148,186,2
149,186,2
150,186,2
151,186,2
152,186,2
153,186,2
154,186,2
155,186,2
156,186,2
157,186,2
158,186,2
159,186,2
160,186,2
161,186,2
162,93,1
163,186,2
164,186,2
165,186,2
166,186,2
167,186,2
168,186,2
169,186,2
170,93,1
171,186,2
172,186,2
173,186,2
174,186,2
175,186,2
176,186,2
177,186,2
178,186,2
179,186,2
180,186,2
181,186,2
182,186,2
183,186,2
184,186,2
185,186,2
186,186,2
187,186,2
188,188,3
189,186,2
190,186,2
191,186,2
192,186,2
193,186,2
194,186,2
195,186,2
196,186,2
197,186,2
198,186,2
199,186,2
200,186,2
201,186,2
202,186,2
203,186,2
204,186,2
205,186,2
206,186,2
207,186,2
208,186,2
209,186,2
210,186,2
211,186,2
212,186,2
213,186,2
214,186,2
215,186,2
216,186,2
217,186,2
218,186,2
219,186,2
220,186,2
221,186,2
222,186,2
223,186,2
224,186,2
225,186,2
226,186,2
227,186,2
228,186,2
229,186,2
230,186,2
231,186,2
232,186,2
233,186,2
234,186,2
235,186,2
236,186,2
237,186,2
238,186,2
239,186,2
240,186,2
241,186,2
242,186,2
243,93,1
244,186,2
245,186,2
246,186,2
247,186,2
248,186,2
249,186,2
250,186,2
251,186,2
252,186,2
253,186,2
254,186,2
255,186,2
256,186,2
257,186,2
258,186,2
259,186,2
260,186,2
261,186,2
262,186,2
263,186,2
264,186,2
265,186,2
266,186,2
267,186,2
268,186,2
269,186,2
270,186,2
271,186,2
272,186,2
273,93,1
274,93,1
275,186,2
276,186,2
277,186,2
278,186,2
279,186,2
280,93,1
281,93,1
282,186,2
283,186,2
284,93,1
285,186,2
286,93,1
287,93,1
288,186,2
289,186,2
290,93,1
291,93,1
292,186,2
293,186,2
294,93,1
295,93,1
296,186,2
297,186,2
298,186,2
299,93,1
300,93,1
301,93,1
302,93,1
303,186,2
304,186,2
305,186,2
306,186,2
307,186,2
308,186,2
309,186,2
310,93,1
311,186,2
312,93,1
313,93,1
314,93,1
315,93,1
316,93,1
317,93,1
318,186,2
319,319,4
320,93,1
321,93,1
322,186,2
323,186,2
324,186,2
325,186,2
326,186,2
327,186,2
328,93,1
329,186,2
330,93,1
331,93,1
332,186,2
333,186,2
334,186,2
335,186,2
336,186,2
337,186,2
338,186,2
339,186,2
340,186,2
341,186,2
342,186,2
343,93,1
344,93,1
345,93,1
346,186,2
347,186,2
348,348,5
349,93,1
350,93,1
351,93,1
352,93,1
353,93,1
354,93,1
355,93,1
356,186,2
357,93,1
358,93,1
359,93,1
360,93,1
361,186,2
362,93,1
363,93,1
364,93,1
365,93,1
