Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,EV_shift
1,1,0,0.889717042,1,0.11572303
2,1,0,0.877715468,1,0.116679419
3,1,0,0.903424203,1,0.05661821
4,1,0,0.895153165,1,0.046863045
5,1,0,0.757258117,1,0.028500383
6,1,0,0.630928695,1,0.011667942
7,1,0,0.557177782,1,0.02869166
8,1,0,0.6072492,1,0.053749044
9,1,0.1779,0.423417866,1,0.096403979
10,1,0.429,0.007470775,1,0.175019128
11,1,0.5748,0.002535942,1,0.269892884
12,1,0.6484,0.002153709,1,0.356924254
13,1,0.6208,0.00445132,1,0.448163734
14,1,0.596,0.007711587,1,0.51434583
15,1,0.5013,0.100848213,1,0.514728386
16,1,0.3311,0.201802149,1,0.502869166
17,1,0.0642,0.141933054,1,0.512815608
18,1,0,0.567022562,1,0.496365723
19,1,0,0.946024895,1,0.47800306
20,1,0,0.923394203,1,0.541698546
21,1,0,0.953386247,1,0.52869166
22,1,0,0.929205418,1,0.451798011
23,1,0,0.849528909,1,0.385042081
24,1,0,0.665570974,1,0.304322877
