BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t57,41686.33203,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49338.33203
t58,45865.5394,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53517.5394
t59,54752.469911437314,0.0,-5764.365381437325,0.0,0.0,0.0,0.0,0.0,0.0,-56640.10453
t60,52662.09353932314,0.0,-1582.462339323145,0.0,0.0,0.0,0.0,0.0,0.0,-58731.6312
t61,53039.5296756431,0.0,-496.7119256430997,0.0,0.0,0.0,0.0,0.0,0.0,-60194.81775
t62,53535.56025,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61187.56025
t63,55765.192704894376,0.0,-1871.8083248943803,0.0,0.0,0.0,0.0,0.0,0.0,-61545.38438
t64,53617.56981,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61269.56981
t65,52768.15948000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60420.15948
t66,49518.96165135184,1150.2889986481678,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58321.25065
t67,47916.91426,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55568.91426
t68,39940.77618704817,5638.608512951847,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53231.3847
t69,39047.57949409114,4099.127075908862,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50798.70657
t70,40724.25226,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48376.25226
t71,37484.58264,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45136.58264
t72,34784.84192,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42436.84192
t73,32529.805569999997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40181.80557
t74,31038.436490000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38690.43649
t75,31796.058573153776,0.0,-1851.483353153777,0.0,0.0,0.0,0.0,0.0,0.0,-37596.57522
t76,30698.76371532994,1666.3350178383994,-2286.5171031683426,0.0,0.0,0.0,0.0,0.0,0.0,-37730.58163
t77,32710.801101257483,1872.7170575361306,-3673.706848793616,0.0,0.0,0.0,0.0,0.0,0.0,-38561.81131
t78,38498.91775143733,0.0,-5764.365381437325,0.0,0.0,0.0,0.0,0.0,0.0,-40386.55237
t79,31433.13362201085,5124.960554713235,-639.40482672409,0.0,0.0,0.0,0.0,0.0,0.0,-43570.68935
t80,39228.56431773352,3167.249061851905,-2597.1163195854197,0.0,0.0,0.0,0.0,0.0,0.0,-47450.69706
t81,45615.45057103955,1985.488125198888,-3778.8772562384365,0.0,0.0,0.0,0.0,0.0,0.0,-51474.06144
t82,53101.074511437335,0.0,-5764.365381437325,0.0,0.0,0.0,0.0,0.0,0.0,-54988.70913
t83,48029.456382032025,4022.335404702655,-1742.0299767346698,0.0,0.0,0.0,0.0,0.0,0.0,-57961.76181
t84,58351.57715189327,48.4350597720299,-5715.930321665295,0.0,0.0,0.0,0.0,0.0,0.0,-60336.08189
t85,56000.31053328029,1813.683134078518,-3950.6822473588068,0.0,0.0,0.0,0.0,0.0,0.0,-61515.31142
t86,54476.310529999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62128.31053
t87,54360.75742000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62012.75742
t88,53947.85939,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61599.85939
t89,52947.01461,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60599.01461
t90,51478.38878,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59130.38878
t91,45490.9346821557,3850.984977844306,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56993.91966
t92,45114.72923069639,2514.9943693036157,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55281.7236
t93,40045.23758963904,4522.045240360956,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52219.28283
t94,40938.33153,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48590.33153
t95,37398.5887,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45050.5887
t96,34818.18233,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42470.18233
t97,32849.66466,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40501.66466
t98,32122.710796307918,0.0,-771.7344063079181,0.0,0.0,0.0,0.0,0.0,0.0,-39002.97639
t99,32179.958029129808,0.0,-1620.76814912981,0.0,0.0,0.0,0.0,0.0,0.0,-38211.18988
t100,30650.363029999997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38302.36303
t101,31230.097390000003,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38882.09739
t102,35547.7493156696,0.0,-2824.0159156696004,0.0,0.0,0.0,0.0,0.0,0.0,-40375.7334
t103,35817.70876,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43469.70876
t104,39286.25705,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46938.25705
t105,43269.629660000006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50921.62966
t106,46870.61271,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54522.61271
t107,51504.52306752788,0.0,-1862.772397527875,0.0,0.0,0.0,0.0,0.0,0.0,-57293.75067
t108,52385.152819127696,0.0,-858.5905391277047,0.0,0.0,0.0,0.0,0.0,0.0,-59178.56228
t109,54685.15687537119,0.0,-2738.6122053711842,0.0,0.0,0.0,0.0,0.0,0.0,-59598.54467
t110,53633.69253052146,0.0,-2528.784830521454,0.0,0.0,0.0,0.0,0.0,0.0,-58756.9077
t111,50321.55747993566,0.0,-236.72721993565574,0.0,0.0,0.0,0.0,0.0,0.0,-57736.83026
t112,48756.296890000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56408.29689
t113,47198.97934,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54850.97934
t114,45189.31192362994,219.32690637006453,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53060.63883
t115,39471.7153933547,4007.2511066453008,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51130.9665
t116,37390.78805110187,4792.4991088981305,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49835.28716
t117,38178.01483440462,1868.9474655953818,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47698.9623
t118,37262.07803,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44914.07803
t119,34341.29112000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41993.29112
t120,32252.944120000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39904.94412
t121,30247.954140000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37899.95414
t122,32563.931366920173,0.0,-3565.7431469201765,0.0,0.0,0.0,0.0,0.0,0.0,-36650.18822
t123,27243.72651698101,3209.168832228159,-2555.196549209166,0.0,0.0,0.0,0.0,0.0,0.0,-35549.6988
t124,33420.277521437325,0.0,-5764.365381437325,0.0,0.0,0.0,0.0,0.0,0.0,-35307.91214
t125,27783.54415124901,2689.59978509416,-3074.765596343165,0.0,0.0,0.0,0.0,0.0,0.0,-35050.37834
t126,33865.10376143733,0.0,-5764.365381437325,0.0,0.0,0.0,0.0,0.0,0.0,-35752.73838
t127,30485.59306,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38137.59306
t128,33519.00645999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41171.00646
t129,36726.02725000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44378.02725
t130,39743.72739,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47395.72739
t131,42421.115470000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50073.11547
t132,44648.00017,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52300.00017
t133,46454.63208999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54106.63209
t134,47683.29771,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55335.29771
t135,48325.44211,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55977.44211
t136,48344.93592,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55996.93592
t137,47760.73861000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55412.73861
t138,46127.92449,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53779.92449
t139,43249.95991494311,625.3764050568861,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51527.33632
t140,36512.29291856268,5764.365381437325,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49928.6583
t141,36260.38048877211,3875.0904812278877,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47787.47097
t142,36525.20214021322,623.1923197867792,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44800.39446
t143,34203.92126,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41855.92126
t144,33493.530859386345,0.0,-1660.0585493863473,0.0,0.0,0.0,0.0,0.0,0.0,-39485.47231
t145,35209.6209801917,262.53477562281114,-5501.830605814514,0.0,0.0,0.0,0.0,0.0,0.0,-37622.32515
t146,34394.69165143732,0.0,-5764.365381437325,0.0,0.0,0.0,0.0,0.0,0.0,-36282.32627
t147,28909.38278905116,2203.780536193082,-3560.584845244243,0.0,0.0,0.0,0.0,0.0,0.0,-35204.57848
t148,27492.53474843817,2579.633126499576,-3184.732254937748,0.0,0.0,0.0,0.0,0.0,0.0,-34539.43562
t149,25472.755757748902,716.9369822510962,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33841.69274
t150,26928.273598619333,0.0,-384.4285686193382,0.0,0.0,0.0,0.0,0.0,0.0,-34195.84503
t151,24679.471064076373,4453.940885923626,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36785.41195
t152,27386.777353764835,5074.87898623516,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40113.65634
t153,34659.83720631934,953.6548736806601,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43265.49208
t154,42429.77114251362,0.0,-3985.6161625136265,0.0,0.0,0.0,0.0,0.0,0.0,-46096.15498
t155,42723.04282569628,2012.5459178705241,-3751.8194635668006,0.0,0.0,0.0,0.0,0.0,0.0,-48635.76928
t156,44480.50801175525,2232.9507098410395,-3531.414671596285,0.0,0.0,0.0,0.0,0.0,0.0,-50834.04405
t157,43706.23124374669,3554.5066538453175,-2209.858727592007,0.0,0.0,0.0,0.0,0.0,0.0,-52702.87917
t158,52392.731481437324,0.0,-5764.365381437325,0.0,0.0,0.0,0.0,0.0,0.0,-54280.3661
