,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t15,9991.79262795398,508.2066059045367,-0.0,0.0,-0.0,0.0,0.0,-190.82510255474412,-1.1741313037734822,-10308.0,2529.7381617253454,224.61086702368354,-0.0,0.0,-0.0,0.0,0.0,190.82510255474412,-1.1741313037734822,-2944.0,489.11069470379675,915.8893052962032,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-1405.0
t16,9278.706634786597,1207.5716783156088,-0.0,0.0,-0.0,0.0,0.0,-159.29816447896513,-0.9801486232386674,-10326.0,2790.6819841442734,0.0,-0.0,0.0,-0.0,0.0,0.0,159.29816447896513,-0.9801486232386674,-2949.0,1191.7438422814168,216.2561577185831,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-1408.0
t17,7984.279683960778,1481.4577710493486,-0.0,0.0,-0.0,0.0,0.0,1358.200679904416,-15.938134914542161,-10808.0,2924.8433822730553,0.0,-0.0,0.0,-0.0,0.0,0.0,162.15434016640953,-0.9977224394651942,-3086.0,3009.2954325459023,0.0,-0.0,0.0,-0.0,0.0,0.0,-1520.3550200708255,-14.940412475076966,-1474.0
t18,7287.182165976518,567.0899642734133,-0.0,0.0,-0.0,0.0,0.0,3709.866517342255,-37.13864759218977,-11527.0,3249.5792807795237,0.0,-0.0,0.0,-0.0,0.0,0.0,42.68334637201066,-0.2626271515342523,-3292.0,5360.425884154921,0.0,-0.0,0.0,-0.0,0.0,0.0,-3752.549863714266,-36.876020440655516,-1571.0
t19,6327.7118634331955,0.0,-0.0,0.0,-0.0,0.0,0.0,5253.276224306908,-49.98808774010502,-11531.0,3740.881444642815,0.0,-0.0,0.0,-0.0,0.0,0.0,-445.14251900250764,-2.738925640307131,-3293.0,6427.382867404199,0.0,-0.0,0.0,-0.0,0.0,0.0,-4808.133705304402,-47.24916209979789,-1572.0
t20,6254.214566156405,0.0,-0.0,0.0,-0.0,0.0,0.0,5116.060569683239,-50.27513583964361,-11320.0,3074.133481870844,158.86651812915576,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3233.0,6710.335705522883,0.0,-0.0,0.0,-0.0,0.0,0.0,-5116.060569683239,-50.27513583964361,-1544.0
t21,5694.058270864504,0.0,-0.0,0.0,-0.0,0.0,0.0,5261.384478198854,-50.44274906335752,-10905.0,3460.189867729274,0.0,-0.0,0.0,-0.0,0.0,0.0,-343.07893102759385,-2.1109367016799063,-3115.0,6453.637359532937,0.0,-0.0,0.0,-0.0,0.0,0.0,-4918.30554717126,-48.331812361677606,-1487.0
t22,4608.613258362647,0.0,-0.0,0.0,-0.0,0.0,0.0,5667.545697191765,-54.158955554410326,-10222.0,3340.530390753211,0.0,-0.0,0.0,-0.0,0.0,0.0,-417.95872478325566,-2.5716659699553026,-2920.0,6694.174261992963,0.0,-0.0,0.0,-0.0,0.0,0.0,-5249.586972408508,-51.58728958445502,-1393.0
t23,3569.379476217733,0.0,-0.0,0.0,-0.0,0.0,0.0,5943.792909328012,-55.17238554574575,-9458.0,3587.4246288849213,0.0,-0.0,0.0,-0.0,0.0,0.0,-881.0038837897794,-5.420745095141983,-2701.0,6401.540665988837,0.0,-0.0,0.0,-0.0,0.0,0.0,-5062.789025538234,-49.75164045060376,-1289.0
t24,3410.401253677011,0.0,-829.735934468006,0.0,-0.0,0.0,0.0,6160.023870695331,-57.68918990433722,-8683.0,3482.705568468784,0.0,-224.61086702368354,0.0,-0.0,0.0,0.0,-774.3303101546389,-4.764391290461216,-2479.0,6622.618359154569,0.0,-0.0,0.0,-0.0,0.0,0.0,-5385.6935605406925,-52.924798613876,-1184.0
