Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,2.652136154700212e9,1.301958092963556e9,8.702391257894299e8
cVar,0.0,0.0,24001.702234720222
cFuel,1.09503290048155e9,7.051219973537203e8,4.5371602314128685e8
cNSE,0.0,0.0,1.018544065561275e7
cStart,710875.2733227554,457752.2669631951,80938.5595501045
cUnmetRsv,0.0,0.0,0.0
cNetworkExp,0.0,0.0,0.0
cUnmetPolicyPenalty,0.0,0.0,0.0
cCO2,0.0,0.0,0.0
