Iteration_Number,Seconds,Upper_Bound,Lower_Bound,Relative_Gap
1,535.364000082016,4.0186740722697586e10,3.450295599675923e10,0.16473326883853712
2,493.54900002479553,4.0186740722697586e10,3.74466473039873e10,0.07317326425691854
3,540.6569998264313,3.9076654000787796e10,3.85663379412729e10,0.013232162729372415
4,647.837000131607,3.9076654000787796e10,3.86401031374614e10,0.011297870033456486
5,215.38699984550476,3.881541634665222e10,3.881169900670794e10,9.577885120772613e-5
