Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,1.752233340807551e10,6.875595891342748e9,8.111340323221298e9
cVar,6.254527894314925e9,6.073977263479891e9,4.324670292855711e9
cNSE,0.0,0.0,0.0
cStart,2.5538214782614523e8,2.0534178366612878e8,2.4462884740564817e8
cUnmetRsv,5.109823559616454e7,2.277990701582263e7,1.3888589510586195e7
cNetworkExp,0.0,0.0,0.0
