Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
NGCC_bf,1,3400.0,1434.35255432409,1458.8638809196962,0.0
NGCC_gf,1,0.0,23135.05428688056,17069.5568707614,292.41408866108395
NGCT_bf,1,8200.0,8200.0,8200.0,8200.0
NGCT_gf,1,0.0,0.0,0.0,0.0
NGST,1,1060.0,1060.0,1060.0,1060.0
Coal,1,14700.0,-1.8189894035458565e-12,6.727604342520217,0.0
Nuclear,1,2360.0,2360.0,2360.0,2360.0
Biomass,1,20.0,20.0,20.0,20.0
SolarPV,1,40.0,40.0,40.0,28115.747502835176
Wind,1,5720.0,5720.0,5720.0,6241.243855805003
Hydro,1,480.0,480.0,480.0,480.0
PHS,1,480.0,0.0,0.0,0.0
Li-ion,1,0.0,1325.4121804400056,1313.9752530577207,2098.676654216341
Retro_NGCC_CCS,1,0.0,1670.8003288245234,14417.969776838967,28451.18023993969
Retro_NGCC_H2,1,0.0,0.0,0.0,2719.3897554498835
Retro_Coal_TES,1,0.0,0.0,0.0,0.0
Retro_Coal_SMR,1,0.0,12495.000000000002,12489.281536308858,12494.999999999998
Total,n/a,36460.0,57940.61935046918,64636.37492222916,92533.65209690719
