Costs,Total,Zone1,Zone2,Zone3
cTotal,5.202655634808255e9,3.26576338487556e9,8.537355229842833e8,7.329963671651944e8
cFix,3.229483146763373e9,1.573535909792709e9,9.187717572195623e8,7.371754797511014e8
cVar,1.791708128261666e9,1.6922274750828505e9,7.087542355021684e7,2.86052296285971e7
cNSE,0.0,0.0,0.0,0.0
cStart,1.4294235978324193e8,1.286900608298836e8,1.0751606570740554e7,3.5006923826177404e6
cUnmetRsv,0.0,-,-,-
cNetworkExp,3.8522e7,-,-,-
