Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_natural_gas_H2_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
t1282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66506.93244931531,-66486.67426862569,-67557.90094326633
t1283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78902.33039852942,-66486.67426862569,-67557.90094326633
t1284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80638.58175608255,-80793.30197614226,-84745.76718821394
t1285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80638.58175608255,-80793.30197614226,-84745.76718821394
t1286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80638.58175608255,-80793.30197614226,-84745.76718821394
t1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80638.58175608255,-80793.30197614226,-84745.76718821394
t1288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80638.58175608255,-80793.30197614226,-84745.76718821394
t1289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80638.58175608255,-80793.30197614226,-84745.76718821394
t1290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80638.58175608255,-80793.30197614226,-74482.1409596595
t1291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69979.79404553973,-70002.53691553712,-74482.1409596595
t1292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69979.79404553973,-70002.53691553712,-70963.17165943404
t1293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66506.9324493153,-70002.53691553712,-67557.90094326633
t1294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35561.27039972795,-41864.18045004497,-44294.0945353149
t1295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35561.27039972795,-41864.18045004497,-44294.0945353149
t1296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35561.27039972795,1796.8750000000011,-44294.0945353149
t1297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.2348624089674,1796.8750000000011,-2006.4034357720302
t1298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.2348624089674,1796.8750000000011,-2006.4034357720302
t1299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.2348624089674,1796.8750000000011,-2006.4034357720302
t1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.2348624089674,1796.8750000000011,-2006.4034357720302
t1301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.2348624089674,1796.874999999999,-2006.4034357720302
t1302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27173.30825974835,-25728.81810941093,-24626.595814337816
t1303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35561.27039972795,-34181.640371862915,-37214.52161469053
t1304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35561.27039972795,-35157.842332918066,-37214.52161469053
t1305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35561.27039972795,-35157.842332918066,-9008.042784266621
t1306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.820415557595,-35157.842332918066,-9008.042784266621
t1307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.820415557595,-35157.842332918066,-9008.042784266621
t1308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.820415557595,-35157.842332918066,-9008.042784266621
t1309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53831.429302675344,-53654.22275586475,-9008.042784266621
t1310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53831.429302675344,-53654.22275586475,-37214.52161469054
t1311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53831.429302675344,-53654.22275586475,-37214.52161469054
t1312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53831.429302675344,-53654.22275586475,-37214.52161469054
t1313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53831.429302675344,-40710.82274558473,-37214.52161469054
t1314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.820415557595,-40710.82274558473,-37214.52161469054
t1315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35561.27039972795,-40710.82274558473,-37214.52161469054
t1316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35561.27039972795,-40710.82274558473,-37214.52161469054
t1317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35561.270399727946,-34181.640371862915,-37214.52161469054
t1318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35561.270399727946,-34181.640371862915,-37214.52161469054
t1319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3745.96871104346,-34181.640371862915,-37214.52161469054
t1320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4191.492281531428,5161.68275033617,1545.6309685943593
t1321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4191.492281531428,5161.68275033617,1545.6309685943593
t1322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4191.492281531428,5161.68275033617,1545.6309685943593
t1323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4191.492281531427,5161.68275033617,1545.6309685943593
t1324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4191.492281531427,5161.68275033617,1545.6309685943593
t1325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4191.492281531427,5161.68275033617,1545.6309685943593
t1326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4191.492281531427,5161.68275033617,1545.6309685943593
t1327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39225.47433602624,-38867.41652507785,1545.6309685943593
t1328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39225.47433602624,-38867.41652507785,1545.6309685943593
t1329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39225.47433602624,-38867.41652507785,1545.6309685943593
t1330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39225.47433602624,-38867.41652507785,-44294.0945353149
t1331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58398.96902841221,-58278.31786160141,-59607.73948708382
t1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58398.96902841221,-58278.31786160141,-59607.73948708382
t1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58398.96902841221,-58278.31786160141,-59607.73948708382
t1334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58398.96902841221,-58278.31786160141,-59607.73948708382
t1335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36719.08287405847,-35157.842332918066,-46136.24853280747
t1336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36719.08287405847,-35157.842332918066,-38781.77056454117
t1337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36719.08287405847,-35157.842332918066,-38781.77056454117
t1338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36719.08287405847,-35157.842332918066,-38781.77056454117
t1339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36719.08287405847,-35157.842332918066,-38781.77056454117
t1340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36719.08287405847,-35157.842332918066,-38781.77056454117
t1341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4191.492281531427,5157.064140767415,1545.6309685943593
t1342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4191.492281531427,5161.68275033617,1545.6309685943593
t1343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4191.492281531427,5161.68275033617,1545.6309685943593
t1344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4191.492281531428,5161.68275033617,1545.6309685943593
t1345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3137.362782216002,4211.135747973657,916.0999845568659
t1346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3672.727193780489,4649.262462161693,990.8072101801502
t1347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3672.727193780489,4649.262462161693,990.8072101801502
t1348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3672.727193780489,4649.262462161693,990.8072101801502
t1349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3672.727193780489,4649.262462161693,990.8072101801502
t1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.7317617121952,1796.8750000000002,-1499.4248596614589
t1351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30352.68326681349,-29103.797837914943,-31350.90790062223
t1352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30352.68326681349,-29884.762356535983,-32107.307075647568
t1353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30352.68326681349,-29884.762356535983,-32107.307075647568
t1354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30352.68326681349,-29884.762356535983,-32107.307075647568
t1355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30352.68326681349,-29884.762356535983,-32107.307075647568
t1356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30352.68326681349,-29884.762356535983,-32107.307075647568
t1357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30352.68326681349,-29884.762356535983,-32107.307075647568
t1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30352.68326681349,-29884.762356535983,-37366.38457067843
t1359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35716.14766843834,-34711.48137749875,-37366.384570678434
t1360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35275.60302425325,-34711.48137749875,-37366.384570678434
t1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35275.60302425325,-34711.48137749875,-37366.384570678434
t1362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35275.60302425325,-34711.48137749875,-37366.384570678434
