Zone,1,2,3
t1,0.10198489006280309,0.10324766927394853,0.1
t2,0.10123820225757742,0.1,0.1
t3,0.10123820225757742,0.1,0.1
t4,0.1012382022575774,0.1,0.1
t5,0.10123820225757753,0.10000000000000012,0.1
t6,0.10198489006280309,0.10073755537788584,0.1
t7,32.77661105749515,33.18245179556642,32.13869332732631
t8,32.77661105749515,33.18245179556642,32.13869332732631
t9,32.77661105749515,33.18245179556642,32.13869332732631
t10,82.05606371928889,83.07208375274026,80.45904022523155
t11,82.05606371928889,83.07208375274026,83.11549158133403
t12,82.05606371928889,83.07208375274026,83.11549158133403
t13,82.05606371928889,83.07208375274026,83.11549158133403
t14,82.05606371928889,83.07208375274026,83.11549158133403
t15,82.05606371928889,83.07208375274026,83.11549158133403
t16,82.05606371928889,83.07208375274026,80.45904022523155
t17,32.77661105749515,33.18245179556642,32.1386933273263
t18,32.77661105749515,33.18245179556642,32.13869332732631
t19,32.77661105749515,33.18245179556642,32.13869332732631
t20,28.269696622055154,28.61973264383972,27.719495117998814
t21,32.77661105749515,33.18245179556642,32.13869332732631
t22,32.77661105749515,33.18245179556642,32.13869332732631
t23,0.8460652337348237,0.8565412325595056,0.8295986132983134
t24,0.3762904191204835,0.3809496555850807,0.3689668331149457
t25,0.1012382022575774,0.1,0.1
t26,0.1,0.1,0.1
t27,0.1,0.09999999999999967,0.1
t28,0.10198489006280309,0.10324766927394853,0.1
t29,32.77661105749515,33.18245179556642,32.13869332732631
t30,32.77661105749515,33.18245179556642,32.13869332732631
t31,32.77661105749515,33.18245179556642,32.13869332732631
t32,32.77661105749515,33.18245179556642,32.13869332732631
t33,91.03906331249968,92.16631104971235,89.26720738379687
t34,91.03906331249968,92.16631104971235,92.84608863345848
t35,91.03906331249966,92.16631104971233,92.84608863345848
t36,91.03906331249968,92.16631104971235,92.84608863345848
t37,91.03906331249966,92.16631104971233,92.84608863345848
t38,32.77661105749515,33.18245179556642,33.427190753298994
t39,32.77661105749515,33.18245179556642,33.427190753298994
t40,32.77661105749515,33.18245179556642,33.427190753298994
t41,32.77661105749515,33.18245179556642,32.13869332732631
t42,32.77661105749515,33.18245179556642,32.13869332732631
t43,32.77661105749515,33.18245179556642,32.13869332732631
t44,32.77661105749515,33.18245179556642,32.13869332732631
t45,32.77661105749515,33.18245179556642,32.13869332732631
t46,32.77661105749515,33.18245179556642,32.13869332732631
t47,32.77661105749515,33.18245179556642,32.13869332732631
t48,32.77661105749515,33.18245179556642,32.13869332732631
t49,7.841037524931589,7.938125428582782,7.68843062938345
t50,8.640671670534433,8.747660662228839,8.472501823763738
t51,0.37923150178160664,0.38392715479811107,0.3718506746911949
t52,0.10198489006280309,0.10324766927394817,0.1
t53,0.10198489006280309,0.10324766927394853,0.1
t54,0.10198489006280309,0.10324766927394853,0.1
t55,0.10198489006280309,0.10324766927394853,0.1
t56,32.77661105749515,33.18245179556642,32.13869332732631
t57,32.77661105749515,33.18245179556642,32.13869332732631
t58,91.03906331249968,92.16631104971235,89.26720738379687
t59,91.03906331249968,92.16631104971235,89.26720738379687
