Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_natural_gas_H2_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,1,1,1,2,2,2,3,3,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,5648.9683,2.0469931e-11,0.0,63411.27,-1.6254151e-12,0.0,1.1342134e6,-3.2041036e-13,0.0,0.0,0.0,1.2032736e6
t1,4430.8465886063805,7115.092560985197,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,1381.9221652975148,0.0,0.0,4833.961366677191,1166.038633322809,25107.392366832773
t2,4430.8465886063805,7115.092560985197,0.0,0.0,0.0,5563.244280336656,755.7220469688054,0.0,616.2867716070236,4943.661801349014,0.0,0.0,2810.7349021147274,1166.038633322809,27401.627585290615
t3,4430.8465886063805,7115.092560985197,0.0,0.0,0.0,5563.244280336656,2121.747835407733,0.0,616.2867716070236,4713.004877393286,0.0,0.0,2188.9712318626725,1166.038633322809,27915.23277952176
t4,4430.8465886063805,7115.092560985197,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,4052.808566913443,0.0,0.0,3016.9410814056946,1166.038633322809,25961.258483177204
t5,4430.8465886063805,7115.092560985197,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,2680.8297445781895,0.0,0.0,2648.2276889151103,1166.038633322809,24220.56626835137
t6,4430.8465886063805,7115.092560985197,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,1429.257968853607,0.0,0.0,2618.0466673944925,1166.038633322809,22938.81347110617
t7,4430.8465886063805,3279.961077587004,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,19890.338718137064
t8,4430.8465886063805,1375.6341102544557,0.0,0.0,0.0,5563.244280336656,-1.1368683772161603e-13,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,17986.011750804515
t9,4430.8465886063805,806.5642691301955,0.0,0.0,1.1368683772161603e-13,5563.244280336656,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,17416.941909680252
t10,3734.0523392902464,1.8189894035458565e-12,0.0,0.0,2.2737367544323206e-13,5563.244280336656,2.842170943040401e-14,0.0,496.63644700432434,0.0,0.0,0.0,4508.936430307835,1166.038633322809,15468.908130261872
t11,3342.105574049921,1.8189894035458565e-12,0.0,0.0,2.2737367544323206e-13,5563.244280336656,0.0,0.0,429.333139415306,0.0,0.0,0.0,4119.290077497115,986.2822979395899,14440.25536923859
t12,3342.105574049921,1.8189894035458565e-12,0.0,-2.220446049250313e-16,0.0,5563.244280336656,-4.440892098500626e-16,0.0,429.333139415306,1.1368683772161603e-13,0.0,0.0,4011.482433383758,1011.8197693120576,14357.9851964977
t13,3342.105574049921,1.8189894035458565e-12,0.0,0.0,0.0,5563.244280336656,-4.440892098500626e-16,0.0,429.333139415306,0.0,0.0,0.0,3974.8153505613363,831.4547599458372,14140.95310430906
t14,3342.105574049921,1.8189894035458565e-12,0.0,1.7763568394002505e-15,0.0,5563.244280336656,0.0,0.0,429.333139415306,-1.1368683772161603e-13,0.0,0.0,3936.2313068995295,902.9072729621237,14173.82157366354
t15,3342.105574049921,1.8189894035458565e-12,0.0,0.0,0.0,5563.244280336656,-1.4210854715202004e-14,0.0,429.333139415306,0.0,0.0,0.0,4077.15901339807,1024.973523797452,14436.815530997406
t16,3734.0523392902464,1.8189894035458565e-12,0.0,0.0,0.0,5563.244280336656,0.0,0.0,496.63644700432434,0.0,0.0,0.0,4762.570497349683,1166.038633322809,15722.542197303721
t17,4430.8465886063805,1056.796690066294,0.0,1.1368683772161603e-13,0.0,5563.244280336656,0.0,0.0,616.2867716070236,4.547473508864641e-13,0.0,0.0,4833.961366677191,1166.038633322809,17667.174330616355
t18,4430.8465886063805,2296.839443099144,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,18907.2170836492
t19,4430.8465886063805,3284.8003455607077,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,19895.177986110764
t20,4430.8465886063805,4720.194757226652,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,21330.572397776712
t21,4430.8465886063805,3811.3710623939332,0.0,2.2737367544323206e-13,0.0,5563.244280336656,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4019.1088238125403,1166.038633322809,19606.89616007934
t22,4430.8465886063805,3599.732773956577,0.0,0.0,0.0,5563.244280336656,-2.2737367544323206e-13,0.0,616.2867716070236,0.0,0.0,0.0,4295.760677487291,1166.038633322809,19671.909725316735
t23,4430.8465886063805,4720.194757226652,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,21330.572397776712
t24,4430.8465886063805,4720.194757226652,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4549.207255999055,1166.038633322809,21045.818287098577
t25,4430.8465886063805,4720.194757226652,0.0,0.0,0.0,5563.244280336656,4.547473508864641e-13,0.0,616.2867716070236,2289.766406708314,0.0,0.0,2714.921657252282,1166.038633322809,21501.299095060116
t26,4430.8465886063805,4720.194757226651,0.0,496.1885935726564,0.0,5563.244280336656,98.59236140409666,0.0,616.2867716070236,2330.7224414059074,0.0,0.0,3159.355543078235,1166.038633322809,22581.469970560414
t27,4430.8465886063805,4720.194757226651,0.0,460.68347417789437,0.0,5563.244280336656,4.547473508864641e-13,0.0,616.2867716070236,734.7162974298026,0.0,0.0,3118.573854551415,1166.038633322809,20810.58465725863
t28,4430.8465886063805,4720.194757226651,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,118.19071138879576,0.0,0.0,2618.0466673944925,1166.038633322809,19232.84840988281
t29,4430.8465886063805,3680.5725677901783,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,4.547473508864641e-13,0.0,0.0,4833.961366677191,1166.038633322809,20290.95020834024
t30,4430.8465886063805,2960.8056506520597,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,19571.18329120212
t31,4430.8465886063805,638.2629103227464,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,17248.640550872806
t32,4430.8465886063805,2212.0903390493213,0.0,0.0,0.0,5387.862392873776,2.2737367544323206e-13,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,18647.086092136502
t33,4430.8465886063805,1.8189894035458565e-12,0.0,5.684341886080802e-14,0.0,5055.778345606786,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4818.785319141448,1166.038633322809,16087.735658284448
t34,4430.8465886063805,1.8189894035458565e-12,0.0,-1.3877787807814457e-17,2.2737367544323206e-13,5044.362956481984,0.0,0.0,616.2867716070236,0.0,0.0,0.0,3469.769739995706,1101.1314273906928,14662.39748408179
t35,4430.8465886063805,1.8189894035458565e-12,0.0,0.0,0.0,5044.362956481984,2.220446049250313e-16,0.0,616.2867716070236,1.1368683772161603e-13,0.0,0.0,3683.389349499058,578.1864156004999,14353.072081794948
t36,4430.8465886063805,1.8189894035458565e-12,0.0,0.0,0.0,5044.362956481984,0.0,0.0,616.2867716070236,0.0,0.0,0.0,2975.1491779290127,1166.038633322809,14232.68412794721
t37,4430.8465886063805,1.8189894035458565e-12,0.0,0.0,2.2737367544323206e-13,5055.778345606786,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4775.46878947772,746.0425143202499,15624.423009618162
t38,4430.8465886063805,1273.4530433726113,0.0,0.0,0.0,5387.862392873776,-2.2737367544323206e-13,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,17708.448796459794
t39,4430.8465886063805,1208.9401182545098,0.0,-2.2737367544323206e-13,0.0,5563.244280336656,2.2737367544323206e-13,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,17819.31775880457
t40,4430.8465886063805,448.8266203572839,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,17059.204260907343
t41,4430.8465886063805,836.6570328702528,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,4.547473508864641e-13,0.0,0.0,4833.961366677191,1166.038633322809,17447.034673420312
t42,4430.8465886063805,469.01710267814633,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,17079.394743228208
t43,4430.8465886063805,3020.553808348169,0.0,0.0,0.0,5563.244280336656,-2.2737367544323206e-13,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,19630.931448898227
t44,4430.8465886063805,1487.2700031541635,0.0,1.1368683772161603e-13,0.0,5563.244280336656,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,18097.647643704222
t45,4430.8465886063805,2741.5110302749235,0.0,0.0,0.0,5563.244280336656,0.0,0.0,616.2867716070236,0.0,0.0,0.0,4833.961366677191,1166.038633322809,19351.888670824985
