Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_natural_gas_H2_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
Zone,1,1,1,1,1,2,2,2,3,3,3,1,2,3
t1,0.0,15.020974146624997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,15.020974146624999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,15.020974146624999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,15.020974146624999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,15.020974146624999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,15.020974146624999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,29.987649703543465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,29.987649703543465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,35.490186144561285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,4.354964058225838,35.490186144561285,0.0,0.0,0.0,0.0,0.0,0.0,0.7478145287668707,0.0,0.0,0.0,0.0,0.0
t11,4.354964058225838,35.490186144561285,0.0,0.0,0.0,0.0,0.0,0.0,0.7478145287668707,0.0,0.0,0.0,0.0,0.0
t12,4.354964058225838,35.49018614456128,0.0,0.0,0.0,0.0,0.0,0.0,0.7478145287668707,0.0,0.0,0.0,0.0,0.0
t13,4.354964058225838,35.49018614456128,0.0,0.0,0.0,0.0,0.0,0.0,0.7478145287668707,0.0,0.0,0.0,0.0,0.0
t14,4.354964058225838,35.49018614456128,0.0,0.0,0.0,0.0,0.0,0.0,0.7478145287668707,0.0,0.0,0.0,0.0,0.0
t15,4.354964058225837,35.49018614456128,0.0,0.0,0.0,0.0,0.0,0.0,0.7478145287668706,0.0,0.0,0.0,0.0,0.0
t16,4.354964058225837,35.49018614456128,0.0,0.0,0.0,0.0,0.0,0.0,0.7478145287668706,0.0,0.0,0.0,0.0,0.0
t17,0.0,35.49018614456128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,35.490186144561285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.0,35.490186144561285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,0.0,35.490186144561285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,0.0,35.490186144561285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t22,0.0,35.490186144561285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,0.0,35.490186144561285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t24,0.0,35.49018614456129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t25,0.0,35.49018614456129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t26,0.0,35.49018614456129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t27,0.0,35.49018614456129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t28,0.0,35.49018614456129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t29,0.0,35.490186144561285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t30,0.0,35.490186144561285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t31,0.0,35.490186144561285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t32,0.0,35.490186144561285,0.0,0.0,0.0,2.075525295418688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t33,0.0,35.490186144561285,0.0,0.0,0.0,2.075525295418688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t34,0.0,35.490186144561285,0.0,0.0,0.0,2.075525295418688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.0,35.490186144561285,0.0,0.0,0.0,2.075525295418688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,0.0,35.490186144561285,0.0,0.0,0.0,2.075525295418688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t37,0.0,35.49018614456128,0.0,0.0,0.0,2.075525295418688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t38,0.0,33.694879663132156,0.0,0.0,0.0,2.075525295418688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t39,0.0,33.694879663132156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t40,0.0,33.694879663132156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t41,0.0,33.694879663132156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t42,0.0,33.6141177338487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t43,0.0,33.6141177338487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t44,0.0,33.6141177338487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t45,0.0,33.6141177338487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t46,0.0,33.6141177338487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t47,0.0,33.59761883289413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t48,0.0,33.59761883289413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t49,0.0,33.59761883289413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t50,0.0,33.59761883289413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t51,0.0,33.597618832894135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t52,0.0,33.597618832894135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t53,0.0,33.597618832894135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t54,0.0,33.597618832894135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t55,0.0,33.597618832894135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t56,0.0,33.597618832894135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t57,0.0,35.490186144561285,0.0,0.0,0.0,1.7807467529119247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t58,0.0,35.490186144561285,0.0,0.0,0.0,1.7807467529119247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t59,0.0,35.490186144561285,0.0,0.0,0.0,1.7807467529119247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t60,0.0,35.49018614456128,0.0,0.0,0.0,1.7807467529119247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t61,0.0,35.490186144561285,0.0,0.0,0.0,1.7807467529119247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t62,0.0,35.490186144561285,0.0,0.0,0.0,1.7807467529119247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t63,0.0,34.56191519573024,0.0,0.0,0.0,1.780746752911925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t64,0.0,34.56191519573024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t65,0.0,34.56191519573024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t66,0.0,34.56191519573024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t67,0.0,34.56191519573024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t68,0.0,34.56191519573024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t69,0.0,34.56191519573024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t70,0.0,34.56191519573024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t71,0.0,28.82257735313589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t72,0.0,28.82257735313589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t73,0.0,28.82257735313589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t74,0.0,28.82257735313589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t75,0.0,28.82257735313589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t76,0.0,28.82257735313589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t77,0.0,28.82257735313589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t78,0.0,28.82257735313589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t79,0.0,28.82257735313589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t80,0.0,28.82257735313589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t81,0.0,28.82257735313589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t82,0.0,28.82257735313589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t83,0.0,28.82257735313589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t84,0.0,28.82257735313589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
