Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,120,8396.0,2398.0,1145.0
,,,,,,,,121,7822.0,2234.0,1066.0
,,,,,,,,122,7494.0,2140.0,1021.0
,,,,,,,,123,7343.0,2097.0,1001.0
,,,,,,,,124,7289.0,2082.0,994.0
,,,,,,,,125,7482.0,2137.0,1020.0
,,,,,,,,126,8142.0,2325.0,1110.0
,,,,,,,,127,9388.0,2681.0,1280.0
,,,,,,,,128,10233.0,2922.0,1395.0
,,,,,,,,129,10494.0,2997.0,1431.0
,,,,,,,,130,10665.0,3046.0,1454.0
,,,,,,,,131,10780.0,3079.0,1469.0
,,,,,,,,132,10817.0,3089.0,1474.0
,,,,,,,,133,10743.0,3068.0,1464.0
,,,,,,,,134,10657.0,3044.0,1453.0
,,,,,,,,135,10516.0,3003.0,1434.0
,,,,,,,,136,10468.0,2990.0,1427.0
,,,,,,,,137,10788.0,3081.0,1471.0
,,,,,,,,138,11254.0,3214.0,1535.0
,,,,,,,,139,11088.0,3167.0,1512.0
,,,,,,,,140,10715.0,3060.0,1461.0
,,,,,,,,141,10312.0,2945.0,1406.0
,,,,,,,,142,9767.0,2790.0,1332.0
,,,,,,,,143,9041.0,2582.0,1232.0
,,,,,,,,144,8305.0,2372.0,1132.0
,,,,,,,,145,7713.0,2203.0,1051.0
,,,,,,,,146,7356.0,2101.0,1003.0
,,,,,,,,147,7174.0,2048.0,978.0
,,,,,,,,148,7106.0,2029.0,969.0
,,,,,,,,149,7170.0,2048.0,978.0
,,,,,,,,150,7470.0,2134.0,1019.0
,,,,,,,,151,7989.0,2282.0,1089.0
,,,,,,,,152,8543.0,2439.0,1165.0
,,,,,,,,153,9129.0,2607.0,1245.0
,,,,,,,,154,9504.0,2715.0,1296.0
,,,,,,,,155,9671.0,2762.0,1318.0
,,,,,,,,156,9578.0,2735.0,1306.0
,,,,,,,,157,9397.0,2684.0,1281.0
,,,,,,,,158,9152.0,2614.0,1247.0
,,,,,,,,159,9002.0,2571.0,1227.0
,,,,,,,,160,9005.0,2572.0,1227.0
,,,,,,,,161,9435.0,2694.0,1287.0
,,,,,,,,162,10341.0,2953.0,1410.0
,,,,,,,,163,10416.0,2975.0,1420.0
,,,,,,,,164,10112.0,2888.0,1378.0
,,,,,,,,165,9802.0,2800.0,1337.0
,,,,,,,,166,9331.0,2665.0,1272.0
,,,,,,,,167,8730.0,2493.0,1190.0
,,,,,,,,168,8088.0,2310.0,1103.0
,,,,,,,,169,9095.0,2598.0,1240.0
,,,,,,,,170,8478.0,2421.0,1156.0
,,,,,,,,171,8088.0,2310.0,1102.0
,,,,,,,,172,7868.0,2248.0,1073.0
,,,,,,,,173,7891.0,2254.0,1075.0
,,,,,,,,174,8175.0,2335.0,1115.0
,,,,,,,,175,9100.0,2600.0,1241.0
,,,,,,,,176,10217.0,2918.0,1393.0
,,,,,,,,177,10992.0,3140.0,1499.0
,,,,,,,,178,11610.0,3316.0,1583.0
,,,,,,,,179,12102.0,3456.0,1650.0
,,,,,,,,180,12431.0,3551.0,1695.0
,,,,,,,,181,12669.0,3618.0,1727.0
,,,,,,,,182,12924.0,3691.0,1762.0
,,,,,,,,183,13076.0,3734.0,1782.0
,,,,,,,,184,13168.0,3761.0,1795.0
,,,,,,,,185,13252.0,3785.0,1807.0
,,,,,,,,186,13203.0,3771.0,1800.0
,,,,,,,,187,12840.0,3667.0,1751.0
,,,,,,,,188,12348.0,3526.0,1684.0
,,,,,,,,189,12081.0,3451.0,1647.0
,,,,,,,,190,11651.0,3327.0,1589.0
,,,,,,,,191,10510.0,3001.0,1433.0
,,,,,,,,192,9347.0,2670.0,1274.0
,,,,,,,,193,8501.0,2428.0,1159.0
,,,,,,,,194,7970.0,2276.0,1086.0
,,,,,,,,195,7631.0,2179.0,1040.0
,,,,,,,,196,7474.0,2134.0,1019.0
,,,,,,,,197,7520.0,2148.0,1025.0
,,,,,,,,198,7802.0,2229.0,1064.0
,,,,,,,,199,8732.0,2494.0,1191.0
,,,,,,,,200,9842.0,2810.0,1342.0
,,,,,,,,201,10628.0,3035.0,1449.0
,,,,,,,,202,11238.0,3210.0,1532.0
,,,,,,,,203,11769.0,3361.0,1605.0
,,,,,,,,204,12123.0,3462.0,1653.0
,,,,,,,,205,12376.0,3535.0,1687.0
,,,,,,,,206,12678.0,3621.0,1728.0
,,,,,,,,207,12913.0,3688.0,1761.0
,,,,,,,,208,13087.0,3737.0,1784.0
,,,,,,,,209,13199.0,3770.0,1800.0
,,,,,,,,210,13138.0,3752.0,1792.0
,,,,,,,,211,12816.0,3660.0,1747.0
,,,,,,,,212,12346.0,3526.0,1683.0
,,,,,,,,213,12145.0,3469.0,1656.0
,,,,,,,,214,11809.0,3372.0,1610.0
,,,,,,,,215,10701.0,3056.0,1459.0
,,,,,,,,216,9574.0,2735.0,1305.0
,,,,,,,,217,8744.0,2497.0,1192.0
,,,,,,,,218,8218.0,2347.0,1120.0
,,,,,,,,219,7898.0,2256.0,1077.0
,,,,,,,,220,7751.0,2214.0,1057.0
,,,,,,,,221,7813.0,2232.0,1065.0
,,,,,,,,222,8142.0,2325.0,1110.0
,,,,,,,,223,9078.0,2593.0,1237.0
,,,,,,,,224,10220.0,2919.0,1393.0
,,,,,,,,225,11085.0,3166.0,1511.0
,,,,,,,,226,11766.0,3361.0,1604.0
,,,,,,,,227,12371.0,3533.0,1686.0
,,,,,,,,228,12858.0,3672.0,1753.0
,,,,,,,,229,13188.0,3767.0,1798.0
,,,,,,,,230,13460.0,3844.0,1835.0
,,,,,,,,231,13601.0,3885.0,1854.0
,,,,,,,,232,13700.0,3913.0,1868.0
,,,,,,,,233,13818.0,3947.0,1884.0
,,,,,,,,234,13788.0,3937.0,1880.0
,,,,,,,,235,13449.0,3841.0,1833.0
,,,,,,,,236,12938.0,3695.0,1764.0
,,,,,,,,237,12688.0,3624.0,1730.0
,,,,,,,,238,12330.0,3521.0,1681.0
,,,,,,,,239,11198.0,3198.0,1527.0
,,,,,,,,240,10008.0,2859.0,1364.0
,,,,,,,,241,9141.0,2610.0,1247.0
,,,,,,,,242,8576.0,2449.0,1169.0
,,,,,,,,243,8198.0,2341.0,1117.0
,,,,,,,,244,8001.0,2285.0,1090.0
,,,,,,,,245,8042.0,2297.0,1096.0
,,,,,,,,246,8371.0,2391.0,1141.0
,,,,,,,,247,9362.0,2674.0,1277.0
,,,,,,,,248,10537.0,3010.0,1437.0
,,,,,,,,249,11452.0,3271.0,1561.0
,,,,,,,,250,12216.0,3489.0,1666.0
,,,,,,,,251,12969.0,3704.0,1768.0
,,,,,,,,252,13559.0,3872.0,1848.0
,,,,,,,,253,13872.0,3962.0,1892.0
,,,,,,,,254,14215.0,4060.0,1938.0
,,,,,,,,255,14448.0,4127.0,1970.0
,,,,,,,,256,14597.0,4169.0,1990.0
,,,,,,,,257,14703.0,4199.0,2004.0
,,,,,,,,258,14582.0,4165.0,1988.0
,,,,,,,,259,14172.0,4048.0,1932.0
,,,,,,,,260,13549.0,3870.0,1848.0
,,,,,,,,261,13253.0,3785.0,1807.0
,,,,,,,,262,12788.0,3652.0,1743.0
,,,,,,,,263,11597.0,3312.0,1581.0
,,,,,,,,264,10373.0,2962.0,1414.0
,,,,,,,,265,9427.0,2692.0,1285.0
,,,,,,,,266,8822.0,2519.0,1202.0
,,,,,,,,267,8450.0,2414.0,1152.0
,,,,,,,,268,8247.0,2355.0,1124.0
,,,,,,,,269,8287.0,2367.0,1130.0
,,,,,,,,270,8622.0,2462.0,1176.0
,,,,,,,,271,9550.0,2728.0,1302.0
,,,,,,,,272,10773.0,3076.0,1469.0
,,,,,,,,273,11761.0,3359.0,1604.0
,,,,,,,,274,12622.0,3605.0,1721.0
,,,,,,,,275,13390.0,3824.0,1826.0
,,,,,,,,276,13998.0,3997.0,1908.0
,,,,,,,,277,14440.0,4124.0,1969.0
,,,,,,,,278,14798.0,4227.0,2018.0
,,,,,,,,279,14926.0,4263.0,2035.0
,,,,,,,,280,14903.0,4257.0,2032.0
,,,,,,,,281,14806.0,4228.0,2019.0
,,,,,,,,282,14474.0,4134.0,1974.0
,,,,,,,,283,13881.0,3964.0,1893.0
,,,,,,,,284,13305.0,3800.0,1814.0
,,,,,,,,285,13088.0,3737.0,1784.0
,,,,,,,,286,12673.0,3619.0,1728.0
,,,,,,,,287,11619.0,3318.0,1584.0
,,,,,,,,288,10509.0,3001.0,1433.0
,,,,,,,,289,9642.0,2754.0,1314.0
,,,,,,,,290,9092.0,2597.0,1240.0
,,,,,,,,291,8730.0,2494.0,1190.0
,,,,,,,,292,8516.0,2432.0,1161.0
,,,,,,,,293,8455.0,2414.0,1152.0
,,,,,,,,294,8556.0,2444.0,1166.0
,,,,,,,,295,8908.0,2545.0,1215.0
,,,,,,,,296,9608.0,2744.0,1310.0
,,,,,,,,297,10551.0,3014.0,1439.0
,,,,,,,,298,11397.0,3255.0,1554.0
,,,,,,,,299,12026.0,3435.0,1640.0
,,,,,,,,300,12540.0,3581.0,1710.0
,,,,,,,,301,12936.0,3694.0,1763.0
,,,,,,,,302,13261.0,3787.0,1808.0
,,,,,,,,303,13576.0,3877.0,1851.0
,,,,,,,,304,13826.0,3948.0,1885.0
,,,,,,,,305,13992.0,3996.0,1908.0
,,,,,,,,306,14009.0,4001.0,1910.0
,,,,,,,,307,13742.0,3924.0,1873.0
,,,,,,,,308,13255.0,3786.0,1807.0
,,,,,,,,309,13031.0,3722.0,1777.0
,,,,,,,,310,12715.0,3631.0,1733.0
,,,,,,,,311,11760.0,3358.0,1603.0
,,,,,,,,312,10691.0,3053.0,1458.0
,,,,,,,,313,9803.0,2800.0,1337.0
,,,,,,,,314,9177.0,2621.0,1251.0
,,,,,,,,315,8748.0,2499.0,1192.0
,,,,,,,,316,8466.0,2418.0,1154.0
,,,,,,,,317,8307.0,2373.0,1132.0
,,,,,,,,318,8184.0,2337.0,1116.0
,,,,,,,,319,8417.0,2404.0,1147.0
,,,,,,,,320,9201.0,2628.0,1254.0
,,,,,,,,321,10284.0,2937.0,1402.0
,,,,,,,,322,11340.0,3239.0,1546.0
,,,,,,,,323,12274.0,3506.0,1674.0
,,,,,,,,324,13028.0,3721.0,1777.0
,,,,,,,,325,13460.0,3844.0,1835.0
,,,,,,,,326,13543.0,3867.0,1847.0
,,,,,,,,327,13550.0,3870.0,1848.0
,,,,,,,,328,13570.0,3876.0,1850.0
,,,,,,,,329,13596.0,3883.0,1853.0
,,,,,,,,330,13588.0,3881.0,1853.0
,,,,,,,,331,13368.0,3818.0,1823.0
,,,,,,,,332,13176.0,3763.0,1797.0
,,,,,,,,333,13220.0,3776.0,1803.0
,,,,,,,,334,12743.0,3639.0,1737.0
,,,,,,,,335,11746.0,3355.0,1601.0
,,,,,,,,336,10712.0,3059.0,1460.0
,,,,,,,,337,9966.0,2846.0,1358.0
,,,,,,,,338,9488.0,2710.0,1293.0
,,,,,,,,339,9182.0,2622.0,1252.0
