Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580402776839745e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.775897981066038e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6410629245957624e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.582040705036536e-12
t1,105.955938,316.4255428165,1768.002,7074.257404733753,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,89.0217835,0.0,27.220752,21.527963619999998,30.999,3485.2152960000003,35.2,434.0,124.77510000000001,0.0,0.0,5.953840199999999,0.0,24.92505,185.066676207,274.5,1112.9859,163.3365,0.0,110.3448166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0682778292445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.66045472900024,0.0,0.0,0.0,0.0,0.0,67.99168008220937,19.43585816472976,9.280000006080002,19724.864530488518
t2,105.955938,316.27049319223335,1768.002,7074.257404733753,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.96587699999999,0.0,27.220752,21.516413999999997,30.999,3485.2152960000003,35.2,434.0,124.77510000000001,0.0,0.0,5.950098,0.0,24.92505,185.04876749216973,274.5,1112.9859,163.3365,0.0,110.32529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0682778292445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.66045472900024,0.0,0.0,0.0,0.0,0.0,65.12696006114729,18.686140009189703,8.918609992469278,19720.62501903921
t3,105.955938,316.0603275812333,1768.002,7074.257404733753,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.891335,0.0,27.220752,21.502874,30.999,3485.2152960000003,35.2,434.0,124.77510000000001,0.0,0.0,5.9463558,0.0,24.92505,185.0104137221697,274.5,1112.9859,163.3365,0.0,110.28623679999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0682778292445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.66045472900024,0.0,0.0,0.0,0.0,0.0,64.52000006024,18.340179977293875,8.76190000032528,19719.13599223326
t4,105.955938,315.8064050922334,1768.002,7074.257404733753,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.83542849999999,0.0,27.220752,21.489333999999996,30.999,3485.2152960000003,35.2,434.0,124.77510000000001,0.0,0.0,5.942613599999999,0.0,24.92505,184.97468051766052,274.5,1112.9859,163.3365,0.0,110.26671019999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0682778292445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.66045472900024,0.0,0.0,0.0,0.0,0.0,64.67000007744001,18.470000008870002,8.80999999104,19719.08154127924
t5,105.955938,315.518250581,1768.002,7074.257404733753,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.7608865,0.0,27.220752,21.475794,30.999,3485.2152960000003,35.2,434.0,124.77510000000001,0.0,0.0,5.9388714,0.0,24.92505,184.923718266,274.5,1112.9859,163.3365,0.0,110.2471836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0682778292445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.66045472900024,0.0,0.0,0.0,0.0,0.0,66.99000006760001,19.13999997825,9.13000000992,19721.94107369477
t6,105.955938,315.26432809199997,1768.002,7073.381276907524,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.70497999999999,0.0,27.220752,21.456634899999997,30.999,3485.2152960000003,35.2,434.0,124.77510000000001,0.0,0.0,5.9351291999999995,0.0,24.92505,184.830948036,274.5,1112.9859,163.3365,0.0,110.20813039999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0682778292445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.66045472900024,0.0,0.0,0.0,0.0,0.0,74.48000004368001,21.269999981090002,10.15000001088,19731.240392129417
t7,105.955938,314.9834917885441,1768.002,7071.600448817021,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.630438,16.575687719999998,27.220752,21.430705800000002,30.999,3485.2152960000003,35.2,434.0,124.77510000000001,0.0,0.0,5.9295159,13.210156620000001,24.92505,184.798199817,274.5,1112.9859,163.3365,0.0,110.18860380000001,0.39372588000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0682778292445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.66045472900024,0.0,0.0,0.0,0.0,0.0,87.29000002288,24.929999985970003,11.900000011200001,19777.419938720857
t8,105.955938,314.7295692995441,1768.002,7070.805732287814,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.57453149999999,164.36189358000001,27.220752,21.411546699999995,30.999,3485.2152960000003,35.2,434.0,124.77510000000001,0.0,0.0,5.9257737,87.11967312000002,24.92505,184.7483890875,274.5,1112.9859,163.3365,0.0,110.1690772,2.6641332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0682778292445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.66045472900024,0.0,0.0,0.0,0.0,0.0,94.94000007248,27.119999988890005,12.95000000688,20011.079284301355
