Time_Index,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,SolarPV,Retro_NGCC_CCS,Retro_NGCC_H2
74,1.0,1.0,1.0,1.0,0.0,1.0,1.0
75,1.0,1.0,1.0,1.0,0.0,1.0,1.0
76,1.0,1.0,1.0,1.0,0.0,1.0,1.0
77,1.0,1.0,1.0,1.0,0.0,1.0,1.0
78,1.0,1.0,1.0,1.0,0.0,1.0,1.0
79,1.0,1.0,1.0,1.0,0.0,1.0,1.0
80,1.0,1.0,1.0,1.0,0.0,1.0,1.0
81,1.0,1.0,1.0,1.0,0.2194,1.0,1.0
82,1.0,1.0,1.0,1.0,0.4257,1.0,1.0
83,1.0,1.0,1.0,1.0,0.5872,1.0,1.0
84,1.0,1.0,1.0,1.0,0.6481,1.0,1.0
85,1.0,1.0,1.0,1.0,0.6592,1.0,1.0
86,1.0,1.0,1.0,1.0,0.6547,1.0,1.0
87,1.0,1.0,1.0,1.0,0.5823,1.0,1.0
88,1.0,1.0,1.0,1.0,0.4386,1.0,1.0
89,1.0,1.0,1.0,1.0,0.2089,1.0,1.0
90,1.0,1.0,1.0,1.0,0.0,1.0,1.0
91,1.0,1.0,1.0,1.0,0.0,1.0,1.0
92,1.0,1.0,1.0,1.0,0.0,1.0,1.0
93,1.0,1.0,1.0,1.0,0.0,1.0,1.0
94,1.0,1.0,1.0,1.0,0.0,1.0,1.0
95,1.0,1.0,1.0,1.0,0.0,1.0,1.0
96,1.0,1.0,1.0,1.0,0.0,1.0,1.0
97,1.0,1.0,1.0,1.0,0.0,1.0,1.0
98,1.0,1.0,1.0,1.0,0.0,1.0,1.0
99,1.0,1.0,1.0,1.0,0.0,1.0,1.0
100,1.0,1.0,1.0,1.0,0.0,1.0,1.0
101,1.0,1.0,1.0,1.0,0.0,1.0,1.0
102,1.0,1.0,1.0,1.0,0.0,1.0,1.0
103,1.0,1.0,1.0,1.0,0.0,1.0,1.0
104,1.0,1.0,1.0,1.0,0.0,1.0,1.0
105,1.0,1.0,1.0,1.0,0.2198,1.0,1.0
