Period_Index,Rep_Period,Rep_Period_Index
1,3,1
2,5,2
3,3,1
4,48,10
5,5,2
6,48,10
7,15,3
8,15,3
9,15,3
10,15,3
11,15,3
12,15,3
13,15,3
14,15,3
15,15,3
16,15,3
17,15,3
18,15,3
19,20,4
20,20,4
21,23,5
22,23,5
23,23,5
24,29,7
25,29,7
26,29,7
27,27,6
28,29,7
29,29,7
30,23,5
31,23,5
32,29,7
33,29,7
34,23,5
35,29,7
36,20,4
37,23,5
38,20,4
39,39,8
40,20,4
41,39,8
42,15,3
43,15,3
44,45,9
45,45,9
46,48,10
47,15,3
48,48,10
49,5,2
50,48,10
51,51,11
52,45,9
