Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
1,1.0,0.0,1.0,0.998503923,0.0,1.0,0.987221956,1.0,1.0,1.0
2,1.0,0.0,1.0,0.981334448,0.0,1.0,0.978059888,1.0,1.0,1.0
3,1.0,0.0,1.0,0.976984143,0.0,1.0,0.936176896,1.0,1.0,1.0
4,1.0,0.0,1.0,0.917273223,0.0,1.0,0.841554105,1.0,1.0,1.0
5,1.0,0.0,1.0,0.857299387,0.0,1.0,0.794166327,1.0,1.0,1.0
6,1.0,0.0,1.0,0.685744822,0.0,1.0,0.772697628,1.0,1.0,1.0
7,1.0,0.0029,1.0,0.197402641,0.0,1.0,0.772494197,1.0,1.0,1.0
8,1.0,0.1779,1.0,0.174021095,0.1726,1.0,0.593601346,1.0,1.0,1.0
9,1.0,0.3938,1.0,0.097864166,0.3929,1.0,0.568524837,1.0,1.0,1.0
10,1.0,0.5573,1.0,0.032948181,0.563,1.0,0.287257016,1.0,1.0,1.0
11,1.0,0.6766,1.0,0.002176364,0.6712,1.0,0.143510789,1.0,1.0,1.0
12,1.0,0.678,1.0,0.000552898,0.683,1.0,0.149639636,1.0,1.0,1.0
13,1.0,0.6611,1.0,0.000874054,0.6739,1.0,0.119550511,1.0,1.0,1.0
14,1.0,0.6551,1.0,0.003476053,0.6618,1.0,0.132416099,1.0,1.0,1.0
15,1.0,0.6173,1.0,0.019248929,0.6523,1.0,0.152063802,1.0,1.0,1.0
16,1.0,0.4965,1.0,0.119166195,0.546,1.0,0.258123368,1.0,1.0,1.0
17,1.0,0.3363,1.0,0.274659663,0.3826,1.0,0.426247716,1.0,1.0,1.0
18,1.0,0.1242,1.0,0.392801732,0.1625,1.0,0.560484052,1.0,1.0,1.0
19,1.0,0.0,1.0,0.536450446,0.0,1.0,0.601749539,1.0,1.0,1.0
20,1.0,0.0,1.0,0.939421058,0.0,1.0,0.709239244,1.0,1.0,1.0
21,1.0,0.0,1.0,0.438982993,0.0,1.0,0.753030419,1.0,1.0,1.0
22,1.0,0.0,1.0,0.353878379,0.0,1.0,0.699030638,1.0,1.0,1.0
23,1.0,0.0,1.0,0.556829035,0.0,1.0,0.5368644,1.0,1.0,1.0
24,1.0,0.0,1.0,0.65021956,0.0,1.0,0.578089058,1.0,1.0,1.0
25,1.0,0.0,1.0,0.622024417,0.0,1.0,0.555813074,1.0,1.0,1.0
26,1.0,0.0,1.0,0.764623284,0.0,1.0,0.538930714,1.0,1.0,1.0
27,1.0,0.0,1.0,0.715029895,0.0,1.0,0.462965727,1.0,1.0,1.0
28,1.0,0.0,1.0,0.372809708,0.0,1.0,0.360287905,1.0,1.0,1.0
29,1.0,0.0,1.0,0.113940589,0.0,1.0,0.488380849,1.0,1.0,1.0
30,1.0,0.0,1.0,0.056374628,0.0,1.0,0.599999964,1.0,1.0,1.0
31,1.0,0.0,1.0,0.016238747,0.0,1.0,0.561654091,1.0,1.0,1.0
32,1.0,0.1809,1.0,0.333949357,0.1937,1.0,0.482259929,1.0,1.0,1.0
33,1.0,0.3869,1.0,0.144480377,0.4011,1.0,0.261952311,1.0,1.0,1.0
34,1.0,0.5486,1.0,2.18e-5,0.5435,1.0,0.171321541,1.0,1.0,1.0
35,1.0,0.673,1.0,0.000401923,0.6766,1.0,0.103632301,1.0,1.0,1.0
36,1.0,0.688,1.0,0.009390152,0.6954,1.0,0.086341038,1.0,1.0,1.0
37,1.0,0.6933,1.0,0.15701367,0.698,1.0,0.134537384,1.0,1.0,1.0
38,1.0,0.6864,1.0,0.406255186,0.6964,1.0,0.17796576,1.0,1.0,1.0
39,1.0,0.65,1.0,0.417066693,0.6672,1.0,0.189786106,1.0,1.0,1.0
40,1.0,0.5134,1.0,0.336111903,0.5446,1.0,0.208149701,1.0,1.0,1.0
41,1.0,0.3401,1.0,0.290232033,0.3849,1.0,0.401330531,1.0,1.0,1.0
42,1.0,0.123,1.0,0.256617188,0.17,1.0,0.471578002,1.0,1.0,1.0
43,1.0,0.0,1.0,0.407308728,0.0,1.0,0.758596778,1.0,1.0,1.0
44,1.0,0.0,1.0,0.214790255,0.0,1.0,0.877489209,1.0,1.0,1.0
45,1.0,0.0,1.0,0.390825689,0.0,1.0,0.815006971,1.0,1.0,1.0
46,1.0,0.0,1.0,0.471649319,0.0,1.0,0.755335033,1.0,1.0,1.0
47,1.0,0.0,1.0,0.307960331,0.0,1.0,0.65353626,1.0,1.0,1.0
48,1.0,0.0,1.0,0.340681136,0.0,1.0,0.605977595,1.0,1.0,1.0
49,1.0,0.0,1.0,0.290637463,0.0,1.0,0.56266588,1.0,1.0,1.0
50,1.0,0.0,1.0,0.219434485,0.0,1.0,0.582483292,1.0,1.0,1.0
51,1.0,0.0,1.0,0.292016774,0.0,1.0,0.645784974,1.0,1.0,1.0
52,1.0,0.0,1.0,0.488625586,0.0,1.0,0.775624633,1.0,1.0,1.0
53,1.0,0.0,1.0,0.340097755,0.0,1.0,0.69383806,1.0,1.0,1.0
54,1.0,0.0,1.0,0.235136852,0.0,1.0,0.752719223,1.0,1.0,1.0
55,1.0,0.0004,1.0,0.588210523,0.0,1.0,0.862523913,1.0,1.0,1.0
56,1.0,0.1559,1.0,0.332647651,0.1358,1.0,0.737461805,1.0,1.0,1.0
57,1.0,0.3681,1.0,0.093162946,0.3612,1.0,0.54701364,1.0,1.0,1.0
58,1.0,0.5112,1.0,0.001849365,0.4843,1.0,0.360572845,1.0,1.0,1.0
59,1.0,0.7546,1.0,0.0,0.723,1.0,0.313053399,1.0,1.0,1.0
60,1.0,0.6648,1.0,0.0,0.6153,1.0,0.266081452,1.0,1.0,1.0
61,1.0,0.6766,1.0,0.000464521,0.642,1.0,0.223596364,1.0,1.0,1.0
62,1.0,0.6849,1.0,0.103742942,0.6483,1.0,0.218776628,1.0,1.0,1.0
63,1.0,0.6482,1.0,0.370955497,0.6173,1.0,0.203460976,1.0,1.0,1.0
64,1.0,0.5121,1.0,0.341479361,0.5187,1.0,0.224217921,1.0,1.0,1.0
65,1.0,0.3377,1.0,0.444000244,0.3615,1.0,0.330130666,1.0,1.0,1.0
66,1.0,0.1213,1.0,0.292105019,0.1552,1.0,0.519130349,1.0,1.0,1.0
67,1.0,0.0,1.0,0.224894032,0.0,1.0,0.726869047,1.0,1.0,1.0
68,1.0,0.0,1.0,0.31001246,0.0,1.0,0.743680954,1.0,1.0,1.0
69,1.0,0.0,1.0,0.206186026,0.0,1.0,0.728035569,1.0,1.0,1.0
70,1.0,0.0,1.0,0.352164268,0.0,1.0,0.608524561,1.0,1.0,1.0
71,1.0,0.0,1.0,0.416088998,0.0,1.0,0.492403865,1.0,1.0,1.0
72,1.0,0.0,1.0,0.530061185,0.0,1.0,0.513981462,1.0,1.0,1.0
73,1.0,0.0,1.0,0.507622302,0.0,1.0,0.533729076,1.0,1.0,1.0
74,1.0,0.0,1.0,0.678049803,0.0,1.0,0.674548864,1.0,1.0,1.0
75,1.0,0.0,1.0,0.010443158,0.0,1.0,0.062698871,1.0,1.0,1.0
76,1.0,0.0,1.0,0.427970886,0.0,1.0,0.841359735,1.0,1.0,1.0
77,1.0,0.0,1.0,0.334010154,0.0,1.0,0.914813161,1.0,1.0,1.0
78,1.0,0.0,1.0,0.451444775,0.0,1.0,0.974680662,1.0,1.0,1.0
79,1.0,0.0008,1.0,0.351748496,0.0,1.0,0.978852689,1.0,1.0,1.0
80,1.0,0.1746,1.0,0.381634384,0.157,1.0,0.922392011,1.0,1.0,1.0
81,1.0,0.3796,1.0,0.204491615,0.3642,1.0,0.839634836,1.0,1.0,1.0
82,1.0,0.555,1.0,0.022155629,0.5463,1.0,0.690602899,1.0,1.0,1.0
83,1.0,0.6824,1.0,0.087142006,0.6775,1.0,0.606630445,1.0,1.0,1.0
84,1.0,0.6979,1.0,0.034761738,0.6949,1.0,0.617718577,1.0,1.0,1.0
85,1.0,0.6999,1.0,0.114951245,0.6981,1.0,0.573944688,1.0,1.0,1.0
86,1.0,0.6953,1.0,0.093523912,0.6977,1.0,0.547802687,1.0,1.0,1.0
87,1.0,0.6556,1.0,0.116833173,0.6681,1.0,0.769956887,1.0,1.0,1.0
88,1.0,0.5221,1.0,0.247117937,0.5478,1.0,0.80558908,1.0,1.0,1.0
89,1.0,0.3484,1.0,0.302383065,0.3858,1.0,0.87547338,1.0,1.0,1.0
90,1.0,0.1274,1.0,0.435858846,0.1707,1.0,0.963667393,1.0,1.0,1.0
91,1.0,0.0,1.0,0.296017647,0.0,1.0,0.995695174,1.0,1.0,1.0
92,1.0,0.0,1.0,0.382669896,0.0,1.0,0.942333877,1.0,1.0,1.0
93,1.0,0.0,1.0,0.432901084,0.0,1.0,0.954547882,1.0,1.0,1.0
94,1.0,0.0,1.0,0.662971437,0.0,1.0,0.963854551,1.0,1.0,1.0
95,1.0,0.0,1.0,0.961305439,0.0,1.0,0.918889642,1.0,1.0,1.0
96,1.0,0.0,1.0,0.951534867,0.0,1.0,0.831322074,1.0,1.0,1.0
97,1.0,0.0,1.0,0.68373543,0.0,1.0,0.881467462,1.0,1.0,1.0
98,1.0,0.0,1.0,0.600812972,0.0,1.0,0.858075261,1.0,1.0,1.0
99,1.0,0.0,1.0,0.814034224,0.0,1.0,0.935281634,1.0,1.0,1.0
100,1.0,0.0,1.0,0.911757529,0.0,1.0,0.955151796,1.0,1.0,1.0
101,1.0,0.0,1.0,0.600341201,0.0,1.0,0.945564926,1.0,1.0,1.0
102,1.0,0.0,1.0,0.718456745,0.0,1.0,0.966163337,1.0,1.0,1.0
103,1.0,0.0,1.0,0.47460106,0.0,1.0,0.964919329,1.0,1.0,1.0
104,1.0,0.1287,1.0,0.611973166,0.1307,1.0,0.897765279,1.0,1.0,1.0
105,1.0,0.2969,1.0,0.462337017,0.3218,1.0,0.894047737,1.0,1.0,1.0
106,1.0,0.4366,1.0,0.286065727,0.4241,1.0,0.956014991,1.0,1.0,1.0
107,1.0,0.5574,1.0,0.410449386,0.4843,1.0,0.987810135,1.0,1.0,1.0
108,1.0,0.6471,1.0,0.18657057,0.5087,1.0,0.994437337,1.0,1.0,1.0
109,1.0,0.6988,1.0,0.044284698,0.6118,1.0,0.996686101,1.0,1.0,1.0
110,1.0,0.7057,1.0,0.004641407,0.6588,1.0,0.995325267,1.0,1.0,1.0
111,1.0,0.6681,1.0,0.010756869,0.6495,1.0,0.998466611,1.0,1.0,1.0
112,1.0,0.5204,1.0,0.062138144,0.4946,1.0,0.99398303,1.0,1.0,1.0
113,1.0,0.3357,1.0,0.268422604,0.3379,1.0,0.999444008,1.0,1.0,1.0
114,1.0,0.1217,1.0,0.549905419,0.1415,1.0,0.999931455,1.0,1.0,1.0
115,1.0,0.0,1.0,0.59516722,0.0,1.0,0.999659896,1.0,1.0,1.0
116,1.0,0.0,1.0,0.463209748,0.0,1.0,0.966383457,1.0,1.0,1.0
117,1.0,0.0,1.0,0.327129066,0.0,1.0,0.997240305,1.0,1.0,1.0
