R_ID,zone,Resource,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,HYDRO,TRADER,RPS,CES,Num_VRE_bins,Commit,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Cap_size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_cost_per_MWyr,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fixed_OM_cost_per_MWhyr,Inv_cost_charge_per_MWyr,Fixed_OM_cost_charge_per_MWyr,Var_OM_cost_per_MWh_in,Externality_cost_MWh,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Max_DSM_advance,DSM_energy_eff,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,voltage_level,Fixed_CAP,Fixed_CAP_MW,InveterLoadRatio,EtaInverter,Hydro_Res_flexibility_days,Cost_sheet_name,index
66,16,Hyd_z16_01,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1613,0,0,-1,1613,-1,0,0,0,0,0,18540,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Hyd_z16_01,66
74,10,coal-new_1_z10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,767,0,0,0,76.7,-1,-1,0,0,0,0,23084,1.11,0,0,0,0,0,139.22,7,10.567,Coal_PRB_z10,0.4,0,0,0,0,0,0,0,0,0,0.66,0.66,5,20,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,coal-new_1_z10,74
75,10,CoalOldScr_1_z10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,228,0,0,0,228,-1,-1,0,0,0,0,27338,1.36,0,0,0,0,0,139.22,7,12.11,Coal_PRB_z10,0.4,0,0,0,0,0,0,0,0,0,0.66,0.66,5,20,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,CoalOldScr_1_z10,75
76,10,CoalOldScr_2_z10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1243,0,0,0,207.1666667,-1,-1,0,0,0,0,27338,1.36,0,0,0,0,0,83.91,10.5,10.29,Coal_PRB_z10,0.4,0,0,0,0,0,0,0,0,0,0.66,0.66,8,24,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,CoalOldScr_2_z10,76
77,10,gas-CC_1_z10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1202,0,0,0,150.25,-1,-1,0,0,0,0,9369,1.67,0,0,0,0,0,68.01,0.25,7.427,Gas_CHI_z10,0.4,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CC_1_z10,77
78,10,gas-CT_1_z10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,217,0,0,0,16.69230769,-1,-1,0,0,0,0,2353,15.48,0,0,0,0,0,87.95,0.2,19.143,Gas_CHI_z10,0.2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CT_1_z10,78
79,10,o-g-s_1_z10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,0,569,-1,-1,0,0,0,0,9543,8.5,0,0,0,0,0,87.95,0.2,16.115,Gas_CHI_z10,0.2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,o-g-s_1_z10,79
153,12,coal-new_1_z12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6185,0,0,0,618.5,-1,-1,0,0,0,0,31840,1.44,0,0,0,0,0,83.67,15.8,10.318,Coal_PRB_z12,0.4,0,0,0,0,0,0,0,0,0,0.66,0.66,10,24,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,coal-new_1_z12,153
154,12,CoalOldUns_1_z12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2816,0,0,0,352,-1,-1,0,0,0,0,35747,1.77,0,0,0,0,0,139.22,7,10.341,Coal_PRB_z12,0.5,0,0,0,0,0,0,0,0,0,0.66,0.66,5,20,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,CoalOldUns_1_z12,154
155,12,gas-CC_1_z12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7783,0,0,0,194.575,-1,-1,0,0,0,0,15148,6,0,0,0,0,0,57.11,0.21,7.402,Gas_HH_z12,0.4,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CC_1_z12,155
156,12,gas-CT_1_z12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4011,0,0,0,78.64705882,-1,-1,0,0,0,0,3690,6.17,0,0,0,0,0,87.95,0.2,14.339,Gas_HH_z12,0.2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CT_1_z12,156
157,12,nuclear_1_z12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8297,0,0,0,8297,-1,-1,0,0,0,0,163958,0.11,0,0,0,0,0,0,0,10.456,nuc,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,nuclear_1_z12,157
158,12,o-g-s_1_z12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2204,0,0,0,2204,-1,-1,0,0,0,0,10162,0.96,0,0,0,0,0,87.95,0.2,12.271,Gas_HH_z12,0.2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,o-g-s_1_z12,158
159,12,o-g-s_2_z12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,250,0,0,0,62.5,-1,-1,0,0,0,0,10162,0.96,0,0,0,0,0,108.24,0.26,10.198,o-g_z12,0.5,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,o-g-s_2_z12,159
180,16,CoalOldScr_1_z16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6105,0,0,0,381.5625,-1,-1,0,0,0,0,27025,1.29,0,0,0,0,0,83.91,10.5,10.927,Coal_PRB_z16,0.4,0,0,0,0,0,0,0,0,0,0.66,0.66,8,24,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,CoalOldScr_1_z16,180
181,16,gas-CC_1_z16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7159,0,0,0,92.97402597,-1,-1,0,0,0,0,17333,5.38,0,0,0,0,0,57.11,0.21,7.296,Gas_NGPL_z16,0.4,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CC_1_z16,181
182,16,gas-CC_2_z16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,223,0,0,0,111.5,-1,-1,0,0,0,0,17333,5.38,0,0,0,0,0,57.11,0.21,8.082,Gas_NGPL_z16,0.4,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CC_2_z16,182
183,16,gas-CC_3_z16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,402,0,0,0,100.5,-1,-1,0,0,0,0,17333,5.38,0,0,0,0,0,68.01,0.25,9.616,Gas_NGPL_z16,0.4,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CC_3_z16,183
184,16,gas-CC_4_z16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,878,0,0,0,97.55555556,-1,-1,0,0,0,0,17333,5.38,0,0,0,0,0,57.11,0.21,9.052,Gas_NGPL_z16,0.4,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CC_4_z16,184
185,16,gas-CT_1_z16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2127,0,0,0,51.87804878,-1,-1,0,0,0,0,5511,6.93,0,0,0,0,0,87.95,0.2,12.738,Gas_NGPL_z16,0.2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CT_1_z16,185
186,16,o-g-s_1_z16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6042,0,0,0,201.4,-1,-1,0,0,0,0,10565,0.37,0,0,0,0,0,87.95,0.2,11.847,Gas_NGPL_z16,0.2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,o-g-s_1_z16,186
189,16,pumped-hydro_z16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,258,0,0,-1,258,-1,0,0,0,0,0,31899,0,0,0,0,0,0,0,0,0,none,0,0,0.894,0.894,0.002378234,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,pumped-hydro_z16,189
192,12,pumped-hydro_z12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1616,0,0,-1,1616,-1,0,0,0,0,0,22384,0,0,0,0,0,0,0,0,0,none,0,0,0.894,0.894,0.000920607,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,pumped-hydro_z12,192
202,10,battery_z10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,0,0,76318,0,20430,0,0,0,0,0,0,0,0,0,none,0,0.003,0.922,0.922,0.25,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,battery_z10,202
204,12,battery_z12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-1,-1,0,0,79633,0,20430,0,0,0,0,0,0,0,0,0,none,0,0.003,0.922,0.922,0.25,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,battery_z12,204
208,16,battery_z16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,0,0,76848,0,20430,0,0,0,0,0,0,0,0,0,none,0,0.003,0.922,0.922,0.25,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,battery_z16,208
220,10,gas-CC_0_z10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1083,-1,-1,0,0,42127,0,12863,2.16,0,0,0,0,0,57.11,0.21,6.37,Gas_CHI_z10,0.4,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CC_0_z10,220
222,12,gas-CC_0_z12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1083,-1,-1,0,0,38975,0,12863,2.16,0,0,0,0,0,57.11,0.21,6.37,Gas_HH_z12,0.4,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CC_0_z12,222
226,16,gas-CC_0_z16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1083,-1,-1,0,0,37569,0,12863,2.16,0,0,0,0,0,57.11,0.21,6.37,Gas_NGPL_z16,0.4,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CC_0_z16,226
238,10,gas-CT_0_z10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,237,-1,-1,0,0,31603,0,11395,4.5,0,0,0,0,0,87.95,0.2,9.905,Gas_CHI_z10,0.2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CT_0_z10,238
240,12,gas-CT_0_z12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,237,-1,-1,0,0,28962,0,11395,4.5,0,0,0,0,0,87.95,0.2,9.905,Gas_HH_z12,0.2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CT_0_z12,240
244,16,gas-CT_0_z16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,237,-1,-1,0,0,27855,0,11395,4.5,0,0,0,0,0,87.95,0.2,9.905,Gas_NGPL_z16,0.2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,trans,0,0,0,0,0,gas-CT_0_z16,244
