Time_Index,ng,coal,biomass,nuclear,None
158,3.6,1.95,1.02,0.66,0
159,3.6,1.95,1.02,0.66,0
160,3.6,1.95,1.02,0.66,0
161,3.6,1.95,1.02,0.66,0
162,3.6,1.95,1.02,0.66,0
163,3.6,1.95,1.02,0.66,0
164,3.6,1.95,1.02,0.66,0
165,3.6,1.95,1.02,0.66,0
166,3.6,1.95,1.02,0.66,0
167,3.6,1.95,1.02,0.66,0
168,3.6,1.95,1.02,0.66,0
169,3.6,1.95,1.02,0.66,0
170,3.6,1.95,1.02,0.66,0
171,3.6,1.95,1.02,0.66,0
172,3.6,1.95,1.02,0.66,0
173,3.6,1.95,1.02,0.66,0
174,3.6,1.95,1.02,0.66,0
175,3.6,1.95,1.02,0.66,0
176,3.6,1.95,1.02,0.66,0
177,3.6,1.95,1.02,0.66,0
178,3.6,1.95,1.02,0.66,0
179,3.6,1.95,1.02,0.66,0
180,3.6,1.95,1.02,0.66,0
181,3.6,1.95,1.02,0.66,0
182,3.6,1.95,1.02,0.66,0
183,3.6,1.95,1.02,0.66,0
184,3.6,1.95,1.02,0.66,0
185,3.6,1.95,1.02,0.66,0
186,3.6,1.95,1.02,0.66,0
187,3.6,1.95,1.02,0.66,0
188,3.6,1.95,1.02,0.66,0
189,3.6,1.95,1.02,0.66,0
190,3.6,1.95,1.02,0.66,0
191,3.6,1.95,1.02,0.66,0
192,3.6,1.95,1.02,0.66,0
193,3.6,1.95,1.02,0.66,0
194,3.6,1.95,1.02,0.66,0
195,3.6,1.95,1.02,0.66,0
196,3.6,1.95,1.02,0.66,0
197,3.6,1.95,1.02,0.66,0
198,3.6,1.95,1.02,0.66,0
199,3.6,1.95,1.02,0.66,0
200,3.6,1.95,1.02,0.66,0
201,3.6,1.95,1.02,0.66,0
202,3.6,1.95,1.02,0.66,0
203,3.6,1.95,1.02,0.66,0
204,3.6,1.95,1.02,0.66,0
205,3.6,1.95,1.02,0.66,0
206,3.6,1.95,1.02,0.66,0
207,3.6,1.95,1.02,0.66,0
208,3.6,1.95,1.02,0.66,0
209,3.6,1.95,1.02,0.66,0
210,3.6,1.95,1.02,0.66,0
211,3.6,1.95,1.02,0.66,0
212,3.6,1.95,1.02,0.66,0
213,3.6,1.95,1.02,0.66,0
214,3.6,1.95,1.02,0.66,0
215,3.6,1.95,1.02,0.66,0
216,3.6,1.95,1.02,0.66,0
217,3.6,1.95,1.02,0.66,0
218,3.6,1.95,1.02,0.66,0
219,3.6,1.95,1.02,0.66,0
220,3.6,1.95,1.02,0.66,0
221,3.6,1.95,1.02,0.66,0
222,3.6,1.95,1.02,0.66,0
223,3.6,1.95,1.02,0.66,0
224,3.6,1.95,1.02,0.66,0
225,3.6,1.95,1.02,0.66,0
226,3.6,1.95,1.02,0.66,0
227,3.6,1.95,1.02,0.66,0
228,3.6,1.95,1.02,0.66,0
229,3.6,1.95,1.02,0.66,0
230,3.6,1.95,1.02,0.66,0
231,3.6,1.95,1.02,0.66,0
232,3.6,1.95,1.02,0.66,0
233,3.6,1.95,1.02,0.66,0
234,3.6,1.95,1.02,0.66,0
235,3.6,1.95,1.02,0.66,0
236,3.6,1.95,1.02,0.66,0
237,3.6,1.95,1.02,0.66,0
238,3.6,1.95,1.02,0.66,0
239,3.6,1.95,1.02,0.66,0
240,3.6,1.95,1.02,0.66,0
241,3.6,1.95,1.02,0.66,0
242,3.6,1.95,1.02,0.66,0
243,3.6,1.95,1.02,0.66,0
244,3.6,1.95,1.02,0.66,0
245,3.6,1.95,1.02,0.66,0
246,3.6,1.95,1.02,0.66,0
247,3.6,1.95,1.02,0.66,0
248,3.6,1.95,1.02,0.66,0
249,3.6,1.95,1.02,0.66,0
250,3.6,1.95,1.02,0.66,0
251,3.6,1.95,1.02,0.66,0
252,3.6,1.95,1.02,0.66,0
253,3.6,1.95,1.02,0.66,0
254,3.6,1.95,1.02,0.66,0
255,3.6,1.95,1.02,0.66,0
256,3.6,1.95,1.02,0.66,0
257,3.6,1.95,1.02,0.66,0
258,3.6,1.95,1.02,0.66,0
259,3.6,1.95,1.02,0.66,0
260,3.6,1.95,1.02,0.66,0
261,3.6,1.95,1.02,0.66,0
262,3.6,1.95,1.02,0.66,0
263,3.6,1.95,1.02,0.66,0
264,3.6,1.95,1.02,0.66,0
265,3.6,1.95,1.02,0.66,0
266,3.6,1.95,1.02,0.66,0
267,3.6,1.95,1.02,0.66,0
268,3.6,1.95,1.02,0.66,0
269,3.6,1.95,1.02,0.66,0
270,3.6,1.95,1.02,0.66,0
271,3.6,1.95,1.02,0.66,0
272,3.6,1.95,1.02,0.66,0
273,3.6,1.95,1.02,0.66,0
274,3.6,1.95,1.02,0.66,0
275,3.6,1.95,1.02,0.66,0
276,3.6,1.95,1.02,0.66,0
277,3.6,1.95,1.02,0.66,0
278,3.6,1.95,1.02,0.66,0
279,3.6,1.95,1.02,0.66,0
280,3.6,1.95,1.02,0.66,0
281,3.6,1.95,1.02,0.66,0
282,3.6,1.95,1.02,0.66,0
283,3.6,1.95,1.02,0.66,0
284,3.6,1.95,1.02,0.66,0
285,3.6,1.95,1.02,0.66,0
286,3.6,1.95,1.02,0.66,0
287,3.6,1.95,1.02,0.66,0
288,3.6,1.95,1.02,0.66,0
289,3.6,1.95,1.02,0.66,0
290,3.6,1.95,1.02,0.66,0
291,3.6,1.95,1.02,0.66,0
292,3.6,1.95,1.02,0.66,0
293,3.6,1.95,1.02,0.66,0
294,3.6,1.95,1.02,0.66,0
295,3.6,1.95,1.02,0.66,0
296,3.6,1.95,1.02,0.66,0
297,3.6,1.95,1.02,0.66,0
298,3.6,1.95,1.02,0.66,0
299,3.6,1.95,1.02,0.66,0
300,3.6,1.95,1.02,0.66,0
301,3.6,1.95,1.02,0.66,0
302,3.6,1.95,1.02,0.66,0
303,3.6,1.95,1.02,0.66,0
304,3.6,1.95,1.02,0.66,0
305,3.6,1.95,1.02,0.66,0
306,3.6,1.95,1.02,0.66,0
307,3.6,1.95,1.02,0.66,0
308,3.6,1.95,1.02,0.66,0
309,3.6,1.95,1.02,0.66,0
310,3.6,1.95,1.02,0.66,0
311,3.6,1.95,1.02,0.66,0
312,3.6,1.95,1.02,0.66,0
313,3.6,1.95,1.02,0.66,0
314,3.6,1.95,1.02,0.66,0
315,3.6,1.95,1.02,0.66,0
