Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,2.6001386406423203e10,4.673538506355917e9,5.725373898234513e9
cVar,7.130333354038979e9,5.71225280055523e9,4.378606027550296e9
cNSE,0.0,0.0,0.0
cStart,2.6896459928050023e8,1.5685061846861553e8,2.800428596966461e8
cUnmetRsv,8.708142794563045e7,1.1351684778978353e7,9.810467340995e7
cNetworkExp,0.0,0.0,0.0
