Iteration_Number,Seconds,Upper_Bound,Lower_Bound,Relative_Gap
1,406.97300004959106,4.09678136027776e10,4.0139025181654594e10,0.020647945917276627
2,311.0239999294281,4.076386960306452e10,4.032987137874202e10,0.01076121022670218
3,229.8400001525879,4.064257234003674e10,4.051403259566375e10,0.003172721551958054
