Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
NGCC_bf,1,3400.0,0.0,0.0,0.0
NGCC_gf,1,0.0,34586.38469086766,24415.95618779955,0.0
NGCT_bf,1,8200.0,8200.0,1059.934320106353,516.8807544047386
NGCT_gf,1,0.0,0.0,0.0,0.0
NGST,1,1060.0,1060.0,1060.0,1060.0
Coal,1,14700.0,-1.8189894035458565e-12,-1.8189894035458565e-12,0.0
Nuclear,1,2360.0,2360.0,2360.0,2360.0
Biomass,1,20.0,20.0,20.0,20.0
SolarPV,1,40.0,9783.0175021564,9783.0175021564,14790.079894066914
Wind,1,5720.0,5720.0,5720.0,8537.182275220825
Hydro,1,480.0,480.0,480.0,480.0
PHS,1,480.0,0.0,0.0,0.0
Li-ion,1,0.0,5.366320116348561,5.366320116348561,23.285305222773527
Retro_NGCC_CCS,1,0.0,2890.0,12043.385652761293,29175.47595581881
Retro_NGCC_H2,1,0.0,0.0,0.0,4842.270265962083
Retro_Coal_TES,1,0.0,0.0,0.0,0.0
Retro_Coal_SMR,1,0.0,12495.0,12495.0,12495.0
Total,n/a,36460.0,77599.76851314041,69442.65998293995,74300.17445069614
