Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,SolarPV,Retro_NGCC_CCS,Retro_NGCC_H2,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,5.084728330793596e9,0.0,0.0,5.084728330793596e9
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,736147.0844441544,0.0,0.0,736147.0844441544
t10,0.0,0.0,0.0,0.0,1.4353209587323498e6,0.0,0.0,1.4353209587323498e6
t11,0.0,0.0,0.0,0.0,1.9313225026561301e6,0.0,0.0,1.9313225026561301e6
t12,0.0,0.0,0.0,0.0,2.167237496121759e6,0.0,0.0,2.167237496121759e6
t13,0.0,0.0,0.0,0.0,2.2008966970402016e6,0.0,0.0,2.2008966970402016e6
t14,0.0,0.0,0.0,0.0,2.1608134796057763e6,0.0,0.0,2.1608134796057763e6
t15,0.0,0.0,0.0,0.0,1.8747180489677128e6,0.0,0.0,1.8747180489677128e6
t16,0.0,0.0,0.0,0.0,1.3484240359653458e6,0.0,0.0,1.3484240359653458e6
t17,0.0,0.0,0.0,0.0,606717.0939391177,0.0,0.0,606717.0939391177
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0,731551.0384417895,0.0,0.0,731551.0384417895
t34,0.0,0.0,0.0,0.0,1.4031860317925652e6,0.0,0.0,1.4031860317925652e6
t35,0.0,0.0,0.0,0.0,1.8906196598538253e6,0.0,0.0,1.8906196598538253e6
t36,0.0,0.0,0.0,0.0,2.133877527198146e6,0.0,0.0,2.133877527198146e6
t37,0.0,0.0,0.0,0.0,2.0414710857542984e6,0.0,0.0,2.0414710857542984e6
t38,0.0,0.0,0.0,0.0,1.8774642255817298e6,0.0,0.0,1.8774642255817298e6
t39,0.0,0.0,0.0,0.0,1.5124248813988243e6,0.0,0.0,1.5124248813988243e6
t40,0.0,0.0,0.0,0.0,838646.2056161409,0.0,0.0,838646.2056161409
t41,0.0,0.0,0.0,0.0,203727.13955730424,0.0,0.0,203727.13955730424
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
