Costs,Total,Zone1,Zone2,Zone3
cTotal,4.184847887091103e10,5.136242516407951e9,5.991920335847116e10,1.2603887478975067e10
cFix,9.58742081886553e10,6.966606561059582e9,7.537099219546881e10,1.3536609432126896e10
cVar,4.900866578933794e8,3.2306892966375715e8,1.255270795395479e8,4.149064869007936e7
cNSE,0.0,0.0,0.0,0.0
cStart,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-
cNetworkExp,9.999313238779538e8,-,-,-
