Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind
1,1,0,1,0.569944978,0,1,0.920104027
2,1,0,1,0.623258889,0,1,0.882233679
3,1,0,1,0.694188416,0,1,0.89507395
4,1,0,1,0.647399664,0,1,0.87304908
5,1,0,1,0.381773531,0,1,0.831012249
6,1,0,1,0.244582877,0,1,0.776541591
7,1,0,1,0.293396771,0,1,0.704862773
8,1,0,1,0.37860319,0,1,0.64796108
9,1,0.1779,1,0.329338044,0.2003,1,0.526324749
10,1,0.429,1,1.52E-05,0.4221,1,0.079201177
11,1,0.5748,1,4.55E-05,0.5774,1,0.02501085
12,1,0.6484,1,0.00057204,0.6504,1,0.006543793
13,1,0.6208,1,0.086801805,0.6166,1,0.012104483
14,1,0.596,1,0.341097623,0.6205,1,0.018969901
15,1,0.5013,1,0.326572925,0.513,1,0.034807973
16,1,0.3311,1,0.38522929,0.3369,1,0.089363858
17,1,0.0642,1,0.25948137,0.1068,1,0.198931903
18,1,0,1,0.818314612,0,1,0.486049294
19,1,0,1,0.947374165,0,1,0.695741773
20,1,0,1,0.884191096,0,1,0.893018901
21,1,0,1,0.863175511,0,1,0.884643197
22,1,0,1,0.935150564,0,1,0.961134374
23,1,0,1,0.973402262,0,1,0.955752611
24,1,0,1,0.746089995,0,1,0.952378809
25,1,0,1,0.433065981,0,1,0.905306697
26,1,0,1,0.503579199,0,1,0.868118405
27,1,0,1,0.820716262,0,1,0.810200989
28,1,0,1,0.861984015,0,1,0.878156662
29,1,0,1,0.635637224,0,1,0.943921924
30,1,0,1,0.684829473,0,1,0.907720923
31,1,0,1,0.745589137,0,1,0.828339458
32,1,0,1,0.27747938,0,1,0.849667013
33,1,0.16,1,0.655076563,0.1615,1,0.907849193
34,1,0.3418,1,0.843971074,0.4263,1,0.964260221
35,1,0.4952,1,0.989659667,0.57,1,0.942756534
36,1,0.5654,1,0.995543838,0.6482,1,0.85308063
37,1,0.5713,1,1,0.6314,1,0.791825891
38,1,0.5414,1,1,0.5409,1,0.882102609
39,1,0.4677,1,0.998463929,0.4277,1,0.888284206
40,1,0.3193,1,0.957467973,0.3402,1,0.899303496
41,1,0.1003,1,0.884891868,0.1301,1,0.918197513
42,1,0,1,0.697858751,0,1,0.785050571
43,1,0,1,0.532083452,0,1,0.849610209
44,1,0,1,0.179168805,0,1,0.890681326
45,1,0,1,0.460624933,0,1,0.895241141
46,1,0,1,0.575961411,0,1,0.842129111
47,1,0,1,0.526084423,0,1,0.778776944
