Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,CT_natural_gas_combined_cycle,CT_solar_pv,Total
Zone,1,1,1,1,2,2,0
Sum,1.5908263e-5,0.0,0.0,0.0,7.604739e-8,0.0,1.598431e-5
t1,5.968957115531986e-7,0.0,0.0,0.0,2.8260180299671206e-9,0.0,5.997217295831657e-7
t2,5.34471083699838e-7,0.0,0.0,0.0,2.559085268979025e-9,0.0,5.37030168968817e-7
t3,4.822542200691988e-7,0.0,0.0,0.0,2.3349590402036025e-9,0.0,4.845891791094024e-7
t4,4.211643673532322e-7,0.0,0.0,0.0,2.1421230366455787e-9,0.0,4.2330649038987775e-7
t5,3.690155224740219e-7,0.0,0.0,0.0,1.97368288804492e-9,0.0,3.709892053620668e-7
t6,3.3407800419087374e-7,0.0,0.0,0.0,1.8253893170824714e-9,0.0,3.359033935079562e-7
t7,3.0518604725139605e-7,0.0,0.0,0.0,1.6940538868426722e-9,0.0,3.0688010113823874e-7
t8,2.797342310308866e-7,0.0,0.0,0.0,1.5774054855653813e-9,0.0,2.81311636516452e-7
t9,2.574766810736953e-7,0.0,0.0,0.0,1.470179318899151e-9,0.0,2.5894686039259444e-7
t10,2.3809358576389348e-7,0.0,0.0,0.0,1.3710339707710126e-9,0.0,2.3946461973466447e-7
t11,2.2158300449984944e-7,0.0,0.0,0.0,1.2823238309285184e-9,0.0,2.2286532833077796e-7
t12,2.428801820104165e-7,0.0,0.0,0.0,1.1491230723522453e-9,0.0,2.4402930508276874e-7
t13,2.707241748705442e-7,0.0,0.0,0.0,1.3722922109706205e-9,0.0,2.720964670815148e-7
t14,3.1465579291116093e-7,0.0,0.0,0.0,1.6197174387263311e-9,0.0,3.162755103498873e-7
t15,3.761759039296936e-7,0.0,0.0,0.0,2.3019055022587442e-9,0.0,3.7847780943195237e-7
t16,3.3072001391106036e-7,0.0,0.0,0.0,1.7610019293974681e-9,0.0,3.3248101584045785e-7
t17,3.078427598707079e-7,0.0,0.0,0.0,1.5154936778979006e-9,0.0,3.093582535486058e-7
t18,3.4902956594786205e-6,0.0,0.0,0.0,1.5191666811350315e-8,0.0,3.505487326289971e-6
t19,1.845601703305279e-6,0.0,0.0,0.0,8.268363306488031e-9,0.0,1.853870066611767e-6
t20,1.3210998245933558e-6,0.0,0.0,0.0,6.01969523242473e-9,0.0,1.3271195198257806e-6
t21,1.0534808069808326e-6,0.0,0.0,0.0,4.875831780925155e-9,0.0,1.0583566387617578e-6
t22,8.849681735163939e-7,0.0,0.0,0.0,4.171105137980925e-9,0.0,8.891392786543748e-7
t23,7.610622160204537e-7,0.0,0.0,0.0,3.587695212724346e-9,0.0,7.646499112331781e-7
t24,6.688040759261328e-7,0.0,0.0,0.0,3.1572451333746033e-9,0.0,6.719613210595074e-7
