Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,CT_natural_gas_combined_cycle,CT_solar_pv,Total
Zone,1,1,1,1,2,2,0
AnnualSum,1.26002216e8,0.0042205285,7.2485064e7,1.1699264e6,1.12948104e8,0.0040596705,3.126053e8
t1,9958.993702444537,0.0,13793.109483489947,1.254804352313716e-5,9751.363345107306,0.0,33503.466543589835
t2,9958.993702870757,0.0,13607.051426429665,2.7201130847387588e-5,8131.969254293692,0.0,31698.014410795244
t3,9958.993689725348,0.0,14005.608922389325,5.243427837701081e-6,7173.1511024065185,0.0,31137.753719764616
t4,9958.993689442768,0.0,13877.384636147839,6.893551163283698e-6,6946.151100025324,0.0,30782.529432509484
t5,9958.99370212006,0.0,11739.624646766368,1.729101472837244e-5,7854.997138923544,0.0,29553.615505100985
t6,9958.99372297418,0.0,9781.16429761291,1.4419290077656562e-5,10314.480331555736,0.0,30054.638366562118
t7,9958.993721854897,0.0,8637.818301561923,9.149988782068818e-6,12600.22026167851,0.0,31197.03229424532
t8,9958.993723673779,0.0,9414.065712720068,7.209324171765276e-6,12833.706824699102,0.0,32206.76626830227
t9,13099.986716430863,4.0797412509821416e-7,6564.164455562866,6.873440026180867e-6,14266.151053937756,4.425399748150688e-7,33930.30223365544
t10,20670.333192812366,1.147890729419019e-6,115.81796453984873,5.694544532383439e-6,14827.151080946236,1.051813351531262e-6,35613.302246192696
t11,21279.901040507495,1.7881262457058653e-6,39.31421296165096,140.93583862561192,15164.151127340103,1.5423715661609602e-6,36624.30222276536
t12,21279.901041196284,2.0507253351919065e-6,33.388529437271295,520.332684550934,15164.151141510929,1.9658621769644187e-6,36997.773400712
t13,21279.901041638674,1.9509933642771137e-6,69.00794388494283,663.9794344545539,15164.151142093397,1.842170455725285e-6,37177.03956586473
t14,21279.90104196919,1.8612209717332366e-6,119.55122623648778,281.7937440202935,15164.151143340401,1.885580241568055e-6,36845.39715931317
t15,20786.702504670553,1.3800069875103149e-6,1563.4301432930538,2.4913189566785305e-6,15117.15106636111,1.3266983981900948e-6,37467.28371952274
t16,19315.067845999558,8.396524300198757e-7,3128.4992904263268,4.748923171037558e-6,15164.15102819998,8.126488098444855e-7,37607.718171027096
t17,21279.90104376608,1.682688382578212e-7,2200.3604075078433,1607.0416956038785,15164.151144866786,2.8325592869334915e-7,40251.45429219611
t18,19670.054898574126,0.0,8790.44000267642,1.5268037988699805e-6,15164.151117414129,0.0,43624.64602019148
t19,13540.495346703916,0.0,14666.03912815703,5.17813482800825e-6,15164.15110602495,0.0,43370.685586064035
t20,12570.740452202042,0.0,14315.19993126978,6.36111133252519e-6,15164.151105328108,0.0,42050.09149516105
t21,10558.115095555604,0.0,14780.160730063479,7.8285890498154e-6,15164.151100247738,0.0,40502.42693369541
t22,9958.99372585113,0.0,14405.290062090799,7.724820651995878e-6,13966.323489399783,0.0,38330.60728506654
t23,9958.99371970278,0.0,13170.080708889798,9.579844388443607e-6,12509.663414202205,0.0,35638.73785237463
t24,9958.993720465336,0.0,10318.21678113604,1.2294373195187231e-5,12363.000843313754,0.0,32640.211357209504
