Costs,Total,Zone1,Zone2
cTotal,1.2103281216775963e10,7.633144450302135e9,4.421024171974038e9
cFix,5.014531944833072e9,3.875734521796354e9,1.138797423036719e9
cVar,7.088749269259385e9,3.8065225203220673e9,3.2822267489373193e9
cNSE,1.0938556889569282,0.6121277709156492,0.481727918041279
cStart,1.2447264293207927,0.5683023913909134,0.6764240379298798
cUnmetRsv,0.0,-,-
cNetworkExp,0.3449214161302043,-,-
cGridCost,0.0,-,-
