Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,CT_natural_gas_combined_cycle,CT_solar_pv
Zone,1,1,1,1,2,2
t1,0.0,0.0,0.0,-27674.975914737748,0.0,0.0
t2,0.0,0.0,0.0,-26586.815749869707,0.0,0.0
t3,0.0,0.0,0.0,-25225.193680588793,0.0,0.0
t4,0.0,0.0,0.0,-25225.193608229707,0.0,0.0
t5,0.0,0.0,0.0,-27581.792115529006,0.0,0.0
t6,0.0,0.0,0.0,-28602.406363178266,0.0,0.0
t7,0.0,0.0,0.0,-29352.829415578428,0.0,0.0
t8,0.0,0.0,0.0,-30071.169322723512,0.0,0.0
t9,0.0,0.0,0.0,-30918.13143419642,0.0,0.0
t10,0.0,0.0,0.0,-32066.127760642816,0.0,0.0
t11,0.0,0.0,0.0,-47294.264672540274,0.0,0.0
t12,0.0,0.0,0.0,-47294.26492447206,0.0,0.0
t13,0.0,0.0,0.0,-47294.264774685624,0.0,0.0
t14,0.0,0.0,0.0,-42197.831236406724,0.0,0.0
t15,0.0,0.0,0.0,-32934.130674905675,0.0,0.0
t16,0.0,0.0,0.0,-32934.13061201285,0.0,0.0
t17,0.0,0.0,0.0,-72431.86297029053,0.0,0.0
t18,0.0,0.0,0.0,-32483.782238380387,0.0,0.0
t19,0.0,0.0,0.0,-31710.715048136142,0.0,0.0
t20,0.0,0.0,0.0,-30997.194499892135,0.0,0.0
t21,0.0,0.0,0.0,-30344.44703630458,0.0,0.0
t22,0.0,0.0,0.0,-29708.448777467805,0.0,0.0
t23,0.0,0.0,0.0,-29081.8175573801,0.0,0.0
t24,0.0,0.0,0.0,-28419.67228884565,0.0,0.0
