Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,CT_natural_gas_combined_cycle,CT_solar_pv
Zone,1,1,1,1,2,2
t1,21279.90103576877,0.0,0.0,0.0,60.65660454836564,0.0
t2,21279.901035658095,0.0,0.0,0.0,60.65660454817318,0.0
t3,21279.901035640887,0.0,0.0,0.0,60.6566045483761,0.0
t4,21279.901035753952,0.0,0.0,0.0,60.6566045489597,0.0
t5,21279.90103600994,0.0,0.0,0.0,60.65660454993926,0.0
t6,21279.901036388088,0.0,0.0,0.0,60.65660455132264,0.0
t7,21279.901036901727,0.0,0.0,0.0,60.65660455314802,0.0
t8,21279.901037591473,0.0,0.0,0.0,60.65660455545556,0.0
t9,21279.90103853608,0.0,0.0,0.0,60.65660455836503,0.0
t10,21279.901039884964,0.0,0.0,0.0,60.65660456206635,0.0
t11,21279.90104189642,0.0,0.0,0.0,60.65660456672107,0.0
t12,21279.901042687685,0.0,0.0,0.0,60.656604571995295,0.0
t13,21279.901043132293,0.0,0.0,0.0,60.656604575015145,0.0
t14,21279.9010433796,0.0,0.0,0.0,60.65660457685027,0.0
t15,21279.90104346816,0.0,0.0,0.0,60.65660457721491,0.0
t16,21279.901043709848,0.0,0.0,0.0,60.65660457881976,0.0
t17,21279.901044184906,0.0,0.0,0.0,60.65660458200886,0.0
t18,21279.9010408981,0.0,0.0,0.0,60.65660456833316,0.0
t19,21279.90103926763,0.0,0.0,0.0,60.6566045615998,0.0
t20,21279.901038178185,0.0,0.0,0.0,60.6566045572222,0.0
t21,21279.901037376338,0.0,0.0,0.0,60.656604554081056,0.0
t22,21279.90103676656,0.0,0.0,0.0,60.656604551738745,0.0
t23,21279.901036309344,0.0,0.0,0.0,60.6566045500963,0.0
t24,21279.901035979987,0.0,0.0,0.0,60.65660454901048,0.0
