,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
AnnualSum,1.984872784585596e8,1.1699264185747127e6,-1.3822382071865639e6,0.0,0.0,0.0,1.2242555418312981e-5,9.170715113330588e6,-109097.78329036575,-2.07336584e8,1.129481048966707e8,0.0,0.0,0.0,0.0,0.0,9.63455836082558e-6,-9.170715113330588e6,-109097.78329036575,-1.03668292e8
t1,23752.103185934484,1.254804352313716e-5,-7.873159329637117e-6,0,-0.0,0,1.381101955322765e-9,-1419.3699227522106,-8.733267858670379,-22324,9751.363345107306,0.0,0,0,-0.0,0,1.1280146542552776e-9,1419.3699227522106,-8.733267858670379,-11162
t2,23566.045129300423,2.7201130847387588e-5,-6.474541544505787e-6,0,-0.0,0,1.3308611136864746e-9,-2439.0379478674317,-15.007202160404159,-21112,8131.969254293692,0.0,0,0,-0.0,0,1.0964415732139846e-9,2439.0379478674317,-15.007202160404159,-10556
t3,23964.60261211467,5.243427837701081e-6,-786.4515004005153,0,-0.0,0,1.2865595266881059e-9,-2950.00000727593,-18.151109681867272,-20210,7173.1511024065185,0.0,0,0,-0.0,0,1.0719894401783597e-9,2950.00000727593,-18.151109681867272,-10105
t4,23836.37832559061,6.893551163283698e-6,-1112.2272131285945,0,-0.0,0,1.2686149779631295e-9,-2950.0000096653694,-18.15110969015369,-19756,6946.151100025324,0.0,0,0,-0.0,0,1.0605592220794435e-9,2950.0000096653694,-18.15110969015369,-9878
t5,21698.618348886426,1.729101472837244e-5,-7.974569758439677e-6,0,-0.0,0,1.2918224726839641e-9,-2000.3106096402237,-12.307748563053147,-19686,7854.997138923544,0.0,0,0,-0.0,0,1.062899967885517e-9,2000.3106096402237,-12.307748563053147,-9843
t6,19740.158020587092,1.4419290077656562e-5,-7.937012860387328e-6,0,-0.0,0,1.3315860681111006e-9,295.6611522421897,-1.819179312617084,-20034,10314.480331555736,0.0,0,0,-0.0,0,1.0757923645960639e-9,-295.6611522421897,-1.819179312617084,-10017
t7,18596.81202341682,9.149988782068818e-6,-1.0570400355665194e-5,0,-0.0,0,1.376901072133144e-9,2196.7041198395873,-13.516141837815017,-20780,12600.22026167851,0.0,0,0,-0.0,0,1.0970765918131743e-9,-2196.7041198395873,-13.516141837815017,-10390
t8,19373.059436393847,7.209324171765276e-6,-1.4350653274153419e-5,0,-0.0,0,1.3927647487481965e-9,2093.8236977216625,-12.883126976348835,-21454,12833.706824699102,0.0,0,0,-0.0,0,1.1127987623589634e-9,-2093.8236977216625,-12.883126976348835,-10727
t9,19664.151172401704,6.873440026180867e-6,-1.4787568647045515e-5,0,-0.0,0,1.2739467089157304e-9,2949.999944944123,-18.15110943200226,-22596,14266.151054380296,0.0,0,0,-0.0,0,1.0014923802902261e-9,-2949.999944944123,-18.15110943200226,-11298
t10,20786.151158500106,5.694544532383439e-6,-2.7133897881678986e-5,0,-0.0,0,1.3197965435351371e-9,2949.99997246683,-18.151109528178853,-23718,14827.15108199805,0.0,0,0,-0.0,0,1.00049523677257e-9,-2949.99997246683,-18.151109528178853,-11859
t11,21319.215255257273,140.93583862561192,-3.2330820215813025e-6,0,-0.0,0,1.314629033888131e-9,2950.000019067758,-18.151109717918036,-24392,15164.151128882475,0.0,0,0,-0.0,0,9.947862741378976e-10,-2950.000019067758,-18.151109717918036,-12196
t12,21313.28957268428,520.332684550934,-3.452667535883986e-6,0,-0.0,0,1.3080961090194846e-9,2825.7644448461006,-17.386698628810496,-24642,15164.15114347679,0.0,0,0,-0.0,0,9.954724351324962e-10,-2825.7644448461006,-17.386698628810496,-12321
