,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t13,21348.90898747461,663.9794344545539,-3.5634551021032307e-6,0,-0.0,0,1.3171494683303767e-9,2766.131362783752,-17.01978114996684,-24762,15164.151143935567,0.0,0,0,-0.0,0,9.954269566278118e-10,-2766.131362783752,-17.01978114996684,-12381
t14,21399.4522700669,281.7937440202935,-2.299979995690256e-6,0,-0.0,0,1.314336670461898e-9,2876.452566721967,-17.698578502026766,-24540,15164.151145225982,0.0,0,0,-0.0,0,9.955832575640894e-10,-2876.452566721967,-17.698578502026766,-12270
t15,22350.132649343614,2.4913189566785305e-6,-983.9815005897788,0,-0.0,0,1.312773892959013e-9,2949.999958219601,-18.151109465831414,-24298,15117.151067687808,0.0,0,0,-0.0,0,9.985425716149318e-10,-2949.999958219601,-18.151109465831414,-12149
t16,22443.567137265538,4.748923171037558e-6,-914.6972545691316,0,-0.0,0,1.342867692751916e-9,2927.140570781286,-18.010458227961717,-24438,15164.151029012628,0.0,0,0,-0.0,0,1.0249638745534976e-9,-2927.140570781286,-18.010458227961717,-12219
t17,23480.26145144219,1607.0416956038785,-4.6134072703739303e-7,0,-0.0,0,1.496113940343334e-9,1743.4239992803282,-10.727145864955506,-26820,15164.151145150043,0.0,0,0,-0.0,0,1.1116746406337497e-9,-1743.4239992803282,-10.727145864955506,-13410
t18,28460.494901250546,1.5268037988699805e-6,-5.6796403101105504e-5,0,-0.0,0,1.7310717222776086e-9,621.3281357121193,-3.822981699972252,-29078,15164.151117414129,0.0,0,0,-0.0,0,1.3151537220881695e-9,-621.3281357121193,-3.822981699972252,-14539
t19,28206.534474860946,5.17813482800825e-6,-2.306894093710948e-5,0,-0.0,0,1.6640678380065974e-9,705.8083245240911,-4.342781499266575,-28908,15164.15110602495,0.0,0,0,-0.0,0,1.3014117366668197e-9,-705.8083245240911,-4.342781499266575,-14454
t20,26885.940383471825,6.36111133252519e-6,-1.4398898816954683e-5,0,-0.0,0,1.6281946111138043e-9,1145.1053649439573,-7.045740382638335,-28024,15164.151105328108,0.0,0,0,-0.0,0,1.2783546582504132e-9,-1145.1053649439573,-7.045740382638335,-14012
t21,25338.275825619083,7.8285890498154e-6,-1.0861765634112569e-5,0,-0.0,0,1.5761842404405641e-9,1659.9376388282728,-10.21346141812571,-26988,15164.151100247738,0.0,0,0,-0.0,0,1.2499250104117748e-9,-1659.9376388282728,-10.21346141812571,-13494
t22,24364.28378794193,7.724820651995878e-6,-1.1402909982011153e-5,0,-0.0,0,1.5169356896145642e-9,1187.0198525657715,-7.303636832816993,-25544,13966.323489399783,0.0,0,0,-0.0,0,1.212338206527795e-9,-1187.0198525657715,-7.303636832816993,-12772
t23,23129.074428592576,9.579844388443607e-6,-9.048546212659503e-6,0,-0.0,0,1.4542092356267536e-9,628.794492537408,-3.8689216637048562,-23754,12509.663414202205,0.0,0,0,-0.0,0,1.1674093769409282e-9,-628.794492537408,-3.8689216637048562,-11877
t24,20277.210501601374,1.2294373195187231e-5,-7.673185670091214e-6,0,-0.0,0,1.40280867373255e-9,1479.895168544113,-9.105674768536007,-21748,12363.000843313754,0.0,0,0,-0.0,0,1.1199640107510438e-9,-1479.895168544113,-9.105674768536007,-10874
