Time_Index,MA_natural_gas,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
18,1.0,0.392801732,0.1242,1.0,0.392801732,0.1625,1.0,0.560484052,0.1242,1.0,1.0,1.0
19,1.0,0.536450446,0.0,1.0,0.536450446,0.0,1.0,0.601749539,0.0,1.0,1.0,1.0
20,1.0,0.939421058,0.0,1.0,0.939421058,0.0,1.0,0.709239244,0.0,1.0,1.0,1.0
21,1.0,0.438982993,0.0,1.0,0.438982993,0.0,1.0,0.753030419,0.0,1.0,1.0,1.0
22,1.0,0.353878379,0.0,1.0,0.353878379,0.0,1.0,0.699030638,0.0,1.0,1.0,1.0
23,1.0,0.556829035,0.0,1.0,0.556829035,0.0,1.0,0.5368644,0.0,1.0,1.0,1.0
24,1.0,0.65021956,0.0,1.0,0.65021956,0.0,1.0,0.578089058,0.0,1.0,1.0,1.0
25,1.0,0.622024417,0.0,1.0,0.622024417,0.0,1.0,0.555813074,0.0,1.0,1.0,1.0
26,1.0,0.764623284,0.0,1.0,0.764623284,0.0,1.0,0.538930714,0.0,1.0,1.0,1.0
27,1.0,0.715029895,0.0,1.0,0.715029895,0.0,1.0,0.462965727,0.0,1.0,1.0,1.0
28,1.0,0.372809708,0.0,1.0,0.372809708,0.0,1.0,0.360287905,0.0,1.0,1.0,1.0
29,1.0,0.113940589,0.0,1.0,0.113940589,0.0,1.0,0.488380849,0.0,1.0,1.0,1.0
30,1.0,0.056374628,0.0,1.0,0.056374628,0.0,1.0,0.599999964,0.0,1.0,1.0,1.0
31,1.0,0.016238747,0.0,1.0,0.016238747,0.0,1.0,0.561654091,0.0,1.0,1.0,1.0
32,1.0,0.333949357,0.1809,1.0,0.333949357,0.1937,1.0,0.482259929,0.1809,1.0,1.0,1.0
33,1.0,0.144480377,0.3869,1.0,0.144480377,0.4011,1.0,0.261952311,0.3869,1.0,1.0,1.0
34,1.0,2.18e-5,0.5486,1.0,2.18e-5,0.5435,1.0,0.171321541,0.5486,1.0,1.0,1.0
35,1.0,0.000401923,0.673,1.0,0.000401923,0.6766,1.0,0.103632301,0.673,1.0,1.0,1.0
36,1.0,0.009390152,0.688,1.0,0.009390152,0.6954,1.0,0.086341038,0.688,1.0,1.0,1.0
37,1.0,0.15701367,0.6933,1.0,0.15701367,0.698,1.0,0.134537384,0.6933,1.0,1.0,1.0
38,1.0,0.406255186,0.6864,1.0,0.406255186,0.6964,1.0,0.17796576,0.6864,1.0,1.0,1.0
39,1.0,0.417066693,0.65,1.0,0.417066693,0.6672,1.0,0.189786106,0.65,1.0,1.0,1.0
40,1.0,0.336111903,0.5134,1.0,0.336111903,0.5446,1.0,0.208149701,0.5134,1.0,1.0,1.0
41,1.0,0.290232033,0.3401,1.0,0.290232033,0.3849,1.0,0.401330531,0.3401,1.0,1.0,1.0
42,1.0,0.256617188,0.123,1.0,0.256617188,0.17,1.0,0.471578002,0.123,1.0,1.0,1.0
43,1.0,0.407308728,0.0,1.0,0.407308728,0.0,1.0,0.758596778,0.0,1.0,1.0,1.0
44,1.0,0.214790255,0.0,1.0,0.214790255,0.0,1.0,0.877489209,0.0,1.0,1.0,1.0
45,1.0,0.390825689,0.0,1.0,0.390825689,0.0,1.0,0.815006971,0.0,1.0,1.0,1.0
46,1.0,0.471649319,0.0,1.0,0.471649319,0.0,1.0,0.755335033,0.0,1.0,1.0,1.0
47,1.0,0.307960331,0.0,1.0,0.307960331,0.0,1.0,0.65353626,0.0,1.0,1.0,1.0
48,1.0,0.340681136,0.0,1.0,0.340681136,0.0,1.0,0.605977595,0.0,1.0,1.0,1.0
49,1.0,0.290637463,0.0,1.0,0.290637463,0.0,1.0,0.56266588,0.0,1.0,1.0,1.0
50,1.0,0.219434485,0.0,1.0,0.219434485,0.0,1.0,0.582483292,0.0,1.0,1.0,1.0
51,1.0,0.292016774,0.0,1.0,0.292016774,0.0,1.0,0.645784974,0.0,1.0,1.0,1.0
52,1.0,0.488625586,0.0,1.0,0.488625586,0.0,1.0,0.775624633,0.0,1.0,1.0,1.0
53,1.0,0.340097755,0.0,1.0,0.340097755,0.0,1.0,0.69383806,0.0,1.0,1.0,1.0
54,1.0,0.235136852,0.0,1.0,0.235136852,0.0,1.0,0.752719223,0.0,1.0,1.0,1.0
55,1.0,0.588210523,0.0004,1.0,0.588210523,0.0,1.0,0.862523913,0.0004,1.0,1.0,1.0
56,1.0,0.332647651,0.1559,1.0,0.332647651,0.1358,1.0,0.737461805,0.1559,1.0,1.0,1.0
57,1.0,0.093162946,0.3681,1.0,0.093162946,0.3612,1.0,0.54701364,0.3681,1.0,1.0,1.0
58,1.0,0.001849365,0.5112,1.0,0.001849365,0.4843,1.0,0.360572845,0.5112,1.0,1.0,1.0
59,1.0,0.0,0.7546,1.0,0.0,0.723,1.0,0.313053399,0.7546,1.0,1.0,1.0
60,1.0,0.0,0.6648,1.0,0.0,0.6153,1.0,0.266081452,0.6648,1.0,1.0,1.0
61,1.0,0.000464521,0.6766,1.0,0.000464521,0.642,1.0,0.223596364,0.6766,1.0,1.0,1.0
62,1.0,0.103742942,0.6849,1.0,0.103742942,0.6483,1.0,0.218776628,0.6849,1.0,1.0,1.0
63,1.0,0.370955497,0.6482,1.0,0.370955497,0.6173,1.0,0.203460976,0.6482,1.0,1.0,1.0
64,1.0,0.341479361,0.5121,1.0,0.341479361,0.5187,1.0,0.224217921,0.5121,1.0,1.0,1.0
65,1.0,0.444000244,0.3377,1.0,0.444000244,0.3615,1.0,0.330130666,0.3377,1.0,1.0,1.0
66,1.0,0.292105019,0.1213,1.0,0.292105019,0.1552,1.0,0.519130349,0.1213,1.0,1.0,1.0
67,1.0,0.224894032,0.0,1.0,0.224894032,0.0,1.0,0.726869047,0.0,1.0,1.0,1.0
68,1.0,0.31001246,0.0,1.0,0.31001246,0.0,1.0,0.743680954,0.0,1.0,1.0,1.0
69,1.0,0.206186026,0.0,1.0,0.206186026,0.0,1.0,0.728035569,0.0,1.0,1.0,1.0
70,1.0,0.352164268,0.0,1.0,0.352164268,0.0,1.0,0.608524561,0.0,1.0,1.0,1.0
71,1.0,0.416088998,0.0,1.0,0.416088998,0.0,1.0,0.492403865,0.0,1.0,1.0,1.0
72,1.0,0.530061185,0.0,1.0,0.530061185,0.0,1.0,0.513981462,0.0,1.0,1.0,1.0
