region,cluster,Resource,Resource_Type,MGA,R_ID,Zone,Commit,Model,LDS,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Can_Retire,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Ramp_Up_Percentage,Ramp_Dn_Percentage,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost
NENGREST,1,NENGREST_hydroelectric_pumped_storage_1,hydroelectric_pumped_storage,0,3,1,0,1,0,0,0,1768.002,0,280635.2381,0,0,294.67,0,0.0,0,-1,0,-1,0,40113,0,0,0,0,0.0,0.0,0,0.0,0.0,None,0.532,0,0.866,0.866,158.730159,0,200,1.0,1.0,0.083333333,0.166666667,0,0
NENG_CT,1,NENG_CT_hydroelectric_pumped_storage_1,hydroelectric_pumped_storage,0,16,2,0,1,0,0,0,30.999,0,4920.47619,0,0,10.33,0,0.0,0,-1,0,-1,0,40113,0,0,0,0,0.0,0.0,0,0.0,0.0,None,0.871,0,0.866,0.866,158.730159,0,200,1.0,1.0,0.083333333,0.166666667,0,0
NENGREST,0,NENGREST_battery_mid_0,battery_mid,0,36,1,0,1,0,0,0,0.0,0,0.0,1,1,1.0,0,-1.0,0,-1,0,-1,19584,4895,22494,5622,0,0,0.15,0.15,0,0.0,0.0,None,0.0,0,0.92,0.92,1.0,1,10,1.0,1.0,0.083333333,0.166666667,0,0
NENG_CT,0,NENG_CT_battery_mid_0,battery_mid,0,44,2,0,1,0,0,0,0.0,0,0.0,1,1,1.0,0,-1.0,0,-1,0,-1,19584,4895,22494,5622,0,0,0.15,0.15,0,0.0,0.0,None,0.0,0,0.92,0.92,1.0,1,10,1.0,1.0,0.083333333,0.166666667,0,0
NENG_ME,0,NENG_ME_battery_mid_0,battery_mid,0,52,3,0,1,0,0,0,0.0,0,0.0,1,1,1.0,0,-1.0,0,-1,0,-1,19584,4895,22494,5622,0,0,0.15,0.15,0,0.0,0.0,None,0.0,0,0.92,0.92,1.0,1,10,1.0,1.0,0.083333333,0.166666667,0,0
