Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Subperiods,Hours_per_period,Sub_Weights_1,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18
10000,1,1,1,11,168,336.92307692307696,1,8760,1,1,3458.3604,8211.391151,5061.225306,13030.54563,3803.317807,12315.17758,18421.19152,12441.56259,5850.560526,2776.482419,5143.793718,25500.664,2882.499661,4068.321289,7976.328708,18484.01458,11218.70234,25714.87958
,,,,,,842.3076923076924,,,,2,3435.672,8137.304907,4998.065982,12859.39577,3769.167441,12260.30221,18494.91076,12355.64082,5823.564714,2751.552109,5170.876216,25415.5328,2921.732414,4067.422461,8019.178986,18613.38148,11038.31484,25926.02695
,,,,,,842.3076923076924,,,,3,3499.4156,8107.843054,4965.363839,12806.90628,3757.227226,12270.61791,18663.21202,12316.60771,5813.045364,2742.835562,5214.8059,25310.5008,2972.666489,4184.158987,8209.485206,19145.28452,10976.37062,26388.0636
,,,,,,1347.6923076923078,,,,4,3600.9732,8159.800701,4974.086529,12872.14503,3806.819946,12483.58193,19136.28627,12379.84336,5917.582275,2779.039036,5340.267561,25774.8528,3106.361455,4333.953244,8634.209106,20052.28747,11017.89985,27158.65312
,,,,,,168.46153846153848,,,,5,3731.7016,8311.232101,5099.262719,13123.22799,3878.967884,12899.00303,19855.60002,12625.30719,6108.780281,2831.708177,5546.399085,26713.5072,3368.115244,4564.455829,9176.753057,21237.2681,11247.58685,28145.50982
,,,,,,168.46153846153848,,,,6,3972.6308,8722.807164,5395.9903,13712.99255,4052.996517,13627.12541,20863.25124,13226.44833,6464.055193,2958.751844,5821.578092,27745.032,3590.982197,4849.33923,9538.487503,21963.96734,11612.91646,28581.61814
,,,,,,1179.2307692307693,,,,7,4049.3392,9180.55181,5761.081951,14525.85859,4317.760657,14366.72599,21787.969,13921.04386,6768.34847,3152.033872,6087.274368,27947.3568,3636.210491,4881.508536,9579.683655,22065.72361,11913.92499,28786.52832
,,,,,,673.8461538461539,,,,8,4102.2788,9460.133897,5944.726646,15144.0368,4437.957987,14828.02343,21839.01739,14272.66242,6978.912214,3239.779832,6115.57938,27412.2464,3645.853309,4959.856927,9642.713333,22087.0296,12142.04884,28567.65157
,,,,,,1516.1538461538462,,,,9,4176.8264,9597.775514,6084.746889,15416.89886,4510.906359,15011.23028,21204.22612,14472.844,7051.208681,3293.033302,5940.834744,26514.4992,3642.592716,5008.77066,9671.086838,21933.39521,12333.31565,28237.50474
,,,,,,1516.1538461538462,,,,10,4214.6404,9685.162111,6161.032924,15599.76938,4581.119654,15004.9902,20451.76042,14581.93904,7047.161505,3344.290123,5743.773524,25526.0928,3634.914489,4988.746366,9665.121356,21662.69812,12339.49455,27678.76217
,,,,,,168.46153846153848,,,,11,4201.6756,9663.28577,6132.670079,15560.07971,4555.947392,14926.44822,19548.60162,14529.68988,6974.216609,3325.913972,5474.479498,24517.7856,3600.876986,5005.560589,9657.158004,21398.75752,12341.8479,27406.36657
,,,,,,,,,,12,4200.5952,9571.146455,6023.87557,15307.0724,4489.730916,14720.01726,18886.49371,14340.04252,6838.686869,3277.574893,5292.246678,23611.1936,3682.571109,5056.824109,9626.311437,21114.26009,12171.71806,27030.94557
,,,,,,,,,,13,4211.3992,9484.210056,5901.299152,15075.10546,4447.460624,14516.95481,18536.44865,14149.34213,6731.508363,3246.716908,5193.963604,22889.2368,3709.836712,5143.978465,9711.855323,20919.00219,12127.05078,26780.797
,,,,,,,,,,14,4247.0524,9343.795125,5774.787875,14813.0036,4374.337142,14377.26413,18311.8072,13931.42405,6671.2461,3193.335604,5135.512687,22328.6976,3772.004427,5184.77353,9880.222844,20831.05899,12051.72887,26912.08655
,,,,,,,,,,15,4303.2332,9224.208022,5697.120448,14545.11866,4290.049078,14322.75527,18283.22711,13764.23328,6659.539462,3131.803979,5124.613877,22483.4816,3872.687009,5303.266276,10192.09004,21019.25569,12123.7967,27758.44195
,,,,,,,,,,16,4471.7756,9091.069971,5653.521444,14314.30662,4202.907055,14532.44104,18627.45067,13596.09743,6700.837754,3068.188918,5209.571888,23275.0912,4138.023262,5526.141512,10774.48539,21623.4025,12413.84909,28613.22901
,,,,,,,,,,17,4776.4484,9219.727199,5780.073691,14504.439,4289.719637,14875.74682,19133.74067,13734.88261,6881.323039,3131.563481,5367.655787,24847.2544,4104.572246,5627.651408,11065.09816,22471.21707,13044.16742,28251.62429
,,,,,,,,,,18,4888.81,9693.453779,6226.39129,15645.7038,4517.426423,15062.92376,19633.33352,14492.29995,7058.33087,3297.793053,5486.832775,25453.1232,4042.240159,5574.334159,11054.05095,22637.14709,12999.54012,28023.87306
,,,,,,,,,,19,4896.3728,9770.999208,6310.380158,16003.26462,4603.09445,15073.443,19966.61581,14700.08195,7132.266211,3360.332074,5592.952021,25547.0992,3977.78107,5487.357413,11011.08913,22666.65699,12910.95655,27456.95201
,,,,,,,,,,20,4901.7748,9731.687379,6300.647926,15973.11573,4625.740584,14852.58503,19777.53067,14717.43593,7113.339846,3376.864111,5544.379,25657.6592,3886.151802,5412.241138,10791.96149,22294.44749,12774.5747,26693.85839
,,,,,,,,,,21,4870.4432,9629.068931,6251.990954,15850.74859,4582.099121,14489.97594,19294.65734,14656.7088,7015.462313,3345.005149,5400.800732,25133.6048,3709.578919,5234.224572,10492.46514,21776.91328,12557.40699,25797.092
,,,,,,,,,,22,4747.2776,9391.33532,6081.230551,15507.37422,4453.407262,13963.54017,18521.66626,14371.84575,6824.773902,3251.058048,5174.785462,24557.5872,3783.657178,5078.202474,10137.03821,21181.21579,12131.01038,25048.03473
,,,,,,,,,,23,4660.8456,9082.646096,5861.510023,14913.11926,4291.539195,13470.10811,18042.32174,13991.16922,6603.539297,3132.891788,5045.166769,24238.0688,3529.948499,4962.298514,9891.606308,21263.45252,11711.64167,24568.20974
,,,,,,,,,,24,4685.6948,8441.32267,5404.436585,13812.47545,4005.761449,12585.20448,17007.79791,13050.85795,6179.618603,2924.269494,4755.424495,24175.0496,3538.924759,4945.299765,9871.005094,21266.15924,11339.18853,24311.15394
,,,,,,,,,,25,4724.5892,8619.935441,5493.511971,14021.46125,4092.154908,12950.54732,17579.99483,13370.7359,6379.266691,2987.338091,4912.880052,24392.8528,3465.242526,4948.95366,9917.928788,21467.16422,11150.98765,24421.19304
,,,,,,,,,,26,4761.3228,8548.3629,5455.633894,13836.32225,4044.129641,12858.04342,17571.77513,13303.74855,6370.495585,2952.278883,4903.626719,24782.024,3471.471751,4971.82416,9988.237454,21690.05419,11011.40582,24583.04677
,,,,,,,,,,27,4847.7548,8500.42186,5451.101529,13811.87977,4025.182304,12873.15819,17704.71622,13287.67727,6397.746813,2938.447026,4944.410664,25160.1392,3499.377558,5047.780378,10172.43583,22195.16498,10965.93815,25098.12456
,,,,,,,,,,28,5004.4128,8557.329114,5516.670405,13883.05756,4049.563889,13012.96846,18158.1545,13411.9515,6512.138615,2956.24597,5070.086445,25947.3264,3644.03443,5191.925317,10496.03276,22954.22536,11055.30721,25908.75838
,,,,,,,,,,29,5204.2868,8736.188049,5695.71902,14133.08563,4140.536048,13406.33539,19205.3464,13756.74226,6727.975474,3022.657092,5387.001784,27506.2224,3929.267113,5460.080567,11042.84365,24259.68227,11159.56928,26830.40911
,,,,,,,,,,30,5480.8692,9163.913615,6028.759235,14771.51109,4329.669936,14266.35104,20310.07642,14451.17813,7157.443912,3160.727834,5671.139736,28775.4512,4156.070955,5604.297742,11334.2212,25160.365,11426.88626,27526.8305
,,,,,,,,,,31,5524.0852,9739.866727,6473.962665,15651.02659,4606.702242,14986.12801,21886.17855,15330.51965,7562.676613,3362.965819,6135.508151,29361.4192,4232.143873,5628.621138,10627.27842,25646.82955,11460.64444,27745.97206
,,,,,,,,,,32,5400.9196,9963.260213,6705.765261,16244.62678,4749.754336,15449.88953,22228.80414,15739.6584,7732.017213,3467.39612,6241.887676,29659.9312,4093.87291,5503.180549,11103.7703,25041.85228,11676.37678,27547.09241
,,,,,,,,,,33,5263.7088,10101.43963,6775.287892,16502.1129,4810.778952,15622.163,21799.60592,15853.39878,7730.907354,3511.945059,6132.263563,29996.0336,4028.571907,5474.279052,10991.89454,24517.19972,11780.71098,27078.68706
,,,,,,,,,,34,5063.8348,10186.29249,6765.694098,16676.86723,4845.396206,15673.88302,21538.0323,15853.07115,7656.097427,3537.216204,6078.716421,29728.4784,3953.104828,5421.366982,10814.74887,23862.06436,11887.35148,26999.434
,,,,,,,,,,35,4827.2272,10159.96404,6647.198717,16624.78971,4842.351489,15609.67587,21296.33137,15665.77166,7511.777487,3534.993513,6014.454484,29402.3264,3832.669859,5348.402472,10557.41707,23260.40779,11892.05347,26594.82204
,,,,,,,,,,36,4663.0064,10115.12785,6499.003281,16530.32959,4818.197286,15486.82624,21053.79764,15439.26808,7357.455179,3517.360561,5948.006245,29372.4752,3774.970094,5298.650043,10321.3356,22813.38745,11877.18162,26329.47234
,,,,,,,,,,37,4560.3684,10101.11048,6373.297155,16472.44117,4809.86788,15453.43226,20872.82756,15283.35226,7266.152986,3511.279962,5896.334104,29069.5408,3672.826984,5244.856116,10159.54998,22360.57884,11818.36605,26163.78612
,,,,,,,,,,38,4455.5696,10069.13337,6260.281561,16341.86056,4749.634552,15415.70098,20840.01933,15131.61503,7196.958703,3467.308676,5881.263421,28911.44,3754.25073,5249.790057,10005.26942,21936.22959,11757.12894,26691.49753
,,,,,,,,,,39,4453.4088,9988.366951,6152.344981,16120.85713,4727.48138,15508.55287,20835.42852,14959.08442,7244.653714,3451.136509,5876.19826,29232.064,3864.828862,5330.2001,10124.91442,21924.64253,11788.45616,28046.76958
,,,,,,,,,,40,4648.9612,9884.542533,6134.243438,15917.89157,4706.318606,15889.71048,21384.61034,14826.02514,7315.487924,3435.687347,6049.466977,30094.432,3983.764201,5556.241055,10808.84144,22728.35756,12219.57592,28746.97514
,,,,,,,,,,41,4984.9656,10151.84945,6340.094522,16288.37354,4821.816958,16508.04527,21677.6153,15121.08665,7646.944969,3520.002979,6137.874945,31918.672,3972.056339,5707.068202,11294.09068,23883.94297,12845.12798,28536.24646
,,,,,,,,,,42,5201.0456,10717.50901,6922.914849,17447.06397,5085.733832,16820.97461,22181.7655,16062.02383,7866.01248,3712.66649,6274.201987,32405.136,3948.093006,5679.993224,11289.35496,24031.08221,12863.1371,28288.78618
,,,,,,,,,,43,5215.0908,10802.62665,7020.288843,17718.26432,5129.436127,16814.47298,22146.71937,16267.45269,7952.095404,3744.569859,6267.083051,32333.272,3777.984416,5562.884695,11294.60184,24167.32287,12785.53006,27861.16945
,,,,,,,,,,44,5191.322,10775.48494,7048.891836,17603.70922,5120.251813,16515.08273,21633.87229,16326.15637,7886.710108,3737.865164,6106.058782,32137.5808,3696.132477,5489.764487,11018.55663,23752.68008,12598.95582,27109.03474
,,,,,,,,,,45,5110.292,10662.73082,6966.269556,17276.03913,5042.614508,16092.19007,21010.8244,16232.50404,7780.406295,3681.188698,5924.761672,31799.2672,3485.810389,5217.487549,10652.86717,23185.29348,12376.32572,26328.75845
