Zone,Resource,THERM,VRE,Num_VRE_Bins,MUST_RUN,FLEX,STOR,DR,HEAT,NACC,HYDRO,TRADER,RPS,CES,Num_VRE_Bins,Commit,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MWh,New_Build,Cap_Size,Max_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Externality_cost_MWh,Start_Cost_per_MW_alt,Start_Cost_per_MW,Start_cost,Start_Fuel_MMBTU_per_MW,Start_fuel_MMBTU_per_start,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,NACC_Eff,NACC_Peak_to_Base,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,voltage_level,Min_Cap_MW,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh_In,Fixed_CAP,Fixed_CAP_MW,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,InveterLoadRatio,EtaInverter,Hydro_Res_flexibility_days,Cost_sheet_name,Max_Charge_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Min_Charge_Cap_MW,Hydro_Energy_to_Power_Ratio
1,Hydro_Res_1_1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,300000,0,0,1000000000,10,10,10,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Hydro,0,0,0,0,0
1,Hydro_RoR_1_1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,300000,0,0,1000000000,10,10,10,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Hydro,0,0,0,0,0
1,PHS_1_1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,126100,800,14000,2.1858,0,0,0,0,0,0,0,none,0,0,0.58,0.288,0,0.25,200,0,0,0,1,1,0,0,1,0,1,1,0,0,trans,-1,70,0,0,0,40200,21182.20595,0,0,0,Hydrogen,0,0,0,0,0
1,Li-ion_1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,13200,13800,2452,0,0,0,0,0,0,0,0,none,0,0,0.922,0.922,0,0.25,200,0,0,0,1,1,0,0,1,0,1,1,0,0,trans,-1,3071,0,0,0,0,0,0,0,0,Li-ion storage,0,0,0,0,0
1,PV_1_0_1,0,1,1,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1,1,1436864,0,0,82462,0,11153,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,PV,0,0,0,0,0
1,Wind_1_0_1,0,1,3,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1,1,308136,0,0,96503,0,34568,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Wind_onshore,0,0,0,0,0
1,Wind_1_1_1,0,1,3,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1,1,308136,0,0,96503,0,34568,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Wind_onshore,0,0,0,0,0
1,Wind_1_2_1,0,1,3,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1,1,308136,0,0,96503,0,34568,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Wind_onshore,0,0,0,0,0
1,CCGT_old_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,65800,0,10560,2.77,0,79,79,45267,9.16,5248.68,6.275,natural_gas,0.33,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,CCGT,0,0,0,0,0
1,OCGT_old_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7.14,0,103,63.5703125,24411,0.22,52.14,9.075,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,OCGT_F,0,0,0,0,0
1,NGST_old_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7.14,0,103,63.5703125,24411,0.22,52.14,9.075,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,NGST,0,0,0,0,0
1,Nuclear_old_1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,300000,0,0,1000000000,10,10,10,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Nuclear,0,0,0,0,0
1,Bio_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7.14,0,103,63.5703125,24411,0.22,52.14,9.075,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Bio,0,0,0,0,0
1,CCGT_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,65800,0,10560,2.77,0,79,79,45267,9.16,5248.68,6.275,natural_gas,0.33,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,CCGT,0,0,0,0,0
1,OCGT_F_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7.14,0,103,63.5703125,24411,0.22,52.14,9.075,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,OCGT_F,0,0,0,0,0
1,Coal_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7.14,0,103,63.5703125,24411,0.22,52.14,9.075,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Coal,0,0,0,0,0
2,Hydro_Res_2_2,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,300000,0,0,1000000000,10,10,10,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Hydro,0,0,0,0,0
2,Hydro_RoR_2_2,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,300000,0,0,1000000000,10,10,10,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Hydro,0,0,0,0,0
2,PHS_2_2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,126100,800,14000,2.1858,0,0,0,0,0,0,0,none,0,0,0.58,0.288,0,0.25,200,0,0,0,1,1,0,0,1,0,1,1,0,0,trans,-1,70,0,0,0,40200,21182.20595,0,0,0,Hydrogen,0,0,0,0,0
2,Li-ion_2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,13200,13800,2452,0,0,0,0,0,0,0,0,none,0,0,0.922,0.922,0,0.25,200,0,0,0,1,1,0,0,1,0,1,1,0,0,trans,-1,3071,0,0,0,0,0,0,0,0,Li-ion storage,0,0,0,0,0
2,PV_2_0_2,0,1,1,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1,1,1436864,0,0,82462,0,11153,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,PV,0,0,0,0,0
2,Wind_2_0_2,0,1,3,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1,1,308136,0,0,96503,0,34568,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Wind_onshore,0,0,0,0,0
2,Wind_2_1_2,0,1,3,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1,1,308136,0,0,96503,0,34568,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Wind_onshore,0,0,0,0,0
2,Wind_2_2_2,0,1,3,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1,1,308136,0,0,96503,0,34568,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Wind_onshore,0,0,0,0,0
2,CCGT_old_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,65800,0,10560,2.77,0,79,79,45267,9.16,5248.68,6.275,natural_gas,0.33,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,CCGT,0,0,0,0,0
2,OCGT_old_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7.14,0,103,63.5703125,24411,0.22,52.14,9.075,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,OCGT_F,0,0,0,0,0
2,NGST_old_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7.14,0,103,63.5703125,24411,0.22,52.14,9.075,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,NGST,0,0,0,0,0
2,Nuclear_old_2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,300000,0,0,1000000000,10,10,10,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Nuclear,0,0,0,0,0
2,Bio_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7.14,0,103,63.5703125,24411,0.22,52.14,9.075,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Bio,0,0,0,0,0
2,CCGT_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,65800,0,10560,2.77,0,79,79,45267,9.16,5248.68,6.275,natural_gas,0.33,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,CCGT,0,0,0,0,0
2,OCGT_F_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7.14,0,103,63.5703125,24411,0.22,52.14,9.075,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,OCGT_F,0,0,0,0,0
2,Coal_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7.14,0,103,63.5703125,24411,0.22,52.14,9.075,natural_gas,0.25,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Coal,0,0,0,0,0
3,Hydro_Res_3_3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,300000,0,0,1000000000,10,10,10,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Hydro,0,0,0,0,0
3,Hydro_RoR_3_3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,300000,0,0,1000000000,10,10,10,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Hydro,0,0,0,0,0
3,PHS_3_3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,126100,800,14000,2.1858,0,0,0,0,0,0,0,none,0,0,0.58,0.288,0,0.25,200,0,0,0,1,1,0,0,1,0,1,1,0,0,trans,-1,70,0,0,0,40200,21182.20595,0,0,0,Hydrogen,0,0,0,0,0
3,Li-ion_3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,13200,13800,2452,0,0,0,0,0,0,0,0,none,0,0,0.922,0.922,0,0.25,200,0,0,0,1,1,0,0,1,0,1,1,0,0,trans,-1,3071,0,0,0,0,0,0,0,0,Li-ion storage,0,0,0,0,0
3,PV_3_0_3,0,1,1,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1,1,1436864,0,0,82462,0,11153,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,PV,0,0,0,0,0
3,Wind_3_0_3,0,1,3,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1,1,308136,0,0,96503,0,34568,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Wind_onshore,0,0,0,0,0
3,Wind_3_1_3,0,1,3,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1,1,308136,0,0,96503,0,34568,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Wind_onshore,0,0,0,0,0
3,Wind_3_2_3,0,1,3,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1,1,308136,0,0,96503,0,34568,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0,Wind_onshore,0,0,0,0,0
3,CCGT_old_3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,65800,0,10560,2.77,0,79,79,45267,9.16,5248.68,6.275,natural_gas,0.33,0,1,1,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0,CCGT,0,0,0,0,0
