Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,UseExtremePeriods,ClusterMethod,ScalingMethod,MinPeriods,MaxPeriods,Threshold,nReps,IterativelyAddPeriods,IterateMethod,LoadWeight,ClusterFuelPrices
,,,,165,15507.50265,21222.05736,23152.72647,20586.15746,,,,,,,,,,,,,,
,,,,166,15022.18106,20228.8174,22264.69176,19283.44287,,,,,,,,,,,,,,
,,,,167,14349.08107,19026.24979,21088.25773,17869.8358,,,,,,,,,,,,,,
,,,,168,13731.02295,17934.95324,19984.22785,16654.20993,,,,,,,,,,,,,,
,,,,169,13335.95412,17426.34687,19201.06095,15929.08261,,,,,,,,,,,,,,
,,,,170,13148.37666,17204.22149,18798.46542,15687.33539,,,,,,,,,,,,,,
,,,,171,13029.6805,17158.64853,18646.334,15739.16401,,,,,,,,,,,,,,
,,,,172,13062.54319,17404.92029,18747.65795,16077.1909,,,,,,,,,,,,,,
,,,,173,13225.61858,17953.97758,19160.7295,16802.62033,,,,,,,,,,,,,,
,,,,174,13591.03812,18872.64247,19848.48554,18028.70128,,,,,,,,,,,,,,
,,,,175,14147.5987,20049.629,20846.18448,19533.58353,,,,,,,,,,,,,,
,,,,176,14742.1316,21379.9152,21922.5451,21040.29947,,,,,,,,,,,,,,
,,,,177,15384.21404,21736.44553,22731.38125,21285.91936,,,,,,,,,,,,,,
,,,,178,15453.71559,21266.73606,22776.16276,21192.63393,,,,,,,,,,,,,,
,,,,179,15187.76388,20718.81773,22423.03023,21015.05687,,,,,,,,,,,,,,
,,,,180,15067.2501,20644.15104,22329.62489,21117.07694,,,,,,,,,,,,,,
,,,,181,15104.99111,20446.19374,22409.7378,21040.11345,,,,,,,,,,,,,,
,,,,182,15062.657,20216.27344,22321.56819,20958.6951,,,,,,,,,,,,,,
,,,,183,14947.53805,20064.91771,22195.48013,20847.90515,,,,,,,,,,,,,,
,,,,184,15167.83873,20572.96583,22353.42838,21015.08652,,,,,,,,,,,,,,
,,,,185,15710.06462,22280.5112,23141.88845,21686.65751,,,,,,,,,,,,,,
