Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,UseExtremePeriods,ClusterMethod,ScalingMethod,MinPeriods,MaxPeriods,Threshold,nReps,IterativelyAddPeriods,IterateMethod,LoadWeight,ClusterFuelPrices,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4
20000,1,1,1,18,168,168.46153846153848,yes,kmeans,S,9,18,0.005,200,yes,cluster,1,no,1,13.27032618,19.980088,20.049534780000002,15.32603952
,,,,,,336.92307692307696,,,,,,,,,,,,2,13.27032618,19.980088,20.049534780000002,15.32603952
,,,,,,168.46153846153848,,,,,,,,,,,,3,12.99009603,20.21568842,19.77987883,14.8760727
,,,,,,336.92307692307696,,,,,,,,,,,,4,12.75080404,20.67650945,19.66190194,14.71383566
,,,,,,336.92307692307696,,,,,,,,,,,,5,12.68030888,21.44290824,19.80944558,14.925998419999999
,,,,,,505.3846153846154,,,,,,,,,,,,6,12.78062062,22.415686020000003,20.10056537,15.51021334
,,,,,,168.46153846153848,,,,,,,,,,,,7,13.02480579,23.34684443,20.57840873,16.1203763
,,,,,,673.8461538461539,,,,,,,,,,,,8,13.35142801,23.91836695,21.178713899999998,17.75728521
,,,,,,505.3846153846154,,,,,,,,,,,,9,13.803352559999999,23.03513434,21.73232431,19.16544732
,,,,,,336.92307692307696,,,,,,,,,,,,10,13.868746569999999,21.58274434,21.646754870000002,20.148768540000003
,,,,,,168.46153846153848,,,,,,,,,,,,11,13.85178297,20.49309439,21.36210055,20.871394759999998
,,,,,,168.46153846153848,,,,,,,,,,,,12,13.79992856,20.00572017,21.30739098,21.53500131
,,,,,,2021.5384615384617,,,,,,,,,,,,13,13.764435310000001,19.42283517,21.13160687,21.8526037
,,,,,,336.92307692307696,,,,,,,,,,,,14,13.559267949999999,18.88549917,20.77658944,21.92317626
,,,,,,1179.2307692307693,,,,,,,,,,,,15,13.37360086,18.6571704,20.36659028,21.70712165
,,,,,,336.92307692307696,,,,,,,,,,,,16,13.42244894,18.989263559999998,20.285984550000002,21.47175119
,,,,,,505.3846153846154,,,,,,,,,,,,17,13.97892214,20.51300573,21.03691714,22.0277615
,,,,,,505.3846153846154,,,,,,,,,,,,18,15.24317402,21.50138435,22.90859135,23.47343499
,,,,,,,,,,,,,,,,,,19,15.56781308,21.36226251,23.13536341,22.84994875
,,,,,,,,,,,,,,,,,,20,15.58349371,20.99953831,22.9900908,21.78198377
,,,,,,,,,,,,,,,,,,21,15.47552556,20.344627499999998,22.54151224,20.6152334
,,,,,,,,,,,,,,,,,,22,15.43318384,19.53455803,21.93853354,18.98441132
,,,,,,,,,,,,,,,,,,23,15.05542909,18.44774784,21.10208027,17.24422337
,,,,,,,,,,,,,,,,,,24,14.63515299,17.689161069999997,20.25615134,15.68178224
,,,,,,,,,,,,,,,,,,25,14.40986459,17.40148654,19.834535380000002,14.74002516
