Resource,natural_gas_combined_cycle,coal_super_1,coal_super_2,coal_super_3,coal_super_4,coal_super_5,20A_retrofit_1,20A_retrofit_2,20A_retrofit_3,20A_retrofit_4,20A_retrofit_5,solar_pv,onshore_wind,battery,Total
t33,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,5029.999999999998,0.0,0.0,0.0,18656.0
t34,0.0,393.99999999999926,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,20020.0
t35,0.0,1082.0757315702513,187.28621487603277,305.6380535537163,0.0,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,21201.0
t36,0.0,1341.6193181818248,292.6347107438012,477.5594586776817,271.1865123966925,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,22009.0
t37,0.0,1341.6193181818248,292.6347107438012,883.0170454545419,423.728925619832,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,22567.0
t38,0.0,1341.6193181818248,292.6347107438012,1386.0170454545419,423.728925619832,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,23070.0
t39,0.0,1091.304938016537,160.94909090909067,2086.0170454545414,423.728925619832,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,23388.0
t40,0.0,1341.6193181818248,292.6347107438012,1945.017045454543,423.728925619832,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,23629.0
t41,0.0,1341.6193181818248,292.6347107438012,2086.0170454545414,423.728925619832,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,23770.0
t42,0.0,1278.3049380165348,160.94909090909067,2086.0170454545414,423.728925619832,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,23575.0
t43,0.0,858.6363636363678,292.6347107438012,1832.9999999999975,423.728925619832,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,23033.999999999996
t44,0.0,0.0,189.25402892562548,2086.0170454545414,423.728925619832,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,22325.0
t45,0.0,0.0,160.94909090909067,1901.000000000001,233.05090909090762,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,21921.0
t46,0.0,0.0,160.94909090909292,1335.0509090909065,0.0,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,21122.0
t47,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,5685.0,0.0,0.0,0.0,19311.0
t48,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,3260.2540289256262,0.0,5984.271306818177,0.0,0.0,0.0,17514.0
t49,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3139.05090909091,3260.2540289256262,0.0,4077.5856869834665,0.0,0.0,0.0,13039.0
t50,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4604.750909090908,1793.1397159090945,0.0,3300.0000000000005,0.0,0.0,0.0,12259.999999999998
t51,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4132.750909090908,1793.1397159090945,0.0,3300.0000000000005,0.0,0.0,0.0,11787.999999999998
t52,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3139.05090909091,1793.1397159090945,0.0,4085.6999999999994,0.0,0.0,0.0,11580.000000000002
t53,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3139.05090909091,2675.839715909092,0.0,3300.0000000000005,0.0,0.0,0.0,11677.0
t54,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3261.636596074377,3260.2540289256262,0.0,3300.0000000000005,0.0,0.0,0.0,12384.0
t55,0.0,0.0,0.0,0.0,0.0,0.0,3886.695061983464,3139.05090909091,3260.2540289256262,0.0,3300.0000000000005,0.0,0.0,0.0,13586.0
t56,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3139.05090909091,3196.839715909093,0.0,6000.0,0.0,0.0,0.0,14898.0
t57,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,1793.1397159090945,0.0,3811.1143130165324,0.0,0.0,0.0,15970.000000000002
t58,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5120.636596074379,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,16943.0
t59,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,4207.999999999999,0.0,0.0,0.0,17834.0
t60,0.0,0.0,0.0,0.0,0.0,0.0,3527.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,18495.0
t61,0.0,0.0,0.0,0.0,0.0,0.0,3954.3806818181756,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,18922.0
t62,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,5669.999999999999,0.0,0.0,0.0,19296.0
t63,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,5878.999999999999,0.0,0.0,0.0,19505.0
t64,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,5965.999999999998,0.0,0.0,0.0,19592.0
