Resource,MA_natural_gas,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,1,2,2,2,3,3,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6680743e7,6.865304e6,1.1549346e6,2.4700982e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5034.877742278154,1584.6173406168994,323.92857580541204,6943.423658700465
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2123.4859508067043,2044.9038914676728,0.0,4168.389842274377
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5034.877742278154,192.22540972955676,323.92857580541204,5551.031727813122
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5034.877742278154,197.34541003473052,0.0,5232.223152312885
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.84598202660527,2044.9038914676728,323.92857580541204,2787.6784492996903
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5034.877742278154,1642.2614315157994,323.92857580541204,7001.067749599366
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.3483132819005,0.0,0.0,285.3483132819005
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220.7001161958333,368.10634791045004,323.92857580541204,1912.7350399116954
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.1058723861845,1252.856676199121,165.2487464918412,2686.211295077147
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2505.975260218517,984.4860007327372,323.92857580541204,3814.389836756666
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3026.482447010277,1211.634940447484,175.4379201719086,4413.55530762967
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199.8970431285293,2044.9038914676728,175.4379201719086,4420.23885476811
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2893.2407261218964,1212.1694300199642,90.45082135038945,4195.860977492251
