region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,1.7059361170392245e11,0.0,2.683327956572248e10,0.0,9.3046112375e9,2.420963626994407e59,0.0,0.0,0.0,3.7624622e9,0.0,0.0,0.0,3.5252869381202197e9,0.0,3.762462208e9,2.420963626994407e59,-2.420963626994407e59
MA,MA_solar_pv,1,1,2,2.5469632587717583e12,0.0,5.601527635938827e11,0.0,0.0,0.0,0.0,0.0,0.0,3.107116e9,0.0,0.0,0.0,0.0,0.0,3.107116032e9,5.601527635938827e11,-5.570456475618827e11
CT,CT_natural_gas_combined_cycle,2,1,3,1.463062631478772e11,0.0,2.1695384403793777e10,0.0,5.605677367499999e9,1.302454816935494e47,0.0,0.0,0.0,2.984378e9,0.0,0.0,0.0,2.7919804266099453e9,0.0,2.984378112e9,1.302454816935494e47,-1.302454816935494e47
CT,CT_onshore_wind,2,1,4,9.72e11,0.0,4.3205e11,0.0,3.9867537500000006e8,0.0,0.0,0.0,0.0,5.949619e8,0.0,0.0,0.0,0.0,8.106308023209918e8,1.4055927223209918e9,4.32448675375e11,-4.31043082652679e11
CT,CT_solar_pv,2,1,5,3.2096320407835117e12,0.0,7.05893283529879e11,0.0,0.0,0.0,0.0,0.0,0.0,3.9155254e9,0.0,0.0,0.0,0.0,0.0,3.915525376e9,7.05893283529879e11,-7.01977758153879e11
ME,ME_natural_gas_combined_cycle,3,1,6,1.2656423425089428e10,0.0,3.152687981928622e9,0.0,8.952091171875e8,2.847499648531808e28,0.0,0.0,0.0,2.8600522e8,0.0,0.0,0.0,2.663894765422325e8,0.0,2.86005216e8,2.847499648531808e28,-2.847499648531808e28
ME,ME_onshore_wind,3,1,7,2.147290571790723e11,0.0,9.54461822574261e10,0.0,1.3011692500000001e8,0.0,0.0,0.0,0.0,3.1076422e8,0.0,0.0,0.0,0.0,0.0,3.10764224e8,9.55762991824261e10,-9.52655349584261e10
MA,MA_battery,1,0,8,1.8304456899640338e11,2.1024328712240085e12,4.575179561056958e10,5.254680182280331e11,8.0858985e8,0.0,9.55328297625085e17,0.0,6.4917926e8,3.3037496e9,0.0,0.0,0.0,0.0,0.0,3.303749632e9,9.55328870302668e17,-9.553288669989184e17
CT,CT_battery,2,0,9,8.938468960173813e11,2.8292770593679233e12,2.2341608231235098e11,7.07130596059681e11,4.4228871e9,0.0,5.225528247384526e12,0.0,4.400361e9,7.5927204e9,0.0,0.0,0.0,0.0,0.0,7.592720384e9,6.164898173816559e12,-6.157305453432559e12
ME,ME_battery,3,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
