Resource,MA_natural_gas,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
t22,7391.812131168174,0.0,0.0,3840.374536992853,-2.2737367544323206e-13,0.0,702.9243068799788,4626.139500085143,0.0,1284.6906209274748,602.268527532787,323.92857580541204,18772.13819939182
t23,7391.812131168174,751.1998562627778,0.0,3840.374536992853,0.0,0.0,702.9243068799788,3978.512932129679,0.0,3140.049268065315,1199.8670918916491,0.0,21004.740123390427
t24,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,3804.523889707375,0.0,4740.680344020808,1531.6050355699183,323.92857580541204,22335.848820144514
t25,7391.812131168174,0.0,0.0,3840.374536992853,4.547473508864641e-13,0.0,702.9243068799788,3924.845378699116,0.0,4764.367336034538,1544.1203764914808,202.38518471031372,22370.829250976458
t26,7391.812131168174,2224.145657877094,0.0,3840.374536992853,0.0,0.0,702.9243068799788,4165.897095820467,0.0,5034.877742278154,1911.1132855812727,26.947264538405136,25298.092021136395
t27,7391.812131168174,4614.800787494582,0.0,3840.374536992853,586.9902438185136,0.0,702.9243068799788,2924.228333824674,0.0,3471.6818465934284,1522.3475288612644,323.92857580541204,25379.088291438886
t28,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,2677.8454394932974,0.0,2743.332866524958,1107.5086067307586,0.0,18463.79788779002
t29,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,0.0,0.0,2317.354544100434,414.7345690866298,0.0,14667.200088228068
t30,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,2306.1063042198084,0.0,61.389661444894955,619.7869238776227,323.92857580541204,15246.322440388743
t31,7391.812131168174,5.684341886080802e-14,0.0,3840.374536992853,0.0,0.0,702.9243068799788,1034.7422219127757,0.0,0.0,0.0,157.48801003682382,13127.341206990604
t32,7391.812131168174,-9.094947017729282e-13,0.0,3840.374536992853,2.2737367544323206e-13,0.0,702.9243068799788,3391.1562937509652,0.0,2069.2594881367054,1414.961691938227,0.0,18810.4884488669
t33,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,809.0790930404783,0.0,2023.6090230477412,1269.343911167049,323.92857580541204,16361.071578101686
t34,7391.812131168174,0.0,0.0,3840.374536992853,0.0,-9.094947017729282e-13,702.9243068799788,0.0,0.0,2454.8102783009876,678.4886105072089,323.92857580541204,15392.338439654613
t35,7391.812131168174,0.0,0.0,3840.374536992853,1.8456636611073451,0.0,702.9243068799788,1.1368683772161603e-13,0.0,2957.126322724198,1340.6101303271523,34.16000494044465,16268.853096693907
t36,7391.812131168174,0.0,0.0,3840.374536992853,43.12035469150673,0.0,702.9243068799788,0.0,0.0,2531.9660227243926,1914.7891254773508,0.0,16424.986477934257
t37,7391.812131168174,4.547473508864641e-13,-9.094947017729282e-13,3840.374536992853,721.0197600438405,0.0,702.9243068799788,-2.2737367544323206e-13,0.0,3766.009548508195,2032.101615706534,162.50868786596055,18616.750587165538
t38,7391.812131168174,3049.9548900381324,0.0,3840.374536992853,1865.5574175566103,0.0,702.9243068799788,47.57913241679012,0.0,5034.877742278154,1311.9970348916358,323.92857580541204,23569.00576802774
t39,7391.812131168174,3155.051831302577,0.0,3840.374536992853,1915.2047519756597,0.0,702.9243068799788,151.3582813331875,0.0,4895.660248898856,1185.7810610589345,323.92857580541204,23562.09572541563
t40,7391.812131168174,0.0,9.094947017729282e-13,3840.374536992853,1543.4536601108591,0.0,702.9243068799788,338.4462523668849,0.0,4610.279465663998,1107.5086067307586,306.8933803645225,19841.69234027803
t41,7391.812131168174,-9.094947017729282e-13,0.0,3840.374536992853,1063.8045433741152,4.547473508864641e-13,702.9243068799788,2278.194266941472,0.0,2726.8618621523797,1107.5086067307586,175.43792017190862,19286.91817441164
t42,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,3220.2120349651577,0.0,772.3645856269495,1107.5086067307586,0.0,17035.196202363873
t43,7391.812131168174,9.094947017729282e-13,0.0,3840.374536992853,0.0,0.0,702.9243068799788,1034.534698868024,0.0,2991.959917711014,1107.5086067307586,323.92857580541204,17393.042774156216
t44,7391.812131168174,0.0,0.0,3840.374536992853,-1.1368683772161603e-13,0.0,702.9243068799788,5686.487078915599,0.0,0.0,135.56434620261211,53.89452907681027,17811.056929236027
t45,7391.812131168174,0.0,0.0,3840.374536992853,-2.2737367544323206e-13,0.0,702.9243068799788,1485.0946371812806,0.0,3151.682098601177,562.6386290864768,323.92857580541204,17458.454915715352
t46,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,1352.5199015191092,0.0,3135.301837901113,1900.4303608899736,175.43792017190862,18498.800995523106
t47,7391.812131168174,9.094947017729282e-13,0.0,3840.374536992853,2.2737367544323206e-13,0.0,702.9243068799788,4981.103902285014,0.0,1272.1715679525196,607.4720793836361,0.0,18795.858524662173
t48,7391.812131168174,0.0,0.0,3840.374536992853,-2.2737367544323206e-13,0.0,702.9243068799788,0.0,0.0,3946.0643084000276,800.8635720414684,323.92857580541204,17005.967431287914
t49,7391.812131168174,0.0,0.0,3840.374536992853,-2.2737367544323206e-13,0.0,702.9243068799788,4266.63162110989,0.0,1817.8917700541883,766.5518578597259,53.89452907681027,18840.08075314162
t50,7391.812131168174,0.0,0.0,3840.374536992853,-1.1368683772161603e-13,0.0,702.9243068799788,3941.270878011021,0.0,1347.0380683760786,645.9849618859073,323.92857580541204,18193.33345911942
t51,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,4815.974983734959,0.0,1158.117690329782,1734.6465760622716,175.43792017190862,19819.288145339924
t52,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,3915.5513222333248,0.0,4804.640527772834,1295.055258526233,175.43792017190862,22125.796003745305
t53,7391.812131168174,0.0,0.0,3840.374536992853,2.2737367544323206e-13,0.0,702.9243068799788,1533.4649775257703,0.0,4410.532688128112,931.6164374031518,0.0,18810.725078098036
t54,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,5360.892401240654,0.0,1219.2353828001883,606.216293474155,323.92857580541204,19445.383628361415
t55,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,6401.4564108103295,0.0,3694.0068320966802,1244.261963922058,202.38518471031372,23477.221366580387
t56,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,5277.464105619915,0.0,2100.26768550034,991.7605652040429,175.43792017190862,20480.041251537215
t57,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,3942.1498211779535,0.0,944.7604335992642,1456.9668164394297,0.0,18278.988046257655
t58,7391.812131168174,0.0,9.094947017729282e-13,3840.374536992853,1.7763568394002505e-15,0.0,702.9243068799788,1650.6224158947598,0.0,2016.1492695849925,560.2381106728801,323.92857580541204,16486.04934699905
t59,7391.812131168174,0.0,0.0,3840.374536992853,0.0,-9.094947017729282e-13,702.9243068799788,1773.7302425795472,0.0,3215.1031413954324,1570.718354594147,53.89452907681027,18548.557242686944
t60,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,795.8103265663074,0.0,2825.1574690700772,929.2843330854996,323.92857580541204,16809.291679568298
t61,7391.812131168174,0.0,0.0,3840.374536992853,-4.440892098500626e-16,0.0,702.9243068799788,717.7786584896949,0.0,2876.132175873909,1044.521174997793,175.43792017190862,16748.98090457431
t62,7391.812131168174,0.0,-9.094947017729282e-13,3840.374536992853,0.0,0.0,702.9243068799788,668.7344238282847,0.0,3793.6565210716262,1301.4976806875338,175.43792017190862,17874.43752080036
t63,7391.812131168174,0.0,0.0,3840.374536992853,1309.5738444560589,0.0,702.9243068799788,886.4684286175072,0.0,5034.877742278154,2044.9038914676728,0.0,21210.934881860398
t64,7391.812131168174,-9.094947017729282e-13,0.0,3840.374536992853,2.2737367544323206e-13,0.0,702.9243068799788,412.6563643899683,0.0,4985.752677574808,1283.3112822349904,323.92857580541204,18940.759875046184
t65,7391.812131168174,0.0,0.0,3840.374536992853,0.0,-4.547473508864641e-13,702.9243068799788,1570.434092951649,0.0,3852.7591710220477,1950.6848019550307,202.38518471031372,19511.374225680047
t66,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,3259.25461398889,0.0,1027.0654198626635,1045.0658303099858,175.43792017190862,17441.934759374453
t67,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,1033.397308351724,0.0,1795.1082601989747,206.92666623816194,175.43792017190862,15145.981130001775
t68,7391.812131168174,9.094947017729282e-13,0.0,3840.374536992853,0.0,0.0,702.9243068799788,1119.7149295925337,0.0,1029.8132687977632,1608.177862356528,175.43792017190862,15868.254955959741
t69,7391.812131168174,-4.547473508864641e-13,0.0,3840.374536992853,0.0,0.0,702.9243068799788,4286.706142547606,0.0,56.14587844793732,124.39229782780535,0.0,16402.355293864355
t70,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,-9.094947017729282e-13,0.0,3103.6987955415666,556.3685067408987,200.67761825476282,15795.855895578232
t71,7391.812131168174,0.0,0.0,3758.882014716848,0.0,0.0,702.9243068799788,3142.4863459025846,0.0,2146.882790889366,876.9346592455188,204.09275116586474,18224.014999968338
t72,7391.812131168174,-1.8189894035458565e-12,0.0,3678.759416632582,0.0,0.0,702.9243068799788,3857.1036939243504,0.0,3572.758314454163,1302.6663958822655,0.0,20506.024258941514
t73,7391.812131168174,0.0,0.0,3678.759416632582,0.0,0.0,702.9243068799788,3453.8607691774696,0.0,3639.9394999043834,1325.5371420756533,323.92857580541204,20516.761841643653
t74,7391.812131168174,-1.8189894035458565e-12,0.0,3668.2400892718542,4.547473508864641e-13,0.0,702.9243068799788,4735.819509300965,0.0,5022.347531169736,2044.9038914676728,323.92857580541204,23889.976035063788
t75,7391.812131168174,0.0,0.0,3362.2232933234127,0.0,0.0,702.9243068799788,0.0,0.0,0.0,0.0,0.0,11456.959731371566
t76,7391.812131168174,0.0,0.0,3668.2400892718542,0.0,0.0,702.9243068799788,6877.231978854923,0.0,3136.4868983505494,1329.78691298472,0.0,23106.482317510203
t77,7391.812131168174,0.0,0.0,3678.759416632582,0.0,0.0,702.9243068799788,6855.067350210372,0.0,2349.9468909788557,991.2935995364019,323.92857580541204,22293.732271211775
t78,7391.812131168174,0.0,0.0,3760.251938908587,0.0,0.0,702.9243068799788,7948.500258831311,0.0,3084.9774203909155,1137.2071181856386,0.0,24025.673174364605
t79,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,7174.2065297792715,0.0,1621.8262736736565,697.520429434087,323.92857580541204,21752.59278373343
t80,7391.812131168174,0.0,0.0,3840.374536992853,2.2737367544323206e-13,-2.2737367544323206e-13,702.9243068799788,6823.743162910104,0.0,2447.124696867697,1360.1879676881742,211.77466365506794,22777.941466162047
t81,7391.812131168174,4.547473508864641e-13,0.0,3840.374536992853,0.0,0.0,702.9243068799788,6503.330937472118,0.0,2774.9113389607355,893.6407956164021,0.0,22106.994047090266
t82,7391.812131168174,-5.684341886080802e-14,0.0,3840.374536992853,0.0,0.0,702.9243068799788,4536.243005550639,0.0,1969.430586595583,1288.52632205795,323.92857580541204,20053.23946505059
t83,7391.812131168174,0.0,0.0,3840.374536992853,400.16329951308643,0.0,702.9243068799788,4430.310158642636,0.0,3675.270285867047,1204.298465524179,0.0,21645.15318458795
t84,7391.812131168174,-1.1368683772161603e-13,0.0,3840.374536992853,159.62877621717175,0.0,702.9243068799788,4261.186255367587,0.0,3239.530347747041,1264.3312454400902,125.34684374727155,20985.13444356017
t85,7391.812131168174,2.2737367544323206e-13,-9.094947017729282e-13,3840.374536992853,0.0,-9.094947017729282e-13,702.9243068799788,3476.7335818129277,0.0,3932.852247896837,1537.6930856117624,323.92857580541204,21206.31846616794
t86,7391.812131168174,0.0,0.0,3840.374536992853,0.0,-9.094947017729282e-13,702.9243068799788,3231.8818628887802,0.0,3667.7824191407717,1470.9836982444376,323.92857580541204,20629.687531120406
t87,7391.812131168174,0.0,0.0,3840.374536992853,0.0,-9.094947017729282e-13,702.9243068799788,5176.0280571646545,0.0,3661.0720392809276,1393.6508329533171,323.92857580541204,22489.79048024532
t88,7391.812131168174,0.0,-9.094947017729282e-13,3840.374536992853,348.247323993834,0.0,702.9243068799788,6123.802028471156,0.0,3280.093868360816,1812.6042293857984,0.0,23499.858425252605
t89,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,6073.9658887825735,0.0,3435.316951435765,801.6360512841709,323.92857580541204,22569.95844234893
t90,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,7073.687868508003,0.0,2205.568230315431,1413.3811621773461,202.38518471031372,22830.1334207521
t91,7391.812131168174,9.094947017729282e-13,0.0,3840.374536992853,-2.2737367544323206e-13,0.0,702.9243068799788,7759.790897512869,0.0,360.26907602458687,349.2472522549526,0.0,20404.418200833417
t92,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,7235.814950575329,0.0,910.9356194725651,489.5496817472224,0.0,20571.411226836124
t93,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,6714.086660203132,0.0,1417.40874899977,624.4341394801861,323.92857580541204,21014.969099529502
t94,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,6886.2610569520575,0.0,3754.552124345812,1247.5818425915945,323.92857580541204,24147.434574735882
t95,7391.812131168174,9641.654567650181,0.0,3840.374536992853,50.95980370517373,0.0,702.9243068799788,6811.997714083998,0.0,2015.5757992964955,2044.9038914676728,229.3324492487189,32729.535200493247
t96,7391.812131168174,4285.372357327491,0.0,3840.374536992853,1637.6506996952485,0.0,702.9243068799788,6619.4927516059615,0.0,5034.877742278154,1350.7260505774261,0.0,30863.230576525286
t97,7391.812131168174,10237.267095860698,0.0,3840.374536992853,3139.7696498150267,0.0,702.9243068799788,7134.3556885496055,0.0,0.0,63.471150843195346,0.0,32509.974560109527
t98,7391.812131168174,0.0,0.0,3840.374536992853,2758.98286373834,0.0,702.9243068799788,6328.199586663341,0.0,4566.617511491535,112.58851627021477,323.92857580541204,26025.428029009847
t99,7391.812131168174,2992.943834912172,0.0,3840.374536992853,124.15690030375345,0.0,702.9243068799788,7033.518050601386,0.0,5034.877742278154,1949.6089712965631,323.92857580541204,29394.145050238447
t100,7391.812131168174,4764.129783038972,0.0,3840.374536992853,1443.41334725775,0.0,702.9243068799788,7406.407645499482,0.0,5034.877742278154,1523.8948502068927,229.3324492487189,32337.166792570977
t101,7391.812131168174,9274.74753501652,0.0,3840.374536992853,0.0,0.0,702.9243068799788,7763.877711063252,0.0,0.0,1512.4557855598155,0.0,30486.192006680587
t102,7391.812131168174,721.2570880730254,0.0,3840.374536992853,4.547473508864641e-13,0.0,702.9243068799788,7870.031805347196,0.0,5034.877742278154,1705.4476689714172,0.0,27266.725279710798
t103,7391.812131168174,5409.096201791132,0.0,3840.374536992853,1968.7273470302887,0.0,702.9243068799788,7056.7703649063,0.0,0.0,0.0,323.92857580541204,26693.633464574144
t104,7391.812131168174,1.8189894035458565e-12,0.0,3840.374536992853,2810.231397703075,0.0,702.9243068799788,6382.808978591816,0.0,4224.313429841207,371.06720142326185,323.92857580541204,26047.460558405786
t105,7391.812131168174,0.0,-4.547473508864641e-13,3840.374536992853,2123.0898243237357,0.0,702.9243068799788,6518.088982825619,0.0,3671.695571567888,1178.8794449242387,229.3324492487189,25656.197247931206
t106,7391.812131168174,4986.575358095224,0.0,3840.374536992853,1313.6374803436338,0.0,702.9243068799788,7454.216901462616,0.0,826.7455536460238,1064.0985786023778,26.947264538405136,27607.33211172928
t107,7391.812131168174,0.0,0.0,3840.374536992853,1884.8175308803475,0.0,702.9243068799788,7129.0807061428495,0.0,4429.709042610301,1850.2623581671237,323.92857580541204,27552.90918864704
t108,7391.812131168174,0.0,-9.094947017729282e-13,3840.374536992853,856.7474896462362,0.0,702.9243068799788,7838.272467329591,0.0,4398.283226467994,468.2450157533383,0.0,25496.65917423816
t109,7391.812131168174,-1.1368683772161603e-13,0.0,3840.374536992853,203.35899622990752,-9.094947017729282e-13,702.9243068799788,7224.83261719521,0.0,3469.416135634533,936.1683729486442,323.92857580541204,24092.81567285471
t110,7391.812131168174,0.0,-9.094947017729282e-13,3840.374536992853,21.313724858515833,0.0,702.9243068799788,7453.820682795359,0.0,2257.073534398991,2044.9038914676728,202.38518471031372,23914.607993271857
t111,7391.812131168174,0.0,0.0,3840.374536992853,49.39643220366117,0.0,702.9243068799788,7839.914627293029,0.0,2124.163396948306,2044.9038914676728,26.947264538405136,24020.436587492077
t112,7391.812131168174,0.0,9.094947017729282e-13,3840.374536992853,285.3434970117545,0.0,702.9243068799788,7207.143127293245,0.0,1783.8443222256565,1432.7507920552061,323.92857580541204,22968.12128943228
t113,7391.812131168174,0.0,0.0,3840.374536992853,1232.618800174678,0.0,702.9243068799788,7892.024944631582,0.0,2274.461754128205,1107.5086067307586,0.0,24441.72508070623
t114,7391.812131168174,0.0,-2.2737367544323206e-13,3840.374536992853,1071.8640395192215,0.0,702.9243068799788,7240.392133485472,0.0,3511.694986398066,1107.5086067307586,323.92857580541204,25190.499316979935
t115,7391.812131168174,-1.8189894035458565e-12,0.0,3840.374536992853,73.69477643514347,0.0,702.9243068799788,7492.771419658073,0.0,3347.655716843135,1107.5086067307586,202.38518471031372,24159.12667941843
t116,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,7502.389323417148,0.0,2015.3794454507006,789.3976106175157,26.947264538405136,22269.22461906477
t117,7391.812131168174,0.0,0.0,3840.374536992853,2.2737367544323206e-13,0.0,702.9243068799788,7201.773311390585,0.0,913.2579157892023,500.7941180561072,323.92857580541204,20874.864896082312
t118,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,7460.132447447794,0.0,1762.3279538280253,730.5465866887778,0.0,21888.117963005603
t119,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,6660.662261374672,0.0,2663.64377084802,975.9448270324694,323.92857580541204,22559.290410101574
t120,7391.812131168174,0.0,0.0,3840.374536992853,-4.547473508864641e-13,0.0,702.9243068799788,6463.6130967465015,0.0,2941.218826264835,1056.9974080228394,202.38518471031372,22599.325490785493
t121,7391.812131168174,10599.227441856572,0.0,3840.374536992853,60.90424680773458,0.0,702.9243068799788,6670.115650056086,0.0,0.0,1653.975805229928,0.0,30919.33411899133
t122,7391.812131168174,10708.990403997876,0.0,3840.374536992853,575.6432926810357,0.0,702.9243068799788,4752.547589857429,0.0,2390.046189483354,2044.9038914676728,0.0,32407.242342528374
t123,7391.812131168174,10027.198058827591,0.0,3840.374536992853,2602.495436400054,0.0,702.9243068799788,2805.6502723657613,0.0,3011.9426474994434,1107.5086067307586,323.92857580541204,31813.834572670028
t124,7391.812131168174,2303.081317317263,0.0,3840.374536992853,1635.445948879682,0.0,702.9243068799788,2080.2316357336927,0.0,5034.877742278154,1107.5086067307586,323.92857580541204,24420.184801785967
t125,7391.812131168174,1848.107955540534,0.0,3840.374536992853,3331.501758951059,0.0,702.9243068799788,1850.8180322434673,0.0,5034.877742278154,199.3784241121325,229.3324492487189,24429.127337415073
t126,7391.812131168174,10919.859805637157,0.0,3840.374536992853,2322.514204260735,0.0,702.9243068799788,908.3249948965558,0.0,1549.2635180817065,978.867767461933,175.43792017190862,28789.379185550995
t127,7391.812131168174,0.0,0.0,3840.374536992853,2618.6585925085124,0.0,702.9243068799788,253.8033250788842,0.0,4311.726451838011,115.44972202324493,175.43792017190862,19410.186986661567
t128,7391.812131168174,0.0,-2.2737367544323206e-13,3840.374536992853,1620.5034215574715,0.0,702.9243068799788,0.0,0.0,2965.6309015389306,936.4220416813469,0.0,17457.667339818756
t129,7391.812131168174,0.0,0.0,3840.374536992853,1339.6438499366434,0.0,702.9243068799788,0.0,0.0,3516.6486218783507,1252.3162753885808,84.94323886088029,18128.66296110546
t130,7391.812131168174,0.0,0.0,3840.374536992853,1175.4001086561868,0.0,702.9243068799788,317.6734347702868,0.0,3612.9162631081203,1749.8649706764143,323.92857580541204,19114.894328057424
t131,7391.812131168174,0.0,0.0,3840.374536992853,714.463115461958,0.0,702.9243068799788,0.0,0.0,2065.8770624183994,1879.4388514858042,267.47863430195434,16862.368638709122
t132,7391.812131168174,0.0,0.0,3840.374536992853,721.3200868454918,0.0,702.9243068799788,342.26225548845446,0.0,3629.2940659789674,428.27408179092095,200.83915189129632,17257.100617036136
t133,7391.812131168174,-4.547473508864641e-13,0.0,3840.374536992853,608.6789291071057,0.0,702.9243068799788,0.0,0.0,2123.1255715030375,1979.7974864635717,0.0,16646.71296211472
t134,7391.812131168174,3753.3401794662905,0.0,3840.374536992853,1094.2115214267717,-9.094947017729282e-13,702.9243068799788,0.0,0.0,3330.598152801722,1120.7161440190957,184.89249507975504,21418.86946783464
t135,7391.812131168174,0.0,0.0,3840.374536992853,1101.8200973566193,0.0,702.9243068799788,-5.684341886080802e-14,0.0,2726.8618621523797,1414.270284539704,323.92857580541204,17501.99179489512
t136,7391.812131168174,9.094947017729282e-13,0.0,3840.374536992853,1245.7140149008765,0.0,702.9243068799788,0.0,0.0,2726.8618621523797,1235.3072311263536,192.93060980246733,17335.924693023084
t137,6855.388242346929,0.0,0.0,3613.195515677094,0.0,0.0,702.9243068799788,0.0,0.0,5034.877742278154,2044.9038914676728,323.92857580541204,18575.21827445524
t138,5901.745773331381,0.0,0.0,2899.642393425579,0.0,0.0,702.9243068799788,-2.2737367544323206e-13,0.0,2816.8915040859497,2044.9038914676728,323.92857580541204,14690.036444995974
t139,5901.745773331381,0.0,0.0,2749.976172052292,-2.2737367544323206e-13,0.0,702.9243068799788,0.0,0.0,4934.281885814478,1899.605810271907,323.92857580541204,16512.46252415545
t140,6694.461075700555,0.0,0.0,3463.529294303784,-2.2737367544323206e-13,0.0,702.9243068799788,0.0,0.0,5034.877742278154,2044.9038914676728,323.92857580541204,18264.62488643556
t141,5901.745773331381,0.0,0.0,2749.976172052292,0.0,0.0,702.9243068799788,0.0,0.0,1969.4955418563286,1434.4534056435728,323.92857580541204,13082.523775568965
t142,5901.745773331381,0.0,0.0,2725.447783474897,0.0,0.0,702.9243068799788,0.0,0.0,3301.594846184441,1644.3982598594623,323.92857580541204,14600.039545535574
t143,5901.745773331381,-4.547473508864641e-13,0.0,2725.447783474897,0.0,0.0,702.9243068799788,0.0,0.0,4059.2214167335133,1826.4789979485095,323.92857580541204,15539.74685417369
t144,5901.745773331381,0.0,0.0,2749.976172052292,-1.1368683772161603e-13,0.0,702.9243068799788,0.0,0.0,4306.032005900491,2044.9038914676728,323.92857580541204,16029.510725437227
t145,6694.461075700555,0.0,0.0,3463.529294303784,-2.2737367544323206e-13,0.0,702.9243068799788,0.0,0.0,5034.877742278154,2044.9038914676728,323.92857580541204,18264.62488643556
t146,6694.461075700555,0.0,0.0,3463.529294303784,0.0,0.0,702.9243068799788,0.0,0.0,5034.877742278154,2044.9038914676728,323.92857580541204,18264.62488643556
