Resource,MA_natural_gas,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,1,2,2,2,3,3,3,1,2,3,0
AnnualSum,0.0,1.790886e7,4.3655746e-11,0.0,6.903136e6,-9.3807184e-11,0.0,2.3615516e7,-2.6831315e-13,0.0,0.0,0.0,4.842751e7
t1,7391.812131168174,6182.789886100269,0.0,3840.374536992853,1693.6103958954495,0.0,702.9243068799788,7485.909389343902,0.0,5034.877742278154,1584.6173406168994,323.92857580541204,34240.84430508108
t2,7391.812131168174,11961.883212031704,0.0,3840.374536992853,767.6312591465721,0.0,702.9243068799788,8087.795282917652,0.0,2123.4859508067043,2044.9038914676728,0.0,36920.810571411304
t3,7391.812131168174,6180.57624329839,0.0,3840.374536992853,4486.391996012177,0.0,702.9243068799788,7089.050335751498,0.0,5034.877742278154,192.225409729557,323.92857580541204,35242.161277916195
t4,7391.812131168174,5141.6285013396955,0.0,3840.374536992853,4201.954511766188,0.0,702.9243068799788,6907.546849572366,0.0,5034.877742278154,197.34541003473055,0.0,33418.46399003214
t5,7391.812131168174,13127.969653922615,0.0,3840.374536992853,174.20861818492995,0.0,702.9243068799788,5817.636074278827,0.0,418.84598202660527,2044.9038914676728,323.92857580541204,33842.60377072706
t6,7391.812131168174,234.01169160836253,0.0,3840.374536992853,0.0,0.0,702.9243068799788,5537.908821129961,0.0,5034.877742278154,1642.2614315157994,323.92857580541204,24708.099237378694
t7,7391.812131168174,0.0,0.0,3840.374536992853,685.3181907219489,0.0,702.9243068799788,6012.6055113457605,0.0,285.3483132819001,0.0,0.0,18918.382990390615
t8,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,3715.0822699322744,0.0,1220.7001161958333,368.10634791045004,323.92857580541204,17562.928284884976
t9,7391.812131168174,-2.2737367544323206e-13,0.0,3840.374536992853,449.4003451177887,0.0,702.9243068799788,3806.5809539655365,0.0,1268.1058723861843,1252.856676199121,165.2487464918412,18877.303569201475
t10,7391.812131168174,0.0,9.094947017729282e-13,3840.374536992853,151.30077246459513,0.0,702.9243068799788,1024.069964134372,0.0,2505.975260218517,984.4860007327368,323.92857580541204,16924.871548396644
t11,7391.812131168174,0.0,0.0,3840.374536992853,9.994043506199512,0.0,702.9243068799788,53.030075284434815,0.0,3026.482447010277,1211.634940447484,175.43792017190862,16411.69040146131
t12,7391.812131168174,0.0,0.0,3840.374536992853,2.5389533490218996,0.0,702.9243068799788,96.3981070197542,0.0,2199.8970431285293,2044.9038914676728,175.43792017190862,16454.286890177893
t13,7391.812131168174,0.0,0.0,3840.374536992853,4.013728265477515,-9.094947017729282e-13,702.9243068799788,0.0,0.0,2893.2407261218964,1212.1694300199642,90.45082135038945,16134.985680798729
t14,7391.812131168174,-7.105427357601002e-15,0.0,3840.374536992853,15.96232289812519,0.0,702.9243068799788,0.0,0.0,2818.9021480728206,1201.8145665070006,144.62629274800776,16116.41630526696
t15,7391.812131168174,0.0,9.094947017729282e-13,3840.374536992853,88.39267414538445,0.0,702.9243068799788,2.2737367544323206e-13,0.0,1927.3641204473693,2044.9038914676728,233.6100466242176,16229.381707725652
t16,7391.812131168174,0.0,0.0,3840.374536992853,547.2210242855766,-9.094947017729282e-13,702.9243068799788,1399.0486990086129,0.0,2685.2769841023287,1107.5086067307586,0.0,17674.166289168283
t17,7391.812131168174,0.0,0.0,3840.374536992853,1261.2598910017332,-4.547473508864641e-13,702.9243068799788,2218.304098782169,0.0,2518.399236711307,1107.5086067307586,323.92857580541204,19364.511384072386
t18,7391.812131168174,9.094947017729282e-13,-2.2737367544323206e-13,3840.374536992853,1803.7780439846097,0.0,702.9243068799788,4021.5212084652167,0.0,2099.8954115315073,458.27084129315494,0.0,20318.576480315493
t19,7391.812131168174,0.0,0.0,3840.374536992853,1917.983770316852,0.0,702.9243068799788,4361.252580404697,0.0,2658.0215035274,0.0,0.0,20872.368829289957
t20,7391.812131168174,1770.9422539935786,0.0,3840.374536992853,405.6562428333018,0.0,702.9243068799788,4587.820208255374,0.0,5034.877742278154,1610.3476785738699,323.92857580541204,25668.683676780696
t21,7391.812131168174,0.0,0.0,3840.374536992853,0.0,0.0,702.9243068799788,5021.255563372064,0.0,1668.79401789365,695.1457015121887,313.906313580235,19634.212571399145
