Costs,Total,Zone1,Zone2,Zone3
cTotal,4.9856392017389404e10,3.2574426942454563e10,3.955654673649083e10,9.145110411616037e9
cFix,1.168919619434509e11,4.155719278967243e10,6.5478137471093445e10,9.856631682684992e9
cVar,1.5581531320003483e8,9.591633000575443e7,4.831037932049353e7,1.1588603873779608e7
cNSE,1.954357804945055e8,1.3618204148351648e8,3.8892494780219786e7,2.0361244230769232e7
cStart,0.0,0,0,0
cUnmetRsv,0.0,-,-,-
cNetworkExp,4.4297620775053275e8,-,-,-
