Time_Index,ng,coal,biomass,uranium,ng_ccs,h2,None
105,3.6,1.95,1.02,0.66,4.1,20.0,0.0
106,3.6,1.95,1.02,0.66,4.1,20.0,0.0
107,3.6,1.95,1.02,0.66,4.1,20.0,0.0
108,3.6,1.95,1.02,0.66,4.1,20.0,0.0
109,3.6,1.95,1.02,0.66,4.1,20.0,0.0
110,3.6,1.95,1.02,0.66,4.1,20.0,0.0
111,3.6,1.95,1.02,0.66,4.1,20.0,0.0
112,3.6,1.95,1.02,0.66,4.1,20.0,0.0
113,3.6,1.95,1.02,0.66,4.1,20.0,0.0
114,3.6,1.95,1.02,0.66,4.1,20.0,0.0
115,3.6,1.95,1.02,0.66,4.1,20.0,0.0
116,3.6,1.95,1.02,0.66,4.1,20.0,0.0
117,3.6,1.95,1.02,0.66,4.1,20.0,0.0
118,3.6,1.95,1.02,0.66,4.1,20.0,0.0
119,3.6,1.95,1.02,0.66,4.1,20.0,0.0
120,3.6,1.95,1.02,0.66,4.1,20.0,0.0
121,3.6,1.95,1.02,0.66,4.1,20.0,0.0
122,3.6,1.95,1.02,0.66,4.1,20.0,0.0
123,3.6,1.95,1.02,0.66,4.1,20.0,0.0
124,3.6,1.95,1.02,0.66,4.1,20.0,0.0
125,3.6,1.95,1.02,0.66,4.1,20.0,0.0
126,3.6,1.95,1.02,0.66,4.1,20.0,0.0
127,3.6,1.95,1.02,0.66,4.1,20.0,0.0
128,3.6,1.95,1.02,0.66,4.1,20.0,0.0
129,3.6,1.95,1.02,0.66,4.1,20.0,0.0
130,3.6,1.95,1.02,0.66,4.1,20.0,0.0
131,3.6,1.95,1.02,0.66,4.1,20.0,0.0
132,3.6,1.95,1.02,0.66,4.1,20.0,0.0
133,3.6,1.95,1.02,0.66,4.1,20.0,0.0
134,3.6,1.95,1.02,0.66,4.1,20.0,0.0
135,3.6,1.95,1.02,0.66,4.1,20.0,0.0
136,3.6,1.95,1.02,0.66,4.1,20.0,0.0
137,3.6,1.95,1.02,0.66,4.1,20.0,0.0
138,3.6,1.95,1.02,0.66,4.1,20.0,0.0
139,3.6,1.95,1.02,0.66,4.1,20.0,0.0
140,3.6,1.95,1.02,0.66,4.1,20.0,0.0
141,3.6,1.95,1.02,0.66,4.1,20.0,0.0
142,3.6,1.95,1.02,0.66,4.1,20.0,0.0
143,3.6,1.95,1.02,0.66,4.1,20.0,0.0
144,3.6,1.95,1.02,0.66,4.1,20.0,0.0
145,3.6,1.95,1.02,0.66,4.1,20.0,0.0
146,3.6,1.95,1.02,0.66,4.1,20.0,0.0
147,3.6,1.95,1.02,0.66,4.1,20.0,0.0
148,3.6,1.95,1.02,0.66,4.1,20.0,0.0
149,3.6,1.95,1.02,0.66,4.1,20.0,0.0
150,3.6,1.95,1.02,0.66,4.1,20.0,0.0
151,3.6,1.95,1.02,0.66,4.1,20.0,0.0
152,3.6,1.95,1.02,0.66,4.1,20.0,0.0
153,3.6,1.95,1.02,0.66,4.1,20.0,0.0
154,3.6,1.95,1.02,0.66,4.1,20.0,0.0
155,3.6,1.95,1.02,0.66,4.1,20.0,0.0
156,3.6,1.95,1.02,0.66,4.1,20.0,0.0
157,3.6,1.95,1.02,0.66,4.1,20.0,0.0
158,3.6,1.95,1.02,0.66,4.1,20.0,0.0
159,3.6,1.95,1.02,0.66,4.1,20.0,0.0
160,3.6,1.95,1.02,0.66,4.1,20.0,0.0
161,3.6,1.95,1.02,0.66,4.1,20.0,0.0
162,3.6,1.95,1.02,0.66,4.1,20.0,0.0
163,3.6,1.95,1.02,0.66,4.1,20.0,0.0
164,3.6,1.95,1.02,0.66,4.1,20.0,0.0
165,3.6,1.95,1.02,0.66,4.1,20.0,0.0
166,3.6,1.95,1.02,0.66,4.1,20.0,0.0
167,3.6,1.95,1.02,0.66,4.1,20.0,0.0
168,3.6,1.95,1.02,0.66,4.1,20.0,0.0
169,3.6,1.95,1.02,0.66,4.1,20.0,0.0
170,3.6,1.95,1.02,0.66,4.1,20.0,0.0
171,3.6,1.95,1.02,0.66,4.1,20.0,0.0
172,3.6,1.95,1.02,0.66,4.1,20.0,0.0
173,3.6,1.95,1.02,0.66,4.1,20.0,0.0
174,3.6,1.95,1.02,0.66,4.1,20.0,0.0
175,3.6,1.95,1.02,0.66,4.1,20.0,0.0
176,3.6,1.95,1.02,0.66,4.1,20.0,0.0
177,3.6,1.95,1.02,0.66,4.1,20.0,0.0
178,3.6,1.95,1.02,0.66,4.1,20.0,0.0
179,3.6,1.95,1.02,0.66,4.1,20.0,0.0
180,3.6,1.95,1.02,0.66,4.1,20.0,0.0
181,3.6,1.95,1.02,0.66,4.1,20.0,0.0
182,3.6,1.95,1.02,0.66,4.1,20.0,0.0
183,3.6,1.95,1.02,0.66,4.1,20.0,0.0
184,3.6,1.95,1.02,0.66,4.1,20.0,0.0
185,3.6,1.95,1.02,0.66,4.1,20.0,0.0
186,3.6,1.95,1.02,0.66,4.1,20.0,0.0
187,3.6,1.95,1.02,0.66,4.1,20.0,0.0
188,3.6,1.95,1.02,0.66,4.1,20.0,0.0
189,3.6,1.95,1.02,0.66,4.1,20.0,0.0
190,3.6,1.95,1.02,0.66,4.1,20.0,0.0
191,3.6,1.95,1.02,0.66,4.1,20.0,0.0
192,3.6,1.95,1.02,0.66,4.1,20.0,0.0
193,3.6,1.95,1.02,0.66,4.1,20.0,0.0
194,3.6,1.95,1.02,0.66,4.1,20.0,0.0
195,3.6,1.95,1.02,0.66,4.1,20.0,0.0
196,3.6,1.95,1.02,0.66,4.1,20.0,0.0
197,3.6,1.95,1.02,0.66,4.1,20.0,0.0
198,3.6,1.95,1.02,0.66,4.1,20.0,0.0
199,3.6,1.95,1.02,0.66,4.1,20.0,0.0
200,3.6,1.95,1.02,0.66,4.1,20.0,0.0
201,3.6,1.95,1.02,0.66,4.1,20.0,0.0
202,3.6,1.95,1.02,0.66,4.1,20.0,0.0
203,3.6,1.95,1.02,0.66,4.1,20.0,0.0
204,3.6,1.95,1.02,0.66,4.1,20.0,0.0
205,3.6,1.95,1.02,0.66,4.1,20.0,0.0
206,3.6,1.95,1.02,0.66,4.1,20.0,0.0
207,3.6,1.95,1.02,0.66,4.1,20.0,0.0
208,3.6,1.95,1.02,0.66,4.1,20.0,0.0
209,3.6,1.95,1.02,0.66,4.1,20.0,0.0
210,3.6,1.95,1.02,0.66,4.1,20.0,0.0
211,3.6,1.95,1.02,0.66,4.1,20.0,0.0
212,3.6,1.95,1.02,0.66,4.1,20.0,0.0
213,3.6,1.95,1.02,0.66,4.1,20.0,0.0
214,3.6,1.95,1.02,0.66,4.1,20.0,0.0
215,3.6,1.95,1.02,0.66,4.1,20.0,0.0
216,3.6,1.95,1.02,0.66,4.1,20.0,0.0
217,3.6,1.95,1.02,0.66,4.1,20.0,0.0
218,3.6,1.95,1.02,0.66,4.1,20.0,0.0
219,3.6,1.95,1.02,0.66,4.1,20.0,0.0
220,3.6,1.95,1.02,0.66,4.1,20.0,0.0
221,3.6,1.95,1.02,0.66,4.1,20.0,0.0
222,3.6,1.95,1.02,0.66,4.1,20.0,0.0
223,3.6,1.95,1.02,0.66,4.1,20.0,0.0
224,3.6,1.95,1.02,0.66,4.1,20.0,0.0
225,3.6,1.95,1.02,0.66,4.1,20.0,0.0
226,3.6,1.95,1.02,0.66,4.1,20.0,0.0
227,3.6,1.95,1.02,0.66,4.1,20.0,0.0
228,3.6,1.95,1.02,0.66,4.1,20.0,0.0
229,3.6,1.95,1.02,0.66,4.1,20.0,0.0
230,3.6,1.95,1.02,0.66,4.1,20.0,0.0
231,3.6,1.95,1.02,0.66,4.1,20.0,0.0
232,3.6,1.95,1.02,0.66,4.1,20.0,0.0
233,3.6,1.95,1.02,0.66,4.1,20.0,0.0
234,3.6,1.95,1.02,0.66,4.1,20.0,0.0
235,3.6,1.95,1.02,0.66,4.1,20.0,0.0
236,3.6,1.95,1.02,0.66,4.1,20.0,0.0
237,3.6,1.95,1.02,0.66,4.1,20.0,0.0
238,3.6,1.95,1.02,0.66,4.1,20.0,0.0
239,3.6,1.95,1.02,0.66,4.1,20.0,0.0
240,3.6,1.95,1.02,0.66,4.1,20.0,0.0
241,3.6,1.95,1.02,0.66,4.1,20.0,0.0
242,3.6,1.95,1.02,0.66,4.1,20.0,0.0
243,3.6,1.95,1.02,0.66,4.1,20.0,0.0
244,3.6,1.95,1.02,0.66,4.1,20.0,0.0
245,3.6,1.95,1.02,0.66,4.1,20.0,0.0
246,3.6,1.95,1.02,0.66,4.1,20.0,0.0
247,3.6,1.95,1.02,0.66,4.1,20.0,0.0
248,3.6,1.95,1.02,0.66,4.1,20.0,0.0
249,3.6,1.95,1.02,0.66,4.1,20.0,0.0
250,3.6,1.95,1.02,0.66,4.1,20.0,0.0
251,3.6,1.95,1.02,0.66,4.1,20.0,0.0
252,3.6,1.95,1.02,0.66,4.1,20.0,0.0
253,3.6,1.95,1.02,0.66,4.1,20.0,0.0
254,3.6,1.95,1.02,0.66,4.1,20.0,0.0
255,3.6,1.95,1.02,0.66,4.1,20.0,0.0
256,3.6,1.95,1.02,0.66,4.1,20.0,0.0
257,3.6,1.95,1.02,0.66,4.1,20.0,0.0
258,3.6,1.95,1.02,0.66,4.1,20.0,0.0
259,3.6,1.95,1.02,0.66,4.1,20.0,0.0
260,3.6,1.95,1.02,0.66,4.1,20.0,0.0
261,3.6,1.95,1.02,0.66,4.1,20.0,0.0
262,3.6,1.95,1.02,0.66,4.1,20.0,0.0
263,3.6,1.95,1.02,0.66,4.1,20.0,0.0
264,3.6,1.95,1.02,0.66,4.1,20.0,0.0
265,3.6,1.95,1.02,0.66,4.1,20.0,0.0
266,3.6,1.95,1.02,0.66,4.1,20.0,0.0
267,3.6,1.95,1.02,0.66,4.1,20.0,0.0
268,3.6,1.95,1.02,0.66,4.1,20.0,0.0
269,3.6,1.95,1.02,0.66,4.1,20.0,0.0
270,3.6,1.95,1.02,0.66,4.1,20.0,0.0
271,3.6,1.95,1.02,0.66,4.1,20.0,0.0
272,3.6,1.95,1.02,0.66,4.1,20.0,0.0
273,3.6,1.95,1.02,0.66,4.1,20.0,0.0
274,3.6,1.95,1.02,0.66,4.1,20.0,0.0
275,3.6,1.95,1.02,0.66,4.1,20.0,0.0
276,3.6,1.95,1.02,0.66,4.1,20.0,0.0
277,3.6,1.95,1.02,0.66,4.1,20.0,0.0
278,3.6,1.95,1.02,0.66,4.1,20.0,0.0
279,3.6,1.95,1.02,0.66,4.1,20.0,0.0
280,3.6,1.95,1.02,0.66,4.1,20.0,0.0
281,3.6,1.95,1.02,0.66,4.1,20.0,0.0
282,3.6,1.95,1.02,0.66,4.1,20.0,0.0
283,3.6,1.95,1.02,0.66,4.1,20.0,0.0
284,3.6,1.95,1.02,0.66,4.1,20.0,0.0
285,3.6,1.95,1.02,0.66,4.1,20.0,0.0
286,3.6,1.95,1.02,0.66,4.1,20.0,0.0
287,3.6,1.95,1.02,0.66,4.1,20.0,0.0
288,3.6,1.95,1.02,0.66,4.1,20.0,0.0
289,3.6,1.95,1.02,0.66,4.1,20.0,0.0
290,3.6,1.95,1.02,0.66,4.1,20.0,0.0
291,3.6,1.95,1.02,0.66,4.1,20.0,0.0
292,3.6,1.95,1.02,0.66,4.1,20.0,0.0
293,3.6,1.95,1.02,0.66,4.1,20.0,0.0
294,3.6,1.95,1.02,0.66,4.1,20.0,0.0
295,3.6,1.95,1.02,0.66,4.1,20.0,0.0
296,3.6,1.95,1.02,0.66,4.1,20.0,0.0
297,3.6,1.95,1.02,0.66,4.1,20.0,0.0
298,3.6,1.95,1.02,0.66,4.1,20.0,0.0
299,3.6,1.95,1.02,0.66,4.1,20.0,0.0
300,3.6,1.95,1.02,0.66,4.1,20.0,0.0
301,3.6,1.95,1.02,0.66,4.1,20.0,0.0
302,3.6,1.95,1.02,0.66,4.1,20.0,0.0
303,3.6,1.95,1.02,0.66,4.1,20.0,0.0
304,3.6,1.95,1.02,0.66,4.1,20.0,0.0
305,3.6,1.95,1.02,0.66,4.1,20.0,0.0
306,3.6,1.95,1.02,0.66,4.1,20.0,0.0
307,3.6,1.95,1.02,0.66,4.1,20.0,0.0
308,3.6,1.95,1.02,0.66,4.1,20.0,0.0
309,3.6,1.95,1.02,0.66,4.1,20.0,0.0
310,3.6,1.95,1.02,0.66,4.1,20.0,0.0
311,3.6,1.95,1.02,0.66,4.1,20.0,0.0
312,3.6,1.95,1.02,0.66,4.1,20.0,0.0
313,3.6,1.95,1.02,0.66,4.1,20.0,0.0
314,3.6,1.95,1.02,0.66,4.1,20.0,0.0
315,3.6,1.95,1.02,0.66,4.1,20.0,0.0
316,3.6,1.95,1.02,0.66,4.1,20.0,0.0
317,3.6,1.95,1.02,0.66,4.1,20.0,0.0
318,3.6,1.95,1.02,0.66,4.1,20.0,0.0
319,3.6,1.95,1.02,0.66,4.1,20.0,0.0
320,3.6,1.95,1.02,0.66,4.1,20.0,0.0
321,3.6,1.95,1.02,0.66,4.1,20.0,0.0
322,3.6,1.95,1.02,0.66,4.1,20.0,0.0
323,3.6,1.95,1.02,0.66,4.1,20.0,0.0
324,3.6,1.95,1.02,0.66,4.1,20.0,0.0
325,3.6,1.95,1.02,0.66,4.1,20.0,0.0
326,3.6,1.95,1.02,0.66,4.1,20.0,0.0
327,3.6,1.95,1.02,0.66,4.1,20.0,0.0
328,3.6,1.95,1.02,0.66,4.1,20.0,0.0
329,3.6,1.95,1.02,0.66,4.1,20.0,0.0
330,3.6,1.95,1.02,0.66,4.1,20.0,0.0
331,3.6,1.95,1.02,0.66,4.1,20.0,0.0
332,3.6,1.95,1.02,0.66,4.1,20.0,0.0
333,3.6,1.95,1.02,0.66,4.1,20.0,0.0
334,3.6,1.95,1.02,0.66,4.1,20.0,0.0
335,3.6,1.95,1.02,0.66,4.1,20.0,0.0
336,3.6,1.95,1.02,0.66,4.1,20.0,0.0
337,3.6,1.95,1.02,0.66,4.1,20.0,0.0
338,3.6,1.95,1.02,0.66,4.1,20.0,0.0
339,3.6,1.95,1.02,0.66,4.1,20.0,0.0
340,3.6,1.95,1.02,0.66,4.1,20.0,0.0
341,3.6,1.95,1.02,0.66,4.1,20.0,0.0
342,3.6,1.95,1.02,0.66,4.1,20.0,0.0
343,3.6,1.95,1.02,0.66,4.1,20.0,0.0
344,3.6,1.95,1.02,0.66,4.1,20.0,0.0
345,3.6,1.95,1.02,0.66,4.1,20.0,0.0
346,3.6,1.95,1.02,0.66,4.1,20.0,0.0
347,3.6,1.95,1.02,0.66,4.1,20.0,0.0
348,3.6,1.95,1.02,0.66,4.1,20.0,0.0
349,3.6,1.95,1.02,0.66,4.1,20.0,0.0
350,3.6,1.95,1.02,0.66,4.1,20.0,0.0
351,3.6,1.95,1.02,0.66,4.1,20.0,0.0
352,3.6,1.95,1.02,0.66,4.1,20.0,0.0
353,3.6,1.95,1.02,0.66,4.1,20.0,0.0
354,3.6,1.95,1.02,0.66,4.1,20.0,0.0
355,3.6,1.95,1.02,0.66,4.1,20.0,0.0
356,3.6,1.95,1.02,0.66,4.1,20.0,0.0
357,3.6,1.95,1.02,0.66,4.1,20.0,0.0
358,3.6,1.95,1.02,0.66,4.1,20.0,0.0
359,3.6,1.95,1.02,0.66,4.1,20.0,0.0
360,3.6,1.95,1.02,0.66,4.1,20.0,0.0
361,3.6,1.95,1.02,0.66,4.1,20.0,0.0
362,3.6,1.95,1.02,0.66,4.1,20.0,0.0
363,3.6,1.95,1.02,0.66,4.1,20.0,0.0
364,3.6,1.95,1.02,0.66,4.1,20.0,0.0
365,3.6,1.95,1.02,0.66,4.1,20.0,0.0
366,3.6,1.95,1.02,0.66,4.1,20.0,0.0
367,3.6,1.95,1.02,0.66,4.1,20.0,0.0
368,3.6,1.95,1.02,0.66,4.1,20.0,0.0
369,3.6,1.95,1.02,0.66,4.1,20.0,0.0
370,3.6,1.95,1.02,0.66,4.1,20.0,0.0
371,3.6,1.95,1.02,0.66,4.1,20.0,0.0
372,3.6,1.95,1.02,0.66,4.1,20.0,0.0
373,3.6,1.95,1.02,0.66,4.1,20.0,0.0
374,3.6,1.95,1.02,0.66,4.1,20.0,0.0
375,3.6,1.95,1.02,0.66,4.1,20.0,0.0
376,3.6,1.95,1.02,0.66,4.1,20.0,0.0
377,3.6,1.95,1.02,0.66,4.1,20.0,0.0
378,3.6,1.95,1.02,0.66,4.1,20.0,0.0
379,3.6,1.95,1.02,0.66,4.1,20.0,0.0
380,3.6,1.95,1.02,0.66,4.1,20.0,0.0
381,3.6,1.95,1.02,0.66,4.1,20.0,0.0
382,3.6,1.95,1.02,0.66,4.1,20.0,0.0
383,3.6,1.95,1.02,0.66,4.1,20.0,0.0
384,3.6,1.95,1.02,0.66,4.1,20.0,0.0
385,3.6,1.95,1.02,0.66,4.1,20.0,0.0
386,3.6,1.95,1.02,0.66,4.1,20.0,0.0
387,3.6,1.95,1.02,0.66,4.1,20.0,0.0
388,3.6,1.95,1.02,0.66,4.1,20.0,0.0
389,3.6,1.95,1.02,0.66,4.1,20.0,0.0
390,3.6,1.95,1.02,0.66,4.1,20.0,0.0
391,3.6,1.95,1.02,0.66,4.1,20.0,0.0
392,3.6,1.95,1.02,0.66,4.1,20.0,0.0
393,3.6,1.95,1.02,0.66,4.1,20.0,0.0
394,3.6,1.95,1.02,0.66,4.1,20.0,0.0
395,3.6,1.95,1.02,0.66,4.1,20.0,0.0
396,3.6,1.95,1.02,0.66,4.1,20.0,0.0
397,3.6,1.95,1.02,0.66,4.1,20.0,0.0
398,3.6,1.95,1.02,0.66,4.1,20.0,0.0
399,3.6,1.95,1.02,0.66,4.1,20.0,0.0
400,3.6,1.95,1.02,0.66,4.1,20.0,0.0
401,3.6,1.95,1.02,0.66,4.1,20.0,0.0
402,3.6,1.95,1.02,0.66,4.1,20.0,0.0
403,3.6,1.95,1.02,0.66,4.1,20.0,0.0
404,3.6,1.95,1.02,0.66,4.1,20.0,0.0
405,3.6,1.95,1.02,0.66,4.1,20.0,0.0
406,3.6,1.95,1.02,0.66,4.1,20.0,0.0
407,3.6,1.95,1.02,0.66,4.1,20.0,0.0
408,3.6,1.95,1.02,0.66,4.1,20.0,0.0
409,3.6,1.95,1.02,0.66,4.1,20.0,0.0
410,3.6,1.95,1.02,0.66,4.1,20.0,0.0
411,3.6,1.95,1.02,0.66,4.1,20.0,0.0
412,3.6,1.95,1.02,0.66,4.1,20.0,0.0
413,3.6,1.95,1.02,0.66,4.1,20.0,0.0
