Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
MA_natural_gas_combined_cycle,1,0.0,12028.271292372514,15219.871414465519,8982.667571106302
MA_solar_pv,1,0.0,0.0,0.0,12376.6719950611
CT_natural_gas_combined_cycle,2,0.0,9300.27361803946,6010.151109575,2242.786840828458
CT_onshore_wind,2,0.0,0.0,0.0,7691.375405031562
CT_solar_pv,2,0.0,0.0,0.0,10078.374696579862
ME_natural_gas_combined_cycle,3,0.0,357.6676363736287,54.65384700000014,440.04311000574023
ME_onshore_wind,3,0.0,0.0,0.0,17955.57421383467
MA_battery,1,0.0,0.0,0.0,1581.7195387978622
CT_battery,2,0.0,0.0,0.0,2632.053877978729
ME_battery,3,0.0,1901.332363626371,0.0,2024.8429286217356
Total,n/a,0.0,23587.544910411976,21284.67637104052,66006.11017784601
