Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,2.508150809575322e10,1.1487276181602614e9,2.7547330921682014e10
cVar,8.064153073895475e9,4.934917901765864e9,3.841356281261468e8
cNSE,4.056313294168216e8,0.0,2.689055483572576e6
cStart,100731.67212834231,1.4202728274054516e6,6.336073709422139e7
cUnmetRsv,0.0,0.0,0.0
cNetworkExp,4.3789280464366144e8,0.0,3.675930355695152e8
