BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t58,50633.69561590724,0.0,-5322.223865907251,0.0,0.0,0.0,0.0,0.0,0.0,-52963.47175
t59,48816.30119590725,0.0,-5322.223865907251,0.0,0.0,0.0,0.0,0.0,0.0,-51146.07733
t60,43767.636972415115,1670.5647467460692,-3651.659119161182,0.0,0.0,0.0,0.0,0.0,0.0,-49438.5426
t61,40933.688453161536,2381.768691372858,-2940.455174534393,0.0,0.0,0.0,0.0,0.0,0.0,-48027.00197
t62,39592.11280100696,2640.46011745015,-2681.763748457101,0.0,0.0,0.0,0.0,0.0,0.0,-47202.80917
t63,40971.452065316116,2123.0772652955657,-3199.1466006116852,0.0,0.0,0.0,0.0,0.0,0.0,-47547.38273
t64,42758.18773316153,2381.768691372858,-2940.455174534393,0.0,0.0,0.0,0.0,0.0,0.0,-49851.50125
t65,45407.58914,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53059.58914
t66,43414.298628813776,2996.5407211862334,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54062.83935
t67,46370.21645775298,209.76582224702278,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54231.98228
t68,40962.96798264031,4966.309167359695,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53581.27715
t69,44520.39343,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52172.39343
t70,42950.46207000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50602.46207
t71,43812.15660330552,0.0,-1856.4967733055137,0.0,0.0,0.0,0.0,0.0,0.0,-49607.65983
t72,43558.638700246906,0.0,-2026.0519802468996,0.0,0.0,0.0,0.0,0.0,0.0,-49184.58672
t73,44203.86455484813,0.0,-2522.3033248481297,0.0,0.0,0.0,0.0,0.0,0.0,-49333.56123
t74,43982.921989599614,0.0,-1789.9699395996026,0.0,0.0,0.0,0.0,0.0,0.0,-49844.95205
t75,45004.890707670165,0.0,-1894.827007670161,0.0,0.0,0.0,0.0,0.0,0.0,-50762.0637
t76,44894.14798000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52546.14798
t77,47852.818640000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55504.81864
t78,48685.12320051783,1758.0827294821795,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58095.20593
t79,47501.84776232155,3397.113147678443,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58550.96091
t80,45480.7198546164,4754.085925383613,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57886.80578
t81,48714.18829000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56366.18829
t82,51422.73702829089,0.0,-4218.564628290885,0.0,0.0,0.0,0.0,0.0,0.0,-54856.1724
t83,50298.6971566684,297.09171961942883,-5025.132146287822,0.0,0.0,0.0,0.0,0.0,0.0,-53222.65673
t84,46554.26757665903,1431.0104796241117,-3891.2133862831392,0.0,0.0,0.0,0.0,0.0,0.0,-51746.06467
t85,44754.58954364738,1830.3284861299378,-3491.8953797773133,0.0,0.0,0.0,0.0,0.0,0.0,-50745.02265
t86,42865.07474316154,2381.768691372858,-2940.455174534393,0.0,0.0,0.0,0.0,0.0,0.0,-49958.38826
t87,42640.85462,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50292.85462
t88,44953.155500000015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52605.1555
