Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
t57,-0.0,-0.0,-0.0,6040.581469155521,8439.423369527953,-0.0,-0.0,0.0,0.0,0.0,14480.004838683473
t58,-0.0,-0.0,-0.0,6040.581469155521,8378.928194990338,-0.0,-0.0,0.0,0.0,0.0,14419.509664145859
t59,-0.0,-0.0,-0.0,6040.581469155521,8396.079358259358,-0.0,-0.0,0.0,0.0,0.0,14436.660827414878
t60,-0.0,-0.0,-0.0,6040.581469155521,8335.584183721749,-0.0,-0.0,0.0,0.0,0.0,14376.16565287727
t61,-0.0,-0.0,-0.0,6040.581469155521,8169.232459530647,-0.0,-0.0,0.0,0.0,0.0,14209.813928686168
t62,-0.0,-0.0,-0.0,6040.581469155521,8061.358546029879,-0.0,-0.0,0.0,0.0,0.0,14101.940015185399
t63,-0.0,-0.0,-0.0,6040.581469155521,8581.528209982864,-0.0,-0.0,0.0,0.0,0.0,14622.109679138384
t64,-0.0,-0.0,-0.0,6040.581469155521,7920.23530121086,-0.0,-0.0,0.0,0.0,0.0,13960.81677036638
t65,-0.0,-0.0,-0.0,6040.581469155521,8622.92625698807,-0.0,-0.0,0.0,0.0,0.0,14663.50772614359
t66,-0.0,-0.0,-0.0,6040.581469155521,9119.222434054938,-0.0,-0.0,0.0,0.0,771.1172138348032,15930.921117045262
t67,-0.0,-0.0,-0.0,6040.581469155521,9121.215496180741,-0.0,-0.0,0.0,-0.0,781.8830866267919,15943.680051963054
t68,-0.0,-0.0,-0.0,6040.581469155521,9045.479135400285,-0.0,-0.0,0.0,0.0,485.1489779727638,15571.209582528569
t69,-0.0,-0.0,-0.0,6040.581469155521,8922.905814663494,-0.0,-0.0,0.0,0.0,3.3442139183195163,14966.831497737334
t70,-0.0,-0.0,-0.0,6040.581469155521,7898.032867609703,-0.0,-0.0,0.0,0.0,0.0,13938.614336765224
t71,-0.0,-0.0,-0.0,6040.581469155521,6614.669998628816,-0.0,-0.0,0.0,0.0,0.0,12655.251467784336
t72,-0.0,-0.0,-0.0,6040.581469155521,6330.137042660987,-0.0,-0.0,0.0,0.0,0.0,12370.718511816507
t73,-0.0,-0.0,-0.0,6040.581469155521,4640.6839043722,-0.0,-0.0,0.0,0.0,0.0,10681.26537352772
t74,-0.0,-0.0,-0.0,6040.581469155521,4251.5400207216235,-0.0,-0.0,0.0,0.0,0.0,10292.121489877143
t75,-0.0,-0.0,-0.0,6040.581469155521,4078.119662351108,-0.0,-0.0,0.0,0.0,0.0,10118.701131506628
t76,-0.0,-0.0,-0.0,6040.581469155521,5134.022062686617,-0.0,-0.0,0.0,0.0,0.0,11174.603531842138
t77,-0.0,-0.0,-0.0,6040.581469155521,4414.84568756713,-0.0,-0.0,0.0,0.0,0.0,10455.42715672265
t78,-0.0,-0.0,-0.0,6040.581469155521,5476.44509058685,-0.0,-0.0,0.0,0.0,0.0,11517.026559742371
t79,-0.0,-0.0,-0.0,6040.581469155521,8202.275797072183,-0.0,-0.0,0.0,0.0,0.0,14242.857266227704
t80,-0.0,-0.0,-0.0,6040.581469155521,8860.124357700748,-0.0,-0.0,0.0,0.0,0.0,14900.705826856269
t81,-0.0,-0.0,-0.0,6040.581469155521,8703.566478130217,-0.0,-0.0,0.0,0.0,0.0,14744.147947285737
t82,-0.0,-0.0,-0.0,6040.581469155521,8895.002944902273,-0.0,-0.0,0.0,0.0,0.0,14935.584414057794
t83,-0.0,-0.0,-0.0,6040.581469155521,8854.804414474243,-0.0,-0.0,0.0,0.0,0.0,14895.385883629764
t84,-0.0,-0.0,-0.0,6040.581469155521,8816.479511102383,-0.0,-0.0,0.0,0.0,0.0,14857.060980257904
t85,-0.0,-0.0,-0.0,6040.581469155521,8667.278950180302,-0.0,-0.0,0.0,0.0,0.0,14707.860419335822
t86,-0.0,-0.0,-0.0,6040.581469155521,8586.618717463485,-0.0,-0.0,0.0,0.0,0.0,14627.200186619006
t87,-0.0,-0.0,-0.0,6040.581469155521,8418.281791860512,-0.0,-0.0,0.0,0.0,0.0,14458.863261016033
t88,-0.0,-0.0,-0.0,6040.581469155521,8395.070676335716,-0.0,-0.0,0.0,-0.0,0.0,14435.652145491236
t89,-0.0,-0.0,-0.0,6040.581469155521,8946.822560173112,-0.0,-0.0,0.0,0.0,98.34130797281392,15085.745337301447
t90,-0.0,-0.0,-0.0,6040.581469155521,9230.833913099821,-0.0,-0.0,0.0,0.0,1205.9119077112778,16477.32728996662
t91,-0.0,-0.0,-0.0,6040.581469155521,9249.768003294934,-0.0,-0.0,0.0,0.0,1280.3348277724474,16570.684300222903
t92,-0.0,-0.0,-0.0,6040.581469155521,9174.031642514477,-0.0,-0.0,0.0,0.0,985.5740086234288,16200.187120293427
t93,-0.0,-0.0,-0.0,6040.581469155521,9055.44444602929,-0.0,-0.0,0.0,0.0,521.3931753587464,15617.419090543557
t94,-0.0,-0.0,-0.0,6040.581469155521,8522.100966092048,-0.0,-0.0,0.0,0.0,0.0,14562.682435247569
t95,-0.0,-0.0,-0.0,6040.581469155521,7882.377656466731,-0.0,-0.0,0.0,0.0,0.0,13922.959125622252
t96,-0.0,-0.0,-0.0,6040.581469155521,6772.778455571464,-0.0,-0.0,0.0,0.0,0.0,12813.359924726985
t97,-0.0,-0.0,-0.0,6040.581469155521,6049.468139330893,-0.0,-0.0,0.0,0.0,0.0,12090.049608486413
t98,-0.0,-0.0,-0.0,6040.581469155521,4692.105231743852,-0.0,-0.0,0.0,0.0,0.0,10732.686700899372
t99,-0.0,-0.0,-0.0,6040.581469155521,4498.551977629538,-0.0,-0.0,0.0,0.0,0.0,10539.133446785057
t100,-0.0,-0.0,-0.0,6040.581469155521,4490.4746615264785,-0.0,-0.0,0.0,0.0,0.0,10531.056130681998
t101,-0.0,-0.0,-0.0,6040.581469155521,5799.983319608502,-0.0,-0.0,0.0,0.0,0.0,11840.564788764023
t102,-0.0,-0.0,-0.0,6040.581469155521,5844.415234134579,-0.0,-0.0,0.0,0.0,0.0,11884.9967032901
t103,-0.0,-0.0,-0.0,6040.581469155521,8477.929940734488,-0.0,-0.0,0.0,0.0,0.0,14518.511409890009
