Time_Index,NENG_CT_NG,NENG_ME_NG,NENGREST_NG,west_north_central_coal,new_england_uranium,NENG_CT_NG_ccs90,NENG_ME_NG_ccs90,NENGREST_NG_ccs90,NENG_CT_NG_ccs100,NENG_ME_NG_ccs100,NENGREST_NG_ccs100,None
0,0.05306,0.05306,0.05306,0.09552,0.0,0.00531,0.00531,0.00531,0.0,0.0,0.0,0.0
1,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
2,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
3,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
4,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
5,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
6,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
7,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
8,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
9,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
10,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
11,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
12,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
13,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
14,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
15,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
16,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
17,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
18,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
19,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
20,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
21,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
22,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
23,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
24,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
25,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
26,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
27,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
28,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
29,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
30,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
31,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
32,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
33,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
34,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
35,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
36,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
37,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
38,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
39,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
40,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
41,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
42,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
43,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
44,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
45,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
46,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
47,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
48,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
49,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
50,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
51,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
52,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
53,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
54,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
55,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
56,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
57,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
58,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
59,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
60,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
61,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
62,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
63,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
64,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
65,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
66,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
67,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
68,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
69,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
70,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
71,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
72,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
73,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
74,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
75,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
76,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
77,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
78,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
79,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
80,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
81,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
82,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
83,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
84,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
85,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
86,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
87,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
88,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
89,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
90,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
91,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
92,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
93,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
94,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
95,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
96,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
97,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
98,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
99,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
100,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
101,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
102,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
103,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
104,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
105,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
106,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
107,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
108,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
109,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
110,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
111,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
112,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
113,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
114,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
115,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
116,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
117,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
118,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
119,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
120,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
121,2.13,2.13,3.18,1.67,0.69,2.13,2.13,3.18,0.7,0.7,1.75,0.0
