Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,106,10074.0,10230.0,14348.0
,,,,,,,,107,11290.0,11725.0,15692.0
,,,,,,,,108,12814.0,13706.0,17110.0
,,,,,,,,109,14418.0,15778.0,18586.0
,,,,,,,,110,16443.0,18439.0,19795.0
,,,,,,,,111,18576.0,21209.0,20832.0
,,,,,,,,112,20689.0,23592.0,21669.0
,,,,,,,,113,22613.0,25572.0,22353.0
,,,,,,,,114,23799.0,26614.0,22773.0
,,,,,,,,115,24528.0,27260.0,22869.0
,,,,,,,,116,25056.0,27639.0,22589.0
,,,,,,,,117,24999.0,27428.0,22061.0
,,,,,,,,118,24464.0,26740.0,21196.0
,,,,,,,,119,23597.0,25797.0,20545.0
,,,,,,,,120,22903.0,25199.0,19377.0
,,,,,,,,121,17176.0,19196.0,10444.0
,,,,,,,,122,15584.0,17450.0,9645.0
,,,,,,,,123,14339.0,16106.0,9158.0
,,,,,,,,124,13523.0,15203.0,8867.0
,,,,,,,,125,12981.0,14168.0,8754.0
,,,,,,,,126,11243.0,11703.0,8749.0
,,,,,,,,127,9657.0,9696.0,9018.0
,,,,,,,,128,8900.0,8721.0,9815.0
,,,,,,,,129,9292.0,9077.0,11002.0
,,,,,,,,130,10292.0,10101.0,11241.0
,,,,,,,,131,11126.0,11162.0,11106.0
,,,,,,,,132,11560.0,11920.0,10947.0
,,,,,,,,133,12276.0,13064.0,10870.0
,,,,,,,,134,13426.0,14741.0,10754.0
,,,,,,,,135,14820.0,16690.0,10585.0
,,,,,,,,136,16173.0,18420.0,10449.0
,,,,,,,,137,16430.0,18644.0,10360.0
,,,,,,,,138,16370.0,18612.0,10397.0
,,,,,,,,139,16354.0,18589.0,10500.0
,,,,,,,,140,16344.0,18531.0,10824.0
,,,,,,,,141,16700.0,18905.0,11669.0
,,,,,,,,142,18248.0,20562.0,12362.0
,,,,,,,,143,18413.0,20666.0,12248.0
,,,,,,,,144,17945.0,20171.0,11920.0
,,,,,,,,145,16963.0,19080.0,11124.0
,,,,,,,,146,15537.0,17497.0,10362.0
,,,,,,,,147,14399.0,16258.0,9948.0
,,,,,,,,148,13706.0,15500.0,9843.0
,,,,,,,,149,13289.0,14566.0,9825.0
,,,,,,,,150,11935.0,11928.0,9917.0
,,,,,,,,151,10724.0,9953.0,10352.0
,,,,,,,,152,9978.0,8983.0,11344.0
,,,,,,,,153,9565.0,9263.0,12654.0
,,,,,,,,154,10381.0,10280.0,12754.0
,,,,,,,,155,11039.0,11141.0,12069.0
,,,,,,,,156,11434.0,11829.0,11561.0
,,,,,,,,157,12191.0,13022.0,11238.0
,,,,,,,,158,13407.0,14760.0,10952.0
,,,,,,,,159,14946.0,16910.0,10730.0
,,,,,,,,160,16350.0,18675.0,10592.0
,,,,,,,,161,16647.0,19025.0,10476.0
,,,,,,,,162,16682.0,19071.0,10443.0
,,,,,,,,163,16671.0,19034.0,10510.0
,,,,,,,,164,16528.0,18833.0,10764.0
,,,,,,,,165,16635.0,18906.0,11409.0
,,,,,,,,166,17915.0,20275.0,12054.0
,,,,,,,,167,18005.0,20297.0,11940.0
,,,,,,,,168,17476.0,19679.0,11538.0
,,,,,,,,169,16461.0,18536.0,10737.0
,,,,,,,,170,15052.0,16966.0,9962.0
,,,,,,,,171,13753.0,15562.0,9529.0
,,,,,,,,172,13227.0,14963.0,9327.0
,,,,,,,,173,12704.0,14322.0,9262.0
,,,,,,,,174,11092.0,13019.0,9330.0
,,,,,,,,175,9227.0,11276.0,9663.0
,,,,,,,,176,8228.0,9464.0,10503.0
,,,,,,,,177,8322.0,9041.0,11673.0
,,,,,,,,178,9198.0,10415.0,11820.0
,,,,,,,,179,9959.0,11240.0,11409.0
,,,,,,,,180,10607.0,12058.0,11094.0
,,,,,,,,181,11600.0,13259.0,10922.0
,,,,,,,,182,13051.0,15217.0,10766.0
,,,,,,,,183,14749.0,17079.0,10595.0
,,,,,,,,184,16489.0,19060.0,10523.0
,,,,,,,,185,17021.0,19508.0,10412.0
,,,,,,,,186,17095.0,19604.0,10419.0
,,,,,,,,187,17034.0,19529.0,10478.0
,,,,,,,,188,16799.0,19212.0,10625.0
,,,,,,,,189,16650.0,19029.0,11142.0
,,,,,,,,190,17628.0,20036.0,11667.0
,,,,,,,,191,17512.0,19857.0,11566.0
,,,,,,,,192,16935.0,19180.0,11211.0
,,,,,,,,193,16068.0,18166.0,10574.0
,,,,,,,,194,14855.0,16812.0,9933.0
,,,,,,,,195,13659.0,15497.0,9472.0
,,,,,,,,196,12941.0,14688.0,9240.0
,,,,,,,,197,12372.0,13545.0,9121.0
,,,,,,,,198,10306.0,10779.0,9138.0
,,,,,,,,199,8481.0,8613.0,9242.0
,,,,,,,,200,7378.0,7287.0,9613.0
,,,,,,,,201,6890.0,6698.0,10109.0
,,,,,,,,202,6747.0,6558.0,10400.0
,,,,,,,,203,7374.0,7348.0,10630.0
,,,,,,,,204,8458.0,8716.0,10674.0
,,,,,,,,205,9694.0,10398.0,10658.0
,,,,,,,,206,11126.0,12349.0,10535.0
,,,,,,,,207,12714.0,14546.0,10368.0
,,,,,,,,208,14295.0,16467.0,10187.0
,,,,,,,,209,14620.0,16716.0,10065.0
,,,,,,,,210,14607.0,16723.0,10034.0
,,,,,,,,211,14633.0,16775.0,10135.0
,,,,,,,,212,14629.0,16723.0,10362.0
,,,,,,,,213,14954.0,17086.0,10922.0
,,,,,,,,214,16312.0,18531.0,11451.0
,,,,,,,,215,16336.0,18470.0,11263.0
,,,,,,,,216,15862.0,17921.0,10852.0
,,,,,,,,217,15110.0,17089.0,10263.0
,,,,,,,,218,14064.0,15891.0,9697.0
,,,,,,,,219,13001.0,14762.0,9300.0
,,,,,,,,220,12399.0,14073.0,9060.0
,,,,,,,,221,11868.0,13138.0,8894.0
,,,,,,,,222,10219.0,10541.0,9006.0
,,,,,,,,223,8990.0,8960.0,9099.0
,,,,,,,,224,7360.0,7951.0,9434.0
,,,,,,,,225,6578.0,8189.0,9869.0
,,,,,,,,226,6459.0,8631.0,10121.0
,,,,,,,,227,6802.0,8851.0,10343.0
,,,,,,,,228,7619.0,9576.0,10443.0
,,,,,,,,229,8852.0,10959.0,10338.0
,,,,,,,,230,10427.0,12630.0,10239.0
,,,,,,,,231,12135.0,14294.0,10138.0
,,,,,,,,232,13744.0,15779.0,9981.0
,,,,,,,,233,14097.0,15955.0,9892.0
,,,,,,,,234,14064.0,15979.0,9941.0
,,,,,,,,235,14088.0,16031.0,10101.0
,,,,,,,,236,14065.0,15993.0,10395.0
,,,,,,,,237,14217.0,16108.0,10968.0
,,,,,,,,238,14822.0,16736.0,11570.0
,,,,,,,,239,16263.0,18280.0,11386.0
,,,,,,,,240,16415.0,18396.0,10926.0
,,,,,,,,241,16857.0,18822.0,10669.0
,,,,,,,,242,15482.0,17294.0,9820.0
,,,,,,,,243,14239.0,15888.0,9339.0
,,,,,,,,244,13452.0,15075.0,9058.0
,,,,,,,,245,12888.0,14325.0,8863.0
,,,,,,,,246,11881.0,12215.0,8857.0
,,,,,,,,247,10120.0,9975.0,9079.0
,,,,,,,,248,9098.0,8784.0,9625.0
,,,,,,,,249,9147.0,8813.0,10529.0
,,,,,,,,250,10368.0,10176.0,10611.0
,,,,,,,,251,11358.0,11334.0,10603.0
,,,,,,,,252,11929.0,12180.0,10753.0
,,,,,,,,253,12978.0,13617.0,10937.0
,,,,,,,,254,14292.0,15440.0,11091.0
,,,,,,,,255,15837.0,17218.0,11344.0
,,,,,,,,256,17182.0,19402.0,11667.0
,,,,,,,,257,17363.0,19644.0,11968.0
,,,,,,,,258,17433.0,19780.0,12238.0
,,,,,,,,259,17396.0,19790.0,12381.0
,,,,,,,,260,17205.0,19512.0,12441.0
,,,,,,,,261,17084.0,19266.0,12602.0
,,,,,,,,262,17968.0,20155.0,12181.0
,,,,,,,,263,17866.0,20025.0,11796.0
,,,,,,,,264,17336.0,19392.0,11270.0
,,,,,,,,265,16588.0,18535.0,10576.0
,,,,,,,,266,15536.0,17376.0,9852.0
,,,,,,,,267,14398.0,16123.0,9365.0
,,,,,,,,268,13682.0,15300.0,9024.0
,,,,,,,,269,13287.0,14800.0,8813.0
,,,,,,,,270,12044.0,12461.0,8709.0
,,,,,,,,271,10448.0,10436.0,8728.0
,,,,,,,,272,9336.0,9151.0,8957.0
,,,,,,,,273,8587.0,8284.0,9295.0
,,,,,,,,274,8570.0,8260.0,9438.0
,,,,,,,,275,8674.0,8410.0,9818.0
,,,,,,,,276,9531.0,9564.0,10187.0
,,,,,,,,277,10771.0,11168.0,10480.0
,,,,,,,,278,12400.0,13306.0,10728.0
,,,,,,,,279,14149.0,15308.0,10952.0
,,,,,,,,280,15101.0,17524.0,11272.0
,,,,,,,,281,15581.0,17700.0,11622.0
,,,,,,,,282,15712.0,17892.0,11929.0
,,,,,,,,283,15806.0,18051.0,12084.0
,,,,,,,,284,15880.0,18055.0,12209.0
,,,,,,,,285,16035.0,18103.0,12415.0
,,,,,,,,286,17158.0,19294.0,11989.0
,,,,,,,,287,17155.0,19213.0,11548.0
,,,,,,,,288,16647.0,18623.0,11005.0
,,,,,,,,289,15907.0,17818.0,10410.0
,,,,,,,,290,14882.0,16666.0,9698.0
,,,,,,,,291,13970.0,15670.0,9262.0
,,,,,,,,292,14183.0,14840.0,8959.0
,,,,,,,,293,12511.0,13993.0,8749.0
,,,,,,,,294,11659.0,11894.0,8615.0
,,,,,,,,295,10041.0,9802.0,8601.0
,,,,,,,,296,8837.0,8420.0,8712.0
,,,,,,,,297,8308.0,7881.0,8924.0
,,,,,,,,298,8018.0,7897.0,9021.0
,,,,,,,,299,8433.0,8896.0,9443.0
,,,,,,,,300,9401.0,9789.0,9888.0
,,,,,,,,301,10720.0,11059.0,10258.0
,,,,,,,,302,12329.0,13165.0,10608.0
,,,,,,,,303,14203.0,15336.0,11011.0
,,,,,,,,304,15405.0,17489.0,11457.0
,,,,,,,,305,15724.0,17906.0,11916.0
,,,,,,,,306,16046.0,18341.0,12303.0
,,,,,,,,307,16328.0,18671.0,12524.0
,,,,,,,,308,16592.0,18875.0,12679.0
,,,,,,,,309,17820.0,20050.0,12944.0
,,,,,,,,310,17975.0,20162.0,12501.0
,,,,,,,,311,17464.0,19549.0,12007.0
,,,,,,,,312,16710.0,18706.0,11383.0
,,,,,,,,313,15572.0,17458.0,10482.0
,,,,,,,,314,14287.0,16041.0,9656.0
,,,,,,,,315,13310.0,14972.0,9147.0
,,,,,,,,316,12904.0,14486.0,8852.0
,,,,,,,,317,12574.0,14061.0,8673.0
,,,,,,,,318,12354.0,12368.0,8642.0
,,,,,,,,319,11870.0,10407.0,8871.0
,,,,,,,,320,11434.0,9392.0,9534.0
,,,,,,,,321,10757.0,9173.0,10421.0
,,,,,,,,322,10684.0,9979.0,10590.0
,,,,,,,,323,11892.0,11151.0,10560.0
,,,,,,,,324,13859.0,12652.0,10767.0
,,,,,,,,325,15728.0,14941.0,11075.0
,,,,,,,,326,16619.0,17564.0,11402.0
,,,,,,,,327,17864.0,19877.0,11750.0
,,,,,,,,328,18635.0,21391.0,12191.0
,,,,,,,,329,19034.0,21882.0,12590.0
,,,,,,,,330,19201.0,22117.0,12954.0
,,,,,,,,331,19124.0,21961.0,13076.0
,,,,,,,,332,19078.0,21823.0,13165.0
,,,,,,,,333,19892.0,22518.0,13384.0
,,,,,,,,334,19668.0,22153.0,12932.0
,,,,,,,,335,18907.0,21255.0,12364.0
,,,,,,,,336,17938.0,20138.0,11653.0
,,,,,,,,337,16603.0,18633.0,10700.0
,,,,,,,,338,15280.0,17149.0,9800.0
,,,,,,,,339,14012.0,15744.0,9301.0
,,,,,,,,340,13058.0,14680.0,8992.0
,,,,,,,,341,12630.0,14154.0,8794.0
,,,,,,,,342,11964.0,12351.0,8767.0
,,,,,,,,343,11000.0,10042.0,8972.0
,,,,,,,,344,10713.0,8484.0,9593.0
,,,,,,,,345,11351.0,8561.0,10460.0
,,,,,,,,346,12225.0,9443.0,10526.0
,,,,,,,,347,13046.0,10589.0,10459.0
,,,,,,,,348,13991.0,11906.0,10645.0
,,,,,,,,349,15209.0,13774.0,10918.0
,,,,,,,,350,16540.0,16211.0,11203.0
,,,,,,,,351,17557.0,18681.0,11570.0
,,,,,,,,352,18220.0,20821.0,12034.0
,,,,,,,,353,18550.0,21239.0,12496.0
,,,,,,,,354,18707.0,21442.0,12861.0
,,,,,,,,355,18645.0,21286.0,13050.0
,,,,,,,,356,18634.0,21203.0,13140.0
,,,,,,,,357,19535.0,22080.0,13343.0
,,,,,,,,358,19340.0,21749.0,12912.0
,,,,,,,,359,18661.0,20941.0,12391.0
,,,,,,,,360,17755.0,19921.0,11658.0
,,,,,,,,361,22946.0,25696.0,18078.0
,,,,,,,,362,20743.0,23397.0,16523.0
,,,,,,,,363,18721.0,21270.0,15423.0
,,,,,,,,364,17208.0,19547.0,14558.0
,,,,,,,,365,15513.0,17351.0,13944.0
,,,,,,,,366,13573.0,14849.0,12752.0
,,,,,,,,367,12015.0,12901.0,13630.0
,,,,,,,,368,11234.0,11883.0,13897.0
,,,,,,,,369,11405.0,11872.0,14374.0
,,,,,,,,370,11857.0,12368.0,15247.0
,,,,,,,,371,12752.0,13501.0,16326.0
,,,,,,,,372,14435.0,15593.0,17598.0
,,,,,,,,373,16560.0,18315.0,18878.0
,,,,,,,,374,19012.0,21354.0,19995.0
,,,,,,,,375,21458.0,24303.0,20812.0
,,,,,,,,376,23934.0,27263.0,21703.0
,,,,,,,,377,26096.0,29462.0,22456.0
,,,,,,,,378,27241.0,30434.0,22917.0
,,,,,,,,379,27856.0,30890.0,23074.0
,,,,,,,,380,28038.0,30801.0,22793.0
,,,,,,,,381,27628.0,30179.0,22030.0
,,,,,,,,382,26829.0,29296.0,21323.0
,,,,,,,,383,25729.0,28190.0,20677.0
,,,,,,,,384,25164.0,27751.0,19341.0
,,,,,,,,385,23697.0,26259.0,17684.0
,,,,,,,,386,21382.0,23859.0,16219.0
,,,,,,,,387,19250.0,21601.0,15118.0
,,,,,,,,388,17704.0,19949.0,14288.0
,,,,,,,,389,15986.0,17792.0,13626.0
,,,,,,,,390,14012.0,15332.0,13230.0
,,,,,,,,391,12446.0,13380.0,13186.0
,,,,,,,,392,11627.0,12248.0,13439.0
,,,,,,,,393,11641.0,12015.0,13889.0
,,,,,,,,394,12025.0,12443.0,14910.0
,,,,,,,,395,13122.0,13813.0,15980.0
,,,,,,,,396,15095.0,16180.0,17200.0
,,,,,,,,397,17148.0,18829.0,18444.0
,,,,,,,,398,19644.0,21884.0,19571.0
,,,,,,,,399,22075.0,24808.0,20480.0
,,,,,,,,400,24352.0,27556.0,21388.0
,,,,,,,,401,26341.0,29608.0,22152.0
,,,,,,,,402,27413.0,30551.0,22663.0
,,,,,,,,403,28055.0,31148.0,22849.0
,,,,,,,,404,28143.0,31103.0,22507.0
,,,,,,,,405,27621.0,30387.0,21625.0
,,,,,,,,406,26773.0,29476.0,20824.0
,,,,,,,,407,25599.0,28254.0,20000.0
,,,,,,,,408,25032.0,27710.0,18672.0
,,,,,,,,409,23470.0,26059.0,17202.0
,,,,,,,,410,21368.0,23886.0,15890.0
,,,,,,,,411,19386.0,21763.0,14743.0
,,,,,,,,412,17655.0,19872.0,13944.0
,,,,,,,,413,15929.0,17722.0,13332.0
,,,,,,,,414,14066.0,15376.0,12936.0
,,,,,,,,415,12351.0,13304.0,12752.0
,,,,,,,,416,11214.0,11960.0,12744.0
,,,,,,,,417,10990.0,11200.0,12757.0
,,,,,,,,418,10761.0,11028.0,13796.0
,,,,,,,,419,11366.0,11874.0,15198.0
,,,,,,,,420,12778.0,13733.0,16782.0
,,,,,,,,421,14803.0,16287.0,18309.0
,,,,,,,,422,17360.0,19373.0,19476.0
,,,,,,,,423,19900.0,22435.0,20288.0
,,,,,,,,424,22450.0,25488.0,20983.0
,,,,,,,,425,24447.0,27515.0,21286.0
,,,,,,,,426,25683.0,28563.0,21498.0
,,,,,,,,427,26291.0,29103.0,21630.0
,,,,,,,,428,26322.0,28947.0,21171.0
,,,,,,,,429,25865.0,28239.0,20178.0
,,,,,,,,430,25206.0,27449.0,19601.0
,,,,,,,,431,24320.0,26517.0,18921.0
,,,,,,,,432,23892.0,26167.0,17817.0
,,,,,,,,433,22639.0,24899.0,16494.0
,,,,,,,,434,20806.0,23048.0,15284.0
,,,,,,,,435,19037.0,21260.0,14257.0
,,,,,,,,436,17704.0,19828.0,13539.0
,,,,,,,,437,15917.0,17565.0,13094.0
,,,,,,,,438,14031.0,15142.0,12737.0
,,,,,,,,439,12428.0,13094.0,12431.0
,,,,,,,,440,11426.0,11667.0,12252.0
,,,,,,,,441,10956.0,10868.0,12053.0
,,,,,,,,442,10618.0,10297.0,12763.0
,,,,,,,,443,11308.0,10978.0,14126.0
,,,,,,,,444,12986.0,12932.0,15750.0
,,,,,,,,445,14631.0,15470.0,17451.0
,,,,,,,,446,16553.0,18457.0,18939.0
,,,,,,,,447,19056.0,21532.0,20219.0
,,,,,,,,448,21643.0,24528.0,21342.0
,,,,,,,,449,23599.0,26638.0,22148.0
,,,,,,,,450,24793.0,27780.0,22571.0
,,,,,,,,451,25543.0,28430.0,22727.0
,,,,,,,,452,25778.0,28522.0,22552.0
,,,,,,,,453,25616.0,28224.0,21727.0
,,,,,,,,454,25031.0,27582.0,20990.0
,,,,,,,,455,24129.0,26670.0,20176.0
,,,,,,,,456,23845.0,26355.0,18820.0
,,,,,,,,457,22679.0,25109.0,17174.0
,,,,,,,,458,20740.0,23106.0,15702.0
,,,,,,,,459,18730.0,21023.0,14649.0
,,,,,,,,460,17245.0,19407.0,13882.0
,,,,,,,,461,15768.0,17571.0,13306.0
,,,,,,,,462,13796.0,15233.0,12989.0
,,,,,,,,463,12227.0,13289.0,12955.0
,,,,,,,,464,11397.0,12185.0,13274.0
,,,,,,,,465,11459.0,12062.0,13733.0
,,,,,,,,466,12248.0,12866.0,14582.0
,,,,,,,,467,13654.0,14550.0,15636.0
,,,,,,,,468,15468.0,16842.0,17028.0
,,,,,,,,469,17516.0,19454.0,18489.0
,,,,,,,,470,20082.0,22589.0,19760.0
,,,,,,,,471,22650.0,25616.0,20787.0
,,,,,,,,472,25097.0,28446.0,21592.0
,,,,,,,,473,27171.0,30511.0,22184.0
,,,,,,,,474,28269.0,31408.0,22650.0
,,,,,,,,475,28718.0,31681.0,22865.0
,,,,,,,,476,28951.0,31718.0,22598.0
,,,,,,,,477,28597.0,31136.0,21905.0
,,,,,,,,478,27745.0,30192.0,21447.0
,,,,,,,,479,26617.0,29029.0,20811.0
,,,,,,,,480,26069.0,28525.0,19568.0
