region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NE,natural_gas_combined_cycle,1,1,1,7.079073986009947e8,0.0,1.1134928760563354e8,0.0,3.777169145507812e7,1.0353835502481224e21,0.0,0.0,0.0,1.897157e7,0.0,0.0,0.0,1.7989192178081695e7,0.0,1.897157e7,1.0353835502482896e21,-1.0353835502482706e21
NE,solar_pv,1,1,2,1.0036135517665889e13,0.0,2.207243872349497e12,0.0,0.0,0.0,0.0,0.0,0.0,1.2243379e10,0.0,0.0,0.0,0.0,0.0,1.22433792e10,2.207243872349497e12,-2.195000493149497e12
NE,onshore_wind,1,1,3,5.937675526816582e11,0.0,2.6392723367912592e11,0.0,3.18112475e8,0.0,0.0,0.0,0.0,8.5904416e8,0.0,0.0,0.0,0.0,0.0,8.5904416e8,2.6424534615412592e11,-2.6338630199412592e11
NE,battery,1,0,4,9.689196057616765e11,7.936729156456256e12,2.421804263788504e11,1.9836530327019238e12,1.5594675e9,0.0,1.8424709949180337e6,0.0,7.076211e9,1.8222158e10,0.0,0.0,0.0,0.0,0.0,1.8222157824e10,2.2344709802517695e12,-2.2162488224277695e12
