,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2531152903577796e8,4.4205346357121706e7,-5.2227488607185364e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.172893867857143e8
t1,5440.097761500951,5899.508406988244,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11339.606168489196
t2,5366.78351024264,5357.180180365846,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10723.963690608487
t3,5523.830965628353,4741.956557448455,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10265.787523076808
t4,5473.305513041963,4561.870058749495,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10035.175571791458
t5,4630.9433198539,5368.675343149069,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9999.61866300297
t6,3859.2322937980525,6317.155001467693,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10176.387295265746
t7,3408.7086402996174,7146.613711483463,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10555.322351783081
t8,3714.5808967313083,7183.103691100942,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10897.684587832253
t9,20936.232331379757,0.0,-9458.462174455286,0.0,-0.0,0.0,0.0,0.0,0.0,-11477.77015692447
t10,50479.8856547784,0.0,-38432.18904555843,0.0,-0.0,0.0,0.0,0.0,0.0,-12047.696609219976
t11,61865.120413982215,0.0,-49475.06156871306,0.0,-0.0,0.0,0.0,0.0,0.0,-12390.058845269148
t12,61992.10937394111,0.0,-49475.06156871306,0.0,-0.0,0.0,0.0,0.0,0.0,-12517.04780522804
t13,12578.002506008308,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12578.002506008308
t14,30743.9712477631,0.0,-18278.734938198286,0.0,-0.0,0.0,0.0,0.0,0.0,-12465.236309564812
t15,12342.310996324604,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12342.310996324604
t16,12413.424813901584,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12413.424813901584
t17,8425.669445152324,5197.706179237582,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13623.375624389904
t18,3468.8476416091785,11301.492269129436,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14770.339910738616
t19,5784.06665113643,8899.920766830139,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14683.987417966568
t20,5645.822097593915,8589.132357958011,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14234.954455551928
t21,5829.035086954004,7879.677118528277,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13708.712205482281
t22,5681.321181016312,7293.902791743409,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12975.22397275972
t23,5194.599722630015,6871.383296824041,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12065.983019454057
t24,4070.8522652090105,6976.171339534898,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11047.02360474391
t25,3227.114113457123,6957.400475245992,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10184.514588703116
t26,3964.751538044827,5697.584447307325,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9662.335985352152
t27,3892.0504495241744,5519.3553509492085,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9411.405800473383
t28,5593.577687942514,3760.9370584692856,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9354.5147464118
t29,5244.376209531589,4315.352696173781,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9559.72890570537
t30,5043.345587616413,5038.5619214399185,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10081.907509056333
t31,3588.6046070921025,7277.586718670344,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10866.191325762447
t32,2973.7069136315968,8535.55650536268,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11509.263418994276
t33,18830.17341266675,0.0,-6532.562530247674,0.0,-0.0,0.0,0.0,0.0,0.0,-12297.610882419076
t34,40220.20198372957,0.0,-27115.957227651616,0.0,-0.0,0.0,0.0,0.0,0.0,-13104.244756077953
t35,58268.77394633153,0.0,-44572.25268100531,0.0,-0.0,0.0,0.0,0.0,0.0,-13696.521265326226
t36,63414.38572548069,0.0,-49475.06156871306,0.0,-0.0,0.0,0.0,0.0,0.0,-13939.324156767627
t37,63392.035668527926,0.0,-49475.06156871306,0.0,-0.0,0.0,0.0,0.0,0.0,-13916.974099814863
t38,13827.573872003804,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13827.573872003804
t39,13783.889669777944,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13783.889669777944
t40,13993.167475790196,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13993.167475790196
t41,15305.725365925304,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15305.725365925304
t42,4875.564592515641,11758.973250419504,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16634.537842935144
t43,4434.730584061405,12053.515977001098,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16488.246561062504
t44,3324.8399875307996,12765.169195100614,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16090.009182631416
t45,5046.631302995667,10392.17849296655,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15438.80979596222
t46,5631.672861162298,8783.097961691417,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14414.770822853718
t47,5047.187654640323,8098.709480304148,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13145.897134944471
t48,4898.671252307277,7097.213861249469,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11995.885113556747
t49,5128.283626743306,6104.651815380421,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11232.935442123728
t50,4028.2851243357404,6823.683437911311,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10851.968562247052
t51,2969.741774232338,7699.36268567391,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10669.10445990625
t52,3645.781221446235,7045.673295412775,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10691.45451685901
t53,3803.7229261968605,7270.730293898168,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11074.45322009503
t54,4270.769078156615,7941.505223170086,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12212.2743013267
t55,3458.7447355700574,10767.06651486483,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14225.811250434886
t56,2222.4243502688064,13131.048864601038,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15353.473214869846
t57,25266.007091638898,0.0,-9721.542480990878,0.0,-0.0,0.0,0.0,0.0,0.0,-15544.46461064802
t58,51303.484114610306,0.0,-35652.348777596824,0.0,-0.0,0.0,0.0,0.0,0.0,-15651.13533701349
t59,15791.331148808105,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15791.331148808105
t60,15817.744852479555,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15817.744852479555
t61,65228.803985373335,0.0,-49475.06156871306,0.0,-0.0,0.0,0.0,0.0,0.0,-15753.742416660272
t62,65206.453928420575,0.0,-49475.06156871306,0.0,-0.0,0.0,0.0,0.0,0.0,-15731.392359707506
t63,15671.453570606911,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15671.453570606911
t64,44491.14828257214,0.0,-28603.305524195286,0.0,-0.0,0.0,0.0,0.0,0.0,-15887.84275837686
