Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
9000,1,1,1,9000,2,168,8568,1,13157,18463,8905,18713,16259,10542
,2,0.067,0.075,603,,,168,2,12638,17736,8658,18089,15724,10363
,,,,,,,,3,12170,17079,8475,17510,15402,10285
,,,,,,,,4,11825,16572,8423,17166,15320,10216
,,,,,,,,5,11197,15624,8502,16955,15422,10209
,,,,,,,,6,10041,14242,8558,16415,15644,9907
,,,,,,,,7,8908,12907,8812,16842,16118,9725
,,,,,,,,8,8305,12234,9346,18134,17187,10108
,,,,,,,,9,8447,12335,9901,19612,18374,10431
,,,,,,,,10,8975,13317,10384,21261,19178,10976
,,,,,,,,11,9728,14617,10863,22746,19695,11451
,,,,,,,,12,10612,15530,11193,23959,20010,11922
,,,,,,,,13,11630,17274,11586,25019,20255,12509
,,,,,,,,14,12749,18984,11944,26259,20456,13100
,,,,,,,,15,14323,21047,12239,27086,20658,13635
,,,,,,,,16,15917,22915,12424,27675,20928,14109
,,,,,,,,17,17011,23923,12419,27769,21125,14465
,,,,,,,,18,17155,24075,12229,26933,21167,14400
,,,,,,,,19,16951,23787,12032,26509,21140,14256
,,,,,,,,20,16866,23669,11754,25532,21236,14208
,,,,,,,,21,17203,24142,11324,24135,20937,13664
,,,,,,,,22,16387,22997,10467,22215,19677,12782
,,,,,,,,23,14983,21026,9722,20542,18133,12132
,,,,,,,,24,13722,19257,9188,19265,16909,11680
,,,,,,,,25,12883,18080,8713,18361,15184,11334
,,,,,,,,26,12443,17462,8513,17815,14799,11057
,,,,,,,,27,12097,16976,8418,17560,14631,10902
,,,,,,,,28,11965,16776,8560,17778,14852,11043
,,,,,,,,29,12068,16470,9071,18476,15757,11423
,,,,,,,,30,12467,16204,9643,18727,17118,11651
,,,,,,,,31,12675,16235,10180,19169,18570,11711
,,,,,,,,32,11815,16353,10743,20174,19842,12002
,,,,,,,,33,11813,16700,11313,21476,20868,12451
,,,,,,,,34,12809,18035,11867,22948,21689,13071
,,,,,,,,35,14719,19636,12321,24251,22248,13572
,,,,,,,,36,16082,20929,12763,25568,22784,14101
,,,,,,,,37,17339,22879,13163,26987,23224,14601
,,,,,,,,38,18440,24819,13480,28211,23521,14708
,,,,,,,,39,19612,27026,13643,29319,23612,15065
,,,,,,,,40,20495,28746,13766,30003,23731,15295
,,,,,,,,41,21111,29633,13694,30008,23723,15270
,,,,,,,,42,21006,29479,13451,29011,23505,14992
,,,,,,,,43,20384,28605,13244,28579,23085,14898
,,,,,,,,44,19847,27852,12908,27497,22964,14890
,,,,,,,,45,19759,27729,12114,25755,22405,14227
,,,,,,,,46,18576,26068,11144,23627,20899,13276
,,,,,,,,47,16854,23652,10302,21705,19099,12548
,,,,,,,,48,15293,21461,9654,20462,17603,12064
,,,,,,,,49,14149,19856,9218,19395,16726,11633
,,,,,,,,50,13365,18756,8959,18707,16165,11301
,,,,,,,,51,12879,18073,8842,18360,15864,11127
,,,,,,,,52,12652,17748,8977,18476,16037,11219
,,,,,,,,53,12388,17528,9401,19115,16779,11604
,,,,,,,,54,12061,17482,9914,19371,17987,11798
,,,,,,,,55,11909,17490,10183,19764,19258,11704
,,,,,,,,56,11940,17635,10904,20598,20437,12005
,,,,,,,,57,12486,17847,11436,21826,21264,12465
,,,,,,,,58,13280,19468,11932,23352,21828,13139
,,,,,,,,59,14313,21248,12378,24681,22324,13682
,,,,,,,,60,15542,22222,12846,25778,22777,14365
,,,,,,,,61,16841,24660,13204,26936,23119,14874
,,,,,,,,62,18461,26927,13561,28150,23265,15385
,,,,,,,,63,20241,29187,13744,29269,23277,15725
,,,,,,,,64,21831,31048,13831,30039,23062,15911
,,,,,,,,65,22730,31923,13757,30203,23036,15870
,,,,,,,,66,22398,31433,13527,29210,22586,15513
,,,,,,,,67,21624,30347,13236,28743,22121,15344
,,,,,,,,68,21143,29672,12941,27703,22020,15248
,,,,,,,,69,21149,29680,12203,25984,21553,14535
,,,,,,,,70,19932,27972,11206,23834,20178,13584
,,,,,,,,71,18020,25288,10403,21981,18547,12790
,,,,,,,,72,16193,22725,9785,20544,17130,12386
,,,,,,,,73,15119,21217,9362,19560,16374,11952
,,,,,,,,74,14439,20264,9090,18822,15848,11642
,,,,,,,,75,13905,19513,8996,18431,15735,11427
,,,,,,,,76,13615,19099,9118,18554,15924,11497
,,,,,,,,77,13181,18651,9542,19196,16683,11924
,,,,,,,,78,12552,18383,10049,19357,18014,12195
,,,,,,,,79,12287,18489,10479,19755,19360,12145
,,,,,,,,80,12463,19058,11078,20419,20460,12390
,,,,,,,,81,12931,18935,11526,21535,21085,12779
,,,,,,,,82,13727,20732,11958,23030,21535,13424
,,,,,,,,83,14864,22810,12364,24344,22152,13980
,,,,,,,,84,16114,24225,12636,25535,22317,14457
,,,,,,,,85,17484,26553,12960,26909,22721,14888
,,,,,,,,86,19153,28709,13135,28128,22737,15277
,,,,,,,,87,21013,30791,13196,29025,22764,15615
,,,,,,,,88,22806,32607,13229,29626,22796,15996
,,,,,,,,89,23725,33320,13126,29575,22666,16025
,,,,,,,,90,23360,32782,12795,28445,22377,15679
,,,,,,,,91,22528,31614,12542,28020,22111,15499
,,,,,,,,92,21910,30747,12349,27084,22258,15366
,,,,,,,,93,21700,30453,11811,25435,21983,14672
,,,,,,,,94,20284,28465,10904,23581,20478,13631
,,,,,,,,95,18316,25703,10114,21913,18756,12882
,,,,,,,,96,16468,23111,9585,20677,17513,12301
,,,,,,,,97,15338,21526,9222,19683,16603,11941
,,,,,,,,98,14528,20387,8984,18971,16088,11580
,,,,,,,,99,14048,19714,8896,18570,15827,11379
,,,,,,,,100,13728,19257,9020,18679,16010,11414
,,,,,,,,101,13331,18766,9535,19281,16818,11840
,,,,,,,,102,12860,18348,10089,19481,18107,12123
,,,,,,,,103,12621,18423,10447,19924,19419,12116
,,,,,,,,104,12609,18804,10778,20643,20397,12452
,,,,,,,,105,13031,18960,11232,21692,21084,12756
,,,,,,,,106,13930,21086,11600,22930,21663,13260
,,,,,,,,107,15047,23289,11950,24050,21984,13784
,,,,,,,,108,16240,23988,12278,25140,22334,14274
,,,,,,,,109,17590,26653,12583,26315,22591,14760
,,,,,,,,110,19219,28884,12818,27501,22723,15198
,,,,,,,,111,20719,30452,12897,28165,22848,15359
,,,,,,,,112,21996,31408,12870,28348,22890,15299
,,,,,,,,113,22373,31414,12691,27920,22875,14978
,,,,,,,,114,21824,30627,12416,26989,22539,14570
,,,,,,,,115,21075,29577,12235,26739,22236,14432
,,,,,,,,116,20730,29092,12070,26129,22287,14365
,,,,,,,,117,20664,29000,11548,24820,21958,13764
,,,,,,,,118,19440,27281,10781,23001,20613,12783
,,,,,,,,119,17558,24640,10033,21252,18875,12143
,,,,,,,,120,15868,22268,9453,20085,17418,11688
,,,,,,,,121,14627,20527,9082,19107,16309,11327
,,,,,,,,122,14036,19699,8852,18513,15759,11052
,,,,,,,,123,13511,18960,8770,18248,15524,10896
,,,,,,,,124,13223,18550,8879,18372,15605,10892
,,,,,,,,125,12815,18049,9310,18969,16360,11257
