region,Resource,cluster,Zone,CapRes,THERM,MUST_RUN,STOR,VRE,Num_VRE_Bins,FLEX,HYDRO,ESR,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Min_Charge_Cap_MW,Max_Charge_Cap_MW,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Externality_cost_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Ratio_Power_to_Energy,Min_Duration,Max_Duration,Max_DSM_Delay,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Hydro_Energy_to_Power_Ratio,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,spur_miles,spur_line_capex,interconnect_annuity,regional_cost_multiplier,lcoe,ids,waccnomtech,cap_recovery_years,Hydro_level,Existing_Charge_Cap_MW,unit_id_pudl,CF,plant_id_eia,fixed_o_m_mw_std
CA_N,CA_N_biomass_1,1,1,0.9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,69.498,0,78,198.822,-1,0.89,0,0,0,-1,0,-1,0,0,122976,0,0,0,0,0,5.93,0,0,0,0,16.88,1.443,3.837,None,0.396,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1.0, '10748.0_U1C06', '10748.0_U2J02', '10748.0_U3J16', '10748.0_U4J16', '50112.0_GEN3', '50571.0_GEN3', '50571.0_GEN4', '54517.0_GEN3', '54567.0_1', '54567.0_2', '54567.0_4', '54567.0_5', '55752.0_P-11', '55752.0_P-12', '55752.0_P-13', '55752.0_P-14', '55753.0_P-21', '55753.0_P-22', '55753.0_P-23', '55753.0_P-24', '55766.0_361A', '55766.0_361B', '55766.0_361C', '56428.0_Unit1', '56428.0_Unit2', '56428.0_Unit3', 1.0, 1.0, '56895.0_1', '56895.0_2', '56895.0_3', '56895.0_4', '56895.0_5', '56895.0_6', '56897.0_1', '56897.0_2', '57100.0_EN01', '57101.0_1', '57133.0_359', '57133.0_361', '57557.0_S-14', '57557.0_S-15', '57696.0_1', '57771.0_1', '57876.0_UNT1', '57971.0_COGEN', '57988.0_GEN 5', '57988.0_GEN 6', '57988.0_GEN1', '57988.0_GEN2', '57988.0_GEN3', '57988.0_GEN4', '58320.0_362', '58379.0_W3998', '58397.0_ENG1', '58435.0_ENG1', '58435.0_ENG2', '58436.0_ENG1', '58436.0_ENG2', '58437.0_ENG1', '58437.0_ENG2', '58525.0_COGEN', '58978.0_CVAP', '59299.0_RED1', '59299.0_RED2', '59557.0_AC2FC', 1.0, '59952.0_1', '59952.0_2', '59952.0_3', '59952.0_4', '59952.0_5', '60192.0_NFCP1', '60220.0_ZWED1', '60220.0_ZWED2', '60249.0_CGN', '60918.0_00003']",0,"[10144.0, 10748.0, 10748.0, 10748.0, 10748.0, 50112.0, 50571.0, 50571.0, 54517.0, 54567.0, 54567.0, 54567.0, 54567.0, 55752.0, 55752.0, 55752.0, 55752.0, 55753.0, 55753.0, 55753.0, 55753.0, 55766.0, 55766.0, 55766.0, 56428.0, 56428.0, 56428.0, 56706.0, 56707.0, 56895.0, 56895.0, 56895.0, 56895.0, 56895.0, 56895.0, 56897.0, 56897.0, 57100.0, 57101.0, 57133.0, 57133.0, 57557.0, 57557.0, 57696.0, 57771.0, 57876.0, 57971.0, 57988.0, 57988.0, 57988.0, 57988.0, 57988.0, 57988.0, 58320.0, 58379.0, 58397.0, 58435.0, 58435.0, 58436.0, 58436.0, 58437.0, 58437.0, 58525.0, 58978.0, 59299.0, 59299.0, 59557.0, 59658.0, 59952.0, 59952.0, 59952.0, 59952.0, 59952.0, 60192.0, 60220.0, 60220.0, 60249.0, 60918.0]",0
CA_N,CA_N_conventional_hydroelectric_1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7274.007,0,117,7274.007,-1,62.17,0,0,0,-1,0,-1,0,0,44560,0,0,0,0,0,0,0,0,0,0,9.12,0,0.009,None,0.06,0,1,1,1,0,0,0,0.083,0.083,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,"['217.0_1', '218.0_2', '218.0_3', '219.0_1', '220.0_H1', '220.0_H2', '221.0_1', '222.0_1', '222.0_2', '222.0_3', '223.0_4', '223.0_5', '231.0_1', '231.0_2', '235.0_1', '235.0_2', '235.0_3', '235.0_4', '236.0_5', '239.0_1', '239.0_2', '239.0_3', '240.0_H1', '240.0_H2', '249.0_1', '249.0_2', '254.0_H1', '265.0_H1', '265.0_H2', '266.0_H1', '266.0_H2', '266.0_H3', '267.0_1', '267.0_2', '268.0_H1', '268.0_H2', '268.0_H3', '268.0_H4', '269.0_H1', '269.0_H2', '270.0_H1', '270.0_H2', '272.0_1', '272.0_2', '275.0_H1', '275.0_H2', '279.0_1', '279.0_2', '285.0_HC1', '287.0_H1', '287.0_H2', '380.0_1', '380.0_2', '381.0_1', '381.0_2', '382.0_1', '382.0_2', '382.0_3', '409.0_1', '412.0_2P', '415.0_H1', '417.0_1', '419.0_1', '425.0_1', '425.0_2', '427.0_1', '430.0_H1', '430.0_H2', '431.0_H1', '431.0_H2', '432.0_H1', '435.0_H1', '435.0_H2', '435.0_H3', '435.0_H4', '437.0_1', '437.0_3', '437.0_5', '439.0_1', '439.0_2', '439.0_3', '439.0_4', '441.0_1', '441.0_2', '441.0_3', '442.0_1', '442.0_2', '443.0_1', '443.0_2', '443.0_3', '445.0_1', '445.0_2', '445.0_3', '445.0_4', '445.0_5', '445.0_S1', '445.0_S2', '450.0_1', '450.0_2', '451.0_1', '451.0_2', '454.0_1', '454.0_2', '455.0_1', '682.0_1', '6158.0_1', '6158.0_2', '6612.0_1', '7907.0_1', '7907.0_2', '7907.0_3', '50393.0_FR1', '50393.0_M1', '50393.0_RO1', '50393.0_RO2', '54555.0_GEN1', '54555.0_GEN2']",0,"[217.0, 218.0, 218.0, 219.0, 220.0, 220.0, 221.0, 222.0, 222.0, 222.0, 223.0, 223.0, 231.0, 231.0, 235.0, 235.0, 235.0, 235.0, 236.0, 239.0, 239.0, 239.0, 240.0, 240.0, 249.0, 249.0, 254.0, 265.0, 265.0, 266.0, 266.0, 266.0, 267.0, 267.0, 268.0, 268.0, 268.0, 268.0, 269.0, 269.0, 270.0, 270.0, 272.0, 272.0, 275.0, 275.0, 279.0, 279.0, 285.0, 287.0, 287.0, 380.0, 380.0, 381.0, 381.0, 382.0, 382.0, 382.0, 409.0, 412.0, 415.0, 417.0, 419.0, 425.0, 425.0, 427.0, 430.0, 430.0, 431.0, 431.0, 432.0, 435.0, 435.0, 435.0, 435.0, 437.0, 437.0, 437.0, 439.0, 439.0, 439.0, 439.0, 441.0, 441.0, 441.0, 442.0, 442.0, 443.0, 443.0, 443.0, 445.0, 445.0, 445.0, 445.0, 445.0, 445.0, 445.0, 450.0, 450.0, 451.0, 451.0, 454.0, 454.0, 455.0, 682.0, 6158.0, 6158.0, 6612.0, 7907.0, 7907.0, 7907.0, 50393.0, 50393.0, 50393.0, 50393.0, 54555.0, 54555.0]",0
CA_N,CA_N_geothermal_1,1,1,0.9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,642.85,0,23,880.394,-1,27.95,0,0,0,-1,0,-1,0,0,198040,0,0,0,0,0,0,0,0,0,0,9.12,0,0,None,0.389,0,1,1,1.58,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['286.0_U11', '286.0_U12', '286.0_U13', '286.0_U14', '286.0_U16', '286.0_U17', '286.0_U18', '286.0_U20', '286.0_U5', '286.0_U6', '286.0_U7', '286.0_U8', '510.0_1', '7368.0_1', '7368.0_2', '7369.0_3', '7369.0_4', '50066.0_UNT1', '50066.0_UNT2', '50964.0_IND', '50964.0_SYN', '52158.0_GEN1', '52158.0_GEN2']",0,"[286.0, 286.0, 286.0, 286.0, 286.0, 286.0, 286.0, 286.0, 286.0, 286.0, 286.0, 286.0, 510.0, 7368.0, 7368.0, 7369.0, 7369.0, 50066.0, 50066.0, 50964.0, 50964.0, 52158.0, 52158.0]",0
CA_N,CA_N_hydroelectric_pumped_storage_1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1791,0,20,1791,-1,89.55,0,0,0,-1,0,-1,0,0,38460,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0.266,0,0.866,0.866,0.0063,0,0,0,1,1,0,0,158.7301587,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['104.0_1', '437.0_2', '437.0_4', '437.0_6', '446.0_1', '446.0_2', '446.0_3', '446.0_4', '446.0_5', '446.0_6', '448.0_1', '448.0_2', '448.0_3', '448.0_4', '448.0_5', '448.0_6', '448.0_7', '448.0_8', '6100.0_2', '6100.0_3']",0,"[104.0, 437.0, 437.0, 437.0, 446.0, 446.0, 446.0, 446.0, 446.0, 446.0, 448.0, 448.0, 448.0, 448.0, 448.0, 448.0, 448.0, 448.0, 6100.0, 6100.0]",0
CA_N,CA_N_natural_gas_fired_combined_cycle_1,1,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7714.798,0,14,7714.798,0,551.06,0,0,0,-1,0,-1,0,0,9747,0,0,0,0,0,3.41,0,0,87,2,7.3,0.367,0.259,pacific_naturalgas,0.48,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[3.0, 4.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,"[260.0, 260.0, 55112.0, 55151.0, 55151.0, 55182.0, 55217.0, 55333.0, 55393.0, 55400.0, 55970.0, 56467.0, 56476.0, 56532.0]",1129.825
CA_N,CA_N_natural_gas_fired_combined_cycle_2,2,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2487.499,0,19,2487.499,0,130.92,0,0,0,-1,0,-1,0,0,15620,0,0,0,0,0,4.31,0,0,87,2,8.02,1.223,1.751,pacific_naturalgas,0.476,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, '56298.0_0001', '56298.0_0002', '56298.0_0003', 2.0, 1.0, 1.0]",0,"[7266.0, 7307.0, 7527.0, 7551.0, 7552.0, 10156.0, 10405.0, 50748.0, 55084.0, 55748.0, 55933.0, 56026.0, 56078.0, 56298.0, 56298.0, 56298.0, 57564.0, 57978.0, 58198.0]",0
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,1,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383.804,0,36,1383.804,0,38.44,0,0,0,-1,0,-1,0,0,13415,0,0,0,0,0,4.41,0,0,113,3.5,10.36,3.931,2.458,pacific_naturalgas,0.56,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['7266.0_NA1', '7307.0_1', '7307.0_2', '7307.0_3', '7449.0_NA1', '7527.0_1', '7551.0_CT1C', '10156.0_GEN3', '10649.0_GEN1', '10650.0_GEN1', '50003.0_GEN1', '50064.0_003', '50612.0_GEN1', '50865.0_K100', '52186.0_GEN1', '54410.0_CTG', '54447.0_TI', '54768.0_GEN1', '55499.0_CPP1', '55508.0_CPP2', '55625.0_CT1', '55626.0_CT1', '55627.0_CT1', '55698.0_HEP1', '55698.0_HEP2', '55807.0_HPP1', '55807.0_HPP2', '55811.0_CTG1', '55813.0_CTG1', '55847.0_CTG1', '55855.0_CTG1', '55963.0_CTG1', '56239.0_GT-1', '56239.0_GT-2', '57573.0_S188', '61027.0_PESCT']",0,"[7266.0, 7307.0, 7307.0, 7307.0, 7449.0, 7527.0, 7551.0, 10156.0, 10649.0, 10650.0, 50003.0, 50064.0, 50612.0, 50865.0, 52186.0, 54410.0, 54447.0, 54768.0, 55499.0, 55508.0, 55625.0, 55626.0, 55627.0, 55698.0, 55698.0, 55807.0, 55807.0, 55811.0, 55813.0, 55847.0, 55855.0, 55963.0, 56239.0, 56239.0, 57573.0, 61027.0]",0
CA_N,CA_N_natural_gas_fired_combustion_turbine_2,2,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994.905,0,23,1994.905,0,86.74,0,0,0,-1,0,-1,0,0,10046,0,0,0,0,0,4.41,0,0,113,3.5,10.93,0.898,0.842,pacific_naturalgas,0.497,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['7315.0_1', '7315.0_2', '7315.0_3', '7315.0_4', '55810.0_S3', '55810.0_S4', '55810.0_S5', '56135.0_1', '56135.0_2', '56639.0_1', '56639.0_2', '56803.0_1', '56803.0_2', '56803.0_3', '56803.0_4', '57267.0_1', '57267.0_2', '57267.0_3', '57267.0_4', '57483.0_CTG1', '57483.0_CTG2', '57483.0_CTG3', '57483.0_CTG4']",0,"[7315.0, 7315.0, 7315.0, 7315.0, 55810.0, 55810.0, 55810.0, 56135.0, 56135.0, 56639.0, 56639.0, 56803.0, 56803.0, 56803.0, 56803.0, 57267.0, 57267.0, 57267.0, 57267.0, 57483.0, 57483.0, 57483.0, 57483.0]",813.265
CA_N,CA_N_onshore_wind_turbine_1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1327.6,0,28,1334.396,0,47.66,0,0,0,-1,0,-1,0,0,43205,0,0,0,0,0,0,0,0,0,0,9.12,0,0.024,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['7526.0_2', '7526.0_2B', '7526.0_3', '56075.0_1', '56075.0_2', '56271.0_VEST', '56362.0_1', '56446.0_1', '56654.0_1', '56874.0_TBD', '57201.0_S2.3', '57586.0_1', '57594.0_WTG1', '57626.0_WTG1', '57700.0_1', '57701.0_1', '57725.0_1', '57791.0_WTG1', '58104.0_WTG1', '58105.0_WTG1', '58112.0_WTG1', '59329.0_SOL1', '59330.0_TAY1', '59331.0_ANB2', '60049.0_GE', '61067.0_WTG1', '62654.0_WTG1', '62654.0_WTG2']",0,"[7526.0, 7526.0, 7526.0, 56075.0, 56075.0, 56271.0, 56362.0, 56446.0, 56654.0, 56874.0, 57201.0, 57586.0, 57594.0, 57626.0, 57700.0, 57701.0, 57725.0, 57791.0, 58104.0, 58105.0, 58112.0, 59329.0, 59330.0, 59331.0, 60049.0, 61067.0, 62654.0, 62654.0]",0
CA_N,CA_N_small_hydroelectric_1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,240.597,0,133,729.372,-1,1.81,0,0,0,-1,0,-1,0,0,44560,0,0,0,0,0,0,0,0,0,0,9.12,0,0.002,None,0.085,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['34.0_1P', '161.0_1', '161.0_2', '161.0_3', '162.0_1', '162.0_2', '180.0_1', '214.0_1', '215.0_1', '225.0_1', '227.0_1', '232.0_1', '233.0_1', '237.0_1', '238.0_1', '238.0_2', '241.0_1', '242.0_2', '243.0_1', '244.0_1', '248.0_1', '255.0_1', '255.0_2', '258.0_1', '261.0_1', '262.0_1', '264.0_1', '274.0_1', '274.0_2', '274.0_3', '276.0_1', '277.0_3', '280.0_1', '281.0_1', '282.0_1', '283.0_1', '284.0_1', '290.0_1', '291.0_1', '292.0_1', '292.0_2', '293.0_1', '293.0_2', '293.0_3', '293.0_4', '376.0_1', '376.0_2', '376.0_3', '410.0_1', '413.0_3P', '414.0_1', '416.0_1', '416.0_2', '416.0_3', '418.0_1', '424.0_1', '426.0_1', '428.0_1', '433.0_1', '440.0_1', '440.0_2', '444.0_1', '444.0_2', '489.0_1', '531.0_1', '534.0_1', '537.0_1', '537.0_2', '537.0_3', '626.0_1', '632.0_1', '714.0_1', '751.0_1', '776.0_1', '839.0_7P', '846.0_1', '846.0_2', '846.0_3', '7066.0_1', '7066.0_2', '7129.0_TD1', '7151.0_1', '7151.0_2', '7189.0_1', '7229.0_1', '7338.0_NA1', '7489.0_G1', '7489.0_G2', '7507.0_1', '7646.0_1', '7646.0_2', '7646.0_3', '10128.0_GEN1', '10128.0_GEN2', '10253.0_LGEN', '10253.0_UGEN', '10282.0_BCHY', '10458.0_GEN1', '10706.0_GEN1', '10707.0_GEN1', '10708.0_GEN1', '10709.0_GEN1', '10880.0_GEN1', '10881.0_GEN1', '10882.0_GEN1', '50037.0_UNT1', '50037.0_UNT2', '50129.0_1641', '50129.0_1642', '50129.0_8332', '50156.0_GEN1', '50180.0_GEN1', '50218.0_U1', '50219.0_U1', '50223.0_1296', '50350.0_GEN1', '50352.0_1', '50352.0_2', '50400.0_GEN1', '50546.0_GEN1', '50755.0_GEN1', '50755.0_GEN2', '50892.0_GEN1', '50892.0_GEN2', '54261.0_3385', '54308.0_1', '54554.0_GEN1', '54554.0_GEN2', '54554.0_GEN3', '54654.0_KEK1', '55009.0_GEN1', '59428.0_GENE1', '59428.0_GENE2']",0,"[34.0, 161.0, 161.0, 161.0, 162.0, 162.0, 180.0, 214.0, 215.0, 225.0, 227.0, 232.0, 233.0, 237.0, 238.0, 238.0, 241.0, 242.0, 243.0, 244.0, 248.0, 255.0, 255.0, 258.0, 261.0, 262.0, 264.0, 274.0, 274.0, 274.0, 276.0, 277.0, 280.0, 281.0, 282.0, 283.0, 284.0, 290.0, 291.0, 292.0, 292.0, 293.0, 293.0, 293.0, 293.0, 376.0, 376.0, 376.0, 410.0, 413.0, 414.0, 416.0, 416.0, 416.0, 418.0, 424.0, 426.0, 428.0, 433.0, 440.0, 440.0, 444.0, 444.0, 489.0, 531.0, 534.0, 537.0, 537.0, 537.0, 626.0, 632.0, 714.0, 751.0, 776.0, 839.0, 846.0, 846.0, 846.0, 7066.0, 7066.0, 7129.0, 7151.0, 7151.0, 7189.0, 7229.0, 7338.0, 7489.0, 7489.0, 7507.0, 7646.0, 7646.0, 7646.0, 10128.0, 10128.0, 10253.0, 10253.0, 10282.0, 10458.0, 10706.0, 10707.0, 10708.0, 10709.0, 10880.0, 10881.0, 10882.0, 50037.0, 50037.0, 50129.0, 50129.0, 50129.0, 50156.0, 50180.0, 50218.0, 50219.0, 50223.0, 50350.0, 50352.0, 50352.0, 50400.0, 50546.0, 50755.0, 50755.0, 50892.0, 50892.0, 54261.0, 54308.0, 54554.0, 54554.0, 54554.0, 54654.0, 55009.0, 59428.0, 59428.0]",0
