Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,3.6737909677778463e9,9.165775231349375e8,1.3459043897617256e10
cVar,5.177227732021945e9,4.878673732767067e9,1.2694986562511969e9
cNSE,1.8147621266902152e6,0.0,0.0
cStart,0.0,0.0,0.0
cUnmetRsv,0.0,0.0,0.0
cNetworkExp,7.4099e7,2.9917852177081943e7,0.0
