Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
MA_natural_gas_combined_cycle,1,0.0,7615.242478739472,7287.182165976518,2512.2465570684785
MA_solar_pv,1,0.0,6395.39007325009,6395.39007325009,35891.257771343626
CT_natural_gas_combined_cycle,2,0.0,9729.165812231671,7456.328923778733,1556.3789222962007
CT_onshore_wind,2,0.0,1555.9193227217568,1555.9193227217568,3042.7327730161965
CT_solar_pv,2,0.0,0.0,0.0,29419.646762385775
ME_natural_gas_combined_cycle,3,0.0,0.0,0.0,185.6816326979492
ME_onshore_wind,3,0.0,6948.801054533624,8234.45072555519,7118.469136771829
MA_battery,1,0.0,1887.2299180917241,1887.2299180917241,6132.297989352476
CT_battery,2,0.0,233.8127400261417,224.61086702368354,21042.925886553086
ME_battery,3,0.0,965.97481099512,965.97481099512,0.2881757682198227
Total,n/a,0.0,35331.536210589606,34007.086807392814,106901.92560725384
