Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,6.259926800286399e10,1.404289473538023e10,1.2225246304582527e10
cVar,5.996227201851834e9,5.406237541017728e9,6.003879741502758e9
cNSE,0.0,0.0,0.0
cStart,6.432009293365746e8,5.305817596383659e8,3.356609080795939e8
cUnmetRsv,6.998824807347567e7,4.1106818372922264e7,5.62686616109291e7
cNetworkExp,0.0,0.0,0.0
