Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
467,1.0,0.6269,0.030590979,1.0
468,1.0,0.6626,0.034232326,1.0
469,1.0,0.6526,0.04123871,1.0
470,1.0,0.6325,0.053907212,1.0
471,1.0,0.5865,0.053079225,1.0
472,1.0,0.4871,0.074169755,1.0
473,1.0,0.35,0.094135061,1.0
474,1.0,0.1748,0.228436068,1.0
475,1.0,0.0721,0.482882708,1.0
476,1.0,0.0038,0.473664314,1.0
477,1.0,0.0,0.850350022,1.0
478,1.0,0.0,0.730587542,1.0
479,1.0,0.0,0.574664116,1.0
480,1.0,0.0,0.486055911,1.0
481,1.0,0.0,0.493424475,1.0
482,1.0,0.0,0.554639995,1.0
483,1.0,0.0,0.022347625,1.0
484,1.0,0.0,0.018881368,1.0
485,1.0,0.0,0.01442062,1.0
486,1.0,0.1493,0.019700399,1.0
487,1.0,0.0807,0.016209207,1.0
488,1.0,0.2201,0.100405432,1.0
489,1.0,0.3898,0.012201681,1.0
490,1.0,0.5143,0.00949485,1.0
491,1.0,0.6101,0.002262434,1.0
492,1.0,0.6395,0.014513246,1.0
493,1.0,0.6368,0.067400068,1.0
494,1.0,0.6288,0.1390104,1.0
495,1.0,0.5833,0.269864947,1.0
496,1.0,0.478,0.310260683,1.0
497,1.0,0.345,0.486755341,1.0
498,1.0,0.1708,0.549155653,1.0
499,1.0,0.0667,0.631044269,1.0
500,1.0,0.0,0.414786339,1.0
501,1.0,0.0,0.727302015,1.0
502,1.0,0.0,0.83818835,1.0
503,1.0,0.0,0.794625223,1.0
504,1.0,0.0,0.820741951,1.0
505,1.0,0.0,0.029140173,1.0
506,1.0,0.0,0.021549443,1.0
507,1.0,0.0,0.028266536,1.0
508,1.0,0.0,0.029692581,1.0
509,1.0,0.0,0.047842748,1.0
510,1.0,0.0,0.02966206,1.0
511,1.0,0.0,0.0216818,1.0
512,1.0,0.103,0.030162193,1.0
513,1.0,0.3367,0.030874155,1.0
514,1.0,0.5029,0.064401291,1.0
515,1.0,0.6295,0.096132919,1.0
516,1.0,0.641,0.251246631,1.0
517,1.0,0.6296,0.439191818,1.0
518,1.0,0.6023,0.687519908,1.0
519,1.0,0.4756,0.797796488,1.0
520,1.0,0.3125,0.612847745,1.0
521,1.0,0.0716,0.361977279,1.0
522,1.0,0.0,0.223417595,1.0
523,1.0,0.0,0.196194679,1.0
524,1.0,0.0,0.282487154,1.0
525,1.0,0.0,0.417977035,1.0
526,1.0,0.0,0.811601877,1.0
527,1.0,0.0,0.680375755,1.0
528,1.0,0.0,0.824633181,1.0
529,1.0,0.0,0.829335034,1.0
530,1.0,0.0,0.827947438,1.0
531,1.0,0.0,0.833893955,1.0
532,1.0,0.0,0.51296699,1.0
533,1.0,0.0,0.581139803,1.0
534,1.0,0.0,0.528710842,1.0
535,1.0,0.0,0.75202781,1.0
536,1.0,0.0002,0.237527564,1.0
537,1.0,0.2048,0.333715945,1.0
538,1.0,0.3617,0.219828874,1.0
539,1.0,0.4551,0.282157749,1.0
540,1.0,0.4406,0.188298076,1.0
541,1.0,0.3895,0.203046635,1.0
542,1.0,0.3436,0.336254209,1.0
543,1.0,0.2994,0.321963608,1.0
544,1.0,0.1652,0.272109389,1.0
545,1.0,0.012,0.184450239,1.0
546,1.0,0.0,0.146148682,1.0
547,1.0,0.0,0.425443083,1.0
548,1.0,0.0,0.426421762,1.0
549,1.0,0.0,0.065949477,1.0
550,1.0,0.0,0.037179209,1.0
551,1.0,0.0,0.036425985,1.0
552,1.0,0.0,0.031942323,1.0
553,1.0,0.0,0.013315584,1.0
554,1.0,0.0,0.013699913,1.0
555,1.0,0.0,0.017431565,1.0
556,1.0,0.0,0.018595237,1.0
557,1.0,0.0,0.024938842,1.0
558,1.0,0.0,0.023324806,1.0
559,1.0,0.0,0.029629584,1.0
560,1.0,0.0741,0.020346664,1.0
561,1.0,0.3326,0.045224447,1.0
562,1.0,0.513,0.113456003,1.0
563,1.0,0.6304,0.132276177,1.0
564,1.0,0.6421,0.224611759,1.0
565,1.0,0.6634,0.240549088,1.0
566,1.0,0.6169,0.0,1.0
567,1.0,0.5355,0.279137284,1.0
568,1.0,0.3307,0.0,1.0
569,1.0,0.0844,0.0,1.0
570,1.0,0.0,0.0,1.0
571,1.0,0.0,0.690852761,1.0
572,1.0,0.0,0.666681767,1.0
573,1.0,0.0,0.0,1.0
574,1.0,0.0,0.0,1.0
575,1.0,0.0,0.0,1.0
576,1.0,0.0,0.0,1.0
577,1.0,0.0,0.0,1.0
578,1.0,0.0,0.0,1.0
579,1.0,0.0,0.0,1.0
580,1.0,0.0,0.0,1.0
581,1.0,0.0,0.0,1.0
582,1.0,0.0,0.0,1.0
583,1.0,0.0,0.0,1.0
584,1.0,0.0709,0.0,1.0
585,1.0,0.2937,0.0,1.0
586,1.0,0.4255,0.0,1.0
587,1.0,0.5184,0.0,1.0
588,1.0,0.5122,0.0,1.0
589,1.0,0.4839,0.071674332,1.0
590,1.0,0.4576,0.0,1.0
591,1.0,0.4155,0.05720973,1.0
592,1.0,0.2268,0.033913467,1.0
593,1.0,0.0106,0.013918933,1.0
594,1.0,0.0,0.011696965,1.0
595,1.0,0.0,0.008273281,1.0
596,1.0,0.0,0.007907723,1.0
597,1.0,0.0,0.006915781,1.0
598,1.0,0.0,0.006242153,1.0
599,1.0,0.0,0.006794127,1.0
600,1.0,0.0,0.005869902,1.0
601,1.0,0.0,0.005101557,1.0
602,1.0,0.0,0.004124256,1.0
603,1.0,0.0,0.003758535,1.0
604,1.0,0.0,0.002919416,1.0
605,1.0,0.0,0.003906269,1.0
606,1.0,0.0,0.00568264,1.0
607,1.0,0.0,0.0051051,1.0
608,1.0,0.0,0.002662357,1.0
609,1.0,0.1785,0.00428857,1.0
610,1.0,0.4377,0.010186048,1.0
611,1.0,0.5751,0.026565805,1.0
612,1.0,0.5155,0.026355337,1.0
613,1.0,0.4923,0.02025616,1.0
614,1.0,0.4147,0.009744143,1.0
615,1.0,0.3057,0.012697805,1.0
616,1.0,0.1433,0.037019208,1.0
617,1.0,0.0014,0.014123548,1.0
618,1.0,0.0,0.00427358,1.0
619,1.0,0.0,0.002273578,1.0
620,1.0,0.0,0.009553424,1.0
621,1.0,0.0,0.007988809,1.0
622,1.0,0.0,0.005721671,1.0
623,1.0,0.0,0.002001774,1.0
624,1.0,0.0,0.000688677,1.0
625,1.0,0.0,0.001193504,1.0
626,1.0,0.0,0.002342054,1.0
627,1.0,0.0,0.002372414,1.0
628,1.0,0.0,0.00221322,1.0
629,1.0,0.0,0.004812762,1.0
630,1.0,0.0,0.007317646,1.0
631,1.0,0.0,0.005913043,1.0
632,1.0,0.0727,0.007874532,1.0
633,1.0,0.3305,0.010513831,1.0
634,1.0,0.5087,0.013493519,1.0
635,1.0,0.6255,0.051234551,1.0
636,1.0,0.6438,0.035532594,1.0
637,1.0,0.6342,0.015982417,1.0
638,1.0,0.6073,0.016271932,1.0
639,1.0,0.4905,0.010833261,1.0
640,1.0,0.3167,0.015405776,1.0
641,1.0,0.0647,0.00745156,1.0
642,1.0,0.0,0.001268229,1.0
643,1.0,0.0,0.000340368,1.0
644,1.0,0.0,0.000472501,1.0
645,1.0,0.0,0.000913061,1.0
646,1.0,0.0,0.000460567,1.0
647,1.0,0.0,0.000405724,1.0
648,1.0,0.0,0.000461224,1.0
649,1.0,0.0,0.000425159,1.0
650,1.0,0.0,0.000201664,1.0
651,1.0,0.0,6.14e-5,1.0
652,1.0,0.0,6.2e-5,1.0
653,1.0,0.0,0.000940251,1.0
654,1.0,0.0,0.001688296,1.0
655,1.0,0.0,0.001462118,1.0
656,1.0,0.0732,0.00205039,1.0
657,1.0,0.3249,0.002406735,1.0
658,1.0,0.5055,0.006735122,1.0
659,1.0,0.6259,0.010578658,1.0
660,1.0,0.6462,0.023952477,1.0
661,1.0,0.6498,0.032189377,1.0
662,1.0,0.6233,0.036131389,1.0
663,1.0,0.4959,0.028037485,1.0
664,1.0,0.2951,0.019684512,1.0
665,1.0,0.0327,0.007505227,1.0
666,1.0,0.0,0.003617593,1.0
667,1.0,0.0,0.003890333,1.0
668,1.0,0.0,0.003798491,1.0
669,1.0,0.0,0.003029724,1.0
670,1.0,0.0,0.001596955,1.0
671,1.0,0.0,0.002168473,1.0
672,1.0,0.0,0.002228256,1.0
673,1.0,0.0,0.773680627,1.0
674,1.0,0.0,0.712000728,1.0
675,1.0,0.0,0.705377758,1.0
676,1.0,0.0,0.587508202,1.0
677,1.0,0.0,0.497255266,1.0
678,1.0,0.0,0.419470131,1.0
679,1.0,0.0,0.347015351,1.0
680,1.0,0.0,0.319482148,1.0
681,1.0,0.0007,0.367201984,1.0
