Period_Index,Rep_Period,Rep_Period_Index
1,54,6
2,54,6
3,54,6
4,50,5
5,54,6
6,112,9
7,112,9
8,112,9
9,112,9
10,67,7
11,112,9
12,67,7
13,112,9
14,67,7
15,67,7
16,67,7
17,67,7
18,127,10
19,21,1
20,21,1
21,21,1
22,21,1
23,127,10
24,127,10
25,28,2
26,28,2
27,28,2
28,28,2
29,28,2
30,28,2
31,28,2
32,28,2
33,28,2
34,28,2
35,28,2
36,28,2
37,127,10
38,127,10
39,127,10
40,127,10
41,21,1
42,127,10
43,127,10
44,127,10
45,46,4
46,46,4
47,46,4
48,46,4
49,50,5
50,50,5
51,103,8
52,54,6
