Line,1,2,3,4,5,6,7,8,9,10,Total
Sum,1.6901534e7,747034.3,2.308013e7,8.354957e6,1.0274045e8,3.0328226e7,9.001291e6,2.0221348e7,3.0784752e7,5.276422e6,2.4743613e8
t1,50073.84829764262,4902.730940634887,50572.55844822534,0.0003508670500458494,192772.79239751332,5.067888029832052e-5,5.185141263382016e-5,103671.12318481866,152591.55508966837,0.00040061197347848423,554584.6092125125
t2,33067.43373263246,4.697585710325165e-5,0.00016145518544184235,7.693232705788796e-5,171713.14750455265,45948.209975681,44313.66627224213,126499.96991865762,159479.756525324,4906.94020292618,585929.1244173794
t3,13217.983158455312,4.696467384860464e-5,0.00016403164872419348,7.691917273687325e-5,178266.89283699458,115382.78984208564,44313.66627298939,118416.55128620984,159479.7565180742,2356.9702190190446,631434.6104217436
t4,12545.830884375904,4.39882085846992e-5,0.00015263342961778435,7.214243023190201e-5,175474.16936652325,193814.62887388136,44313.66628254172,81939.44316750727,138756.9121744878,0.0001516721487204104,646844.6511697535
t5,26625.109122281756,4.5220547706416784e-5,19713.498054742664,0.00010021409010715699,183899.00687685207,208049.65285844487,44313.6663212588,54867.40785146489,129548.51019898709,0.0011547682001707101,667016.8525842349
t6,123705.62293086543,4902.730711539312,5.868871829918483e-5,61027.006493642206,341515.7728853932,208049.6531574296,44313.666349932064,112420.71015372957,159479.7564092789,18299.395136279643,1.0737143142867787e6
t7,32740.204854824115,6.640697710194669e-5,7.017713651808945e-5,6.339212227663301e-5,155425.58501684564,0.00012488051632450226,22676.139361651552,88296.05417026233,6.384654825590819e-5,3471.9499596851397,302609.93375197204
t8,70900.87564226039,3243.079019621646,94828.82947158234,50826.64369515412,341497.42078754434,118933.2109157491,29668.44069043641,99213.99935488543,158703.420041257,31315.64696113766,999131.5665796283
t9,74644.31718635086,3254.1764203313896,111218.78042230468,49453.73736685689,276515.79146563326,114494.37583772211,28901.177297614136,113651.77052433051,159069.4645754901,31713.564674090594,962917.1557707246
