Segment,1,2,1,2,1,2,1,2,1,2,1,2,Total
Zone,1,1,2,2,3,3,4,4,5,5,6,6,0
AnnualSum,-2.9954002e-5,28716.441,-2.9955878e-5,23769.162,-2.9951218e-5,9523.592,-2.9948995e-5,1798.0317,-2.99513e-5,0.00019322304,-2.9950585e-5,2.3347231e-5,63807.227
t1,-3.5048343886343965e-12,-2.3576772886608956e-12,-3.505605126240259e-12,-2.3596386858291407e-12,-3.5047034187693292e-12,-2.3629133156661307e-12,-3.504429119561433e-12,-2.362361790607383e-12,-3.5046980404729306e-12,-2.3605611924124626e-12,-3.504589085030438e-12,-2.3650525692883855e-12,-1.759537222380015e-11
t2,-3.5047952798377774e-12,-2.3576838464788366e-12,-3.505676842535829e-12,-2.3596333294530388e-12,-3.504682523371357e-12,-2.357781013507814e-12,-3.5044352391127033e-12,-2.3623761277734902e-12,-3.504676091833346e-12,-2.3552011798740618e-12,-3.504591368558406e-12,-2.365149690496853e-12,-1.7590252835184655e-11
t3,-3.504791953107092e-12,-2.3576655097703656e-12,-3.505589830345045e-12,-2.359629701137446e-12,-3.5046814553688784e-12,-2.357752869044199e-12,-3.5044412999183417e-12,-2.362364200133262e-12,-3.5046787094606125e-12,-2.3551691308196755e-12,-3.5045899645319523e-12,-2.3651805821901045e-12,-1.7590111318773023e-11
t4,-3.504770350770337e-12,-2.3534391484998397e-12,-3.5054869477143143e-12,-2.3555647649630806e-12,-3.504665258498107e-12,-2.3535167788281236e-12,-3.5044329922692875e-12,-2.3584883792063575e-12,-3.50466052948386e-12,-2.3507424563184913e-12,-3.5045547262655136e-12,-2.356041354818549e-12,-1.75774432492738e-11
t5,-3.504774856477675e-12,-2.3539298513929348e-12,-3.5052684341424262e-12,-2.356070786710625e-12,-3.5046723352152278e-12,-2.3535162246788307e-12,-3.5044413105814316e-12,-2.358933646517657e-12,-3.5046808240097845e-12,-2.350742084285034e-12,-3.5045558279863843e-12,-2.356040874345596e-12,-1.757823248861772e-11
t6,-3.5048212606869198e-12,-2.3577571346006187e-12,-3.5051749852148584e-12,-2.3643235671502287e-12,-3.504690794243023e-12,-2.361270884067356e-12,-3.504454746600977e-12,-2.366773934385892e-12,-3.50471263681028e-12,-2.3588310813200207e-12,-3.5045749715592533e-12,-2.3642171103791834e-12,-1.7598038625963007e-11
t7,-3.5049057449771475e-12,-2.3678356202855924e-12,-3.5050852986731523e-12,-2.3695076864623346e-12,-3.504658639970886e-12,-2.368884972601296e-12,-3.5044337936635776e-12,-2.3716778355709185e-12,-3.5046962503262432e-12,-2.3667681763181997e-12,-3.504598536233977e-12,-2.369429323287342e-12,-1.7620877962970406e-11
t8,-3.5051680560903158e-12,-2.4178185075344665e-12,-3.505250750272176e-12,-2.4177647103863648e-12,-3.5048798649413705e-12,-2.4178389896065107e-12,-3.504625725975715e-12,-2.4177136300683528e-12,-3.5049296725181224e-12,-2.41774045787664e-12,-3.50480503828323e-12,-2.4177312944130775e-12,-1.7768720878831203e-11
t9,-3.5051434456966758e-12,-2.417841483872714e-12,-3.5051601234566466e-12,-2.417795107616511e-12,-3.5048898640137393e-12,-2.4178370652300204e-12,-3.504615187911532e-12,-2.4177092791030632e-12,-3.5049341823600213e-12,-2.417738837069118e-12,-3.504803854942836e-12,-2.417724680291888e-12,-1.7768667089886308e-11
t10,-3.5051282440038354e-12,-2.417832247347881e-12,-3.505163766344337e-12,-2.417778352709029e-12,-3.504890367961073e-12,-2.4178293520133205e-12,-3.504589993254325e-12,-2.417696681655963e-12,-3.5049283512749636e-12,-2.417728882091884e-12,-3.504797737606232e-12,-2.4177454052943263e-12,-1.7768622330379478e-11
t11,-3.5051472010362782e-12,-2.4178111253429217e-12,-3.5051512631281134e-12,-2.4177545269578384e-12,-3.5048823581815146e-12,-2.4178115427737775e-12,-3.5045680951261173e-12,-2.4176710759196968e-12,-3.5049249544131386e-12,-2.4177134955514394e-12,-3.5046533486515776e-12,-2.3857523853641762e-12,-1.7768558017420445e-11
t12,-3.505189683481907e-12,-2.417781492633689e-12,-3.505198779268463e-12,-2.4177299780883196e-12,-3.504875405559593e-12,-2.4177916865545706e-12,-3.5045534405301924e-12,-2.4176462639885985e-12,-3.5049232531891155e-12,-2.417699089056998e-12,-3.5046422633775473e-12,-2.3855316831087635e-12,-1.7768567025586542e-11
t13,-3.5050544533420072e-12,-2.3881251382088892e-12,-3.505140238690829e-12,-2.387028253741447e-12,-3.5047254718663e-12,-2.387155956413231e-12,-3.5044073611756092e-12,-2.3883326601879443e-12,-3.5047897499727385e-12,-2.387484893844779e-12,-3.5046319878038173e-12,-2.38548627785324e-12,-1.7677229512262704e-11
t14,-3.5050675229412047e-12,-2.3814390127239994e-12,-3.505250465866024e-12,-2.3819305225558267e-12,-3.5047173622268686e-12,-2.3845140237070838e-12,-3.5043740926333786e-12,-2.383484746049006e-12,-3.504763343690689e-12,-2.3830705806228953e-12,-3.5046137565184047e-12,-2.383122524948462e-12,-1.7662918910021007e-11
t15,-3.505063254272886e-12,-2.3707797716143485e-12,-3.5053357911834103e-12,-2.3693878651103807e-12,-3.504663248920576e-12,-2.3748077329178956e-12,-3.504314269959329e-12,-2.3715483822563306e-12,-3.5047054387179557e-12,-2.3729537950604446e-12,-3.504561273543606e-12,-2.373003660537407e-12,-1.76300376640195e-11
t16,-3.505033249529758e-12,-2.3708742680998003e-12,-3.5052818090941036e-12,-2.369353068721794e-12,-3.5046798859722337e-12,-2.374907096574725e-12,-3.5043166923673713e-12,-2.3715129276985357e-12,-3.504716877353143e-12,-2.3730575481194107e-12,-3.5045585024148614e-12,-2.373103698535807e-12,-1.7630129377992416e-11
t17,-3.5049786202199477e-12,-2.366180393480851e-12,-3.5052094328545406e-12,-2.364262240718106e-12,-3.5046694766158775e-12,-2.368890317295401e-12,-3.5042983533147403e-12,-2.3666600373106947e-12,-3.5047174161847554e-12,-2.3686048215633434e-12,-3.5045307845165335e-12,-2.3668260382100437e-12,-1.7614190481184724e-11
t18,-3.5049673627245903e-12,-2.3649048005608552e-12,-3.505111842913255e-12,-2.3642394981506674e-12,-3.5046552512635812e-12,-2.3688435977138888e-12,-3.504302867083037e-12,-2.3666443884016707e-12,-3.5047281519707977e-12,-2.3706442983219855e-12,-3.5045254379237427e-12,-2.3667837685448238e-12,-1.7612722353326837e-11
t19,-3.504889020181259e-12,-2.3533050681624287e-12,-3.504971516110831e-12,-2.3508969742282662e-12,-3.5046201419529634e-12,-2.353945329726296e-12,-3.504268509472783e-12,-2.3476474093600625e-12,-3.5046791562232395e-12,-2.3563898560371088e-12,-3.5044877613460552e-12,-2.3524982914359856e-12,-1.7572628050362044e-11
t20,-3.504469321198652e-12,-2.244756891250149e-12,-3.504873358838218e-12,-2.2378198366267083e-12,-3.504285827573507e-12,-2.246378263116373e-12,-3.5039229124204327e-12,-2.2442547170066308e-12,-3.504313305055524e-12,-2.2536996174655537e-12,-3.504127649118329e-12,-2.253706302598942e-12,-1.7242583498603608e-11
t21,-3.5047771261041903e-12,-2.3132078404388087e-12,-3.5052172229367647e-12,-2.310043600725156e-12,-3.504523767821039e-12,-2.3165967278096516e-12,-3.50418395850258e-12,-2.315206061838262e-12,-3.5045168938531816e-12,-2.3183789699515324e-12,-3.504373937381689e-12,-2.3206897781772296e-12,-1.745436628583561e-11
t22,-3.5049258296502084e-12,-2.347805113084082e-12,-3.5052230865902936e-12,-2.3494383264889113e-12,-3.5046841245902216e-12,-2.353532178206095e-12,-3.5043605540370353e-12,-2.3526149242457535e-12,-3.5046778278966305e-12,-2.3511922613485697e-12,-3.504530275713486e-12,-2.35604323878907e-12,-1.7565608658609813e-11
t23,-3.504946973793762e-12,-2.3538286655659953e-12,-3.505431946101564e-12,-2.3559462927243126e-12,-3.5047054689224255e-12,-2.3589986260742022e-12,-3.5044029711177595e-12,-2.358832513279176e-12,-3.504690512750233e-12,-2.3564847197856634e-12,-3.5045595901762943e-12,-2.361278121872785e-12,-1.758385797318226e-11
t24,-3.504918413258386e-12,-2.357630733413032e-12,-3.505640694023336e-12,-2.3595729932454272e-12,-3.504701256225656e-12,-2.3607481412154047e-12,-3.504421816410454e-12,-2.3623190529963267e-12,-3.504684339495483e-12,-2.3582939839822326e-12,-3.5045646355305625e-12,-2.36295581308522e-12,-1.7593212231381242e-11
t25,-3.5049146028594314e-12,-2.3593414306397913e-12,-3.5054091490304983e-12,-2.3612742827372973e-12,-3.504726371267194e-12,-2.3644447996464214e-12,-3.5044427588334936e-12,-2.3639003892386277e-12,-3.5047326810874112e-12,-2.3621629070233734e-12,-3.504585391779615e-12,-2.3666707755606314e-12,-1.7600110636180633e-11
t26,-3.504911905941528e-12,-2.3576658997033342e-12,-3.5052976831615406e-12,-2.35978577250938e-12,-3.5047094250494394e-12,-2.3590704081118487e-12,-3.5044467799083228e-12,-2.362474870323447e-12,-3.5047221686452767e-12,-2.356553569271311e-12,-3.504585646093624e-12,-2.365249176503332e-12,-1.759144109447707e-11
t27,-3.5048826736823843e-12,-2.35767274439082e-12,-3.5052393949101705e-12,-2.3596749836438034e-12,-3.5047062334141597e-12,-2.358936234379977e-12,-3.5044481385063607e-12,-2.362368061785748e-12,-3.504724203540117e-12,-2.3564097016656573e-12,-3.5045687065835575e-12,-2.361220334804339e-12,-1.7591112264421314e-11
t28,-3.5048796156895924e-12,-2.357647888213533e-12,-3.5050670360947543e-12,-2.359679639277952e-12,-3.504710990264795e-12,-2.357747810196778e-12,-3.5044490612938175e-12,-2.362346589592419e-12,-3.504733494233736e-12,-2.355166515350538e-12,-3.5045651091937626e-12,-2.3600779330401077e-12,-1.7589732979737408e-11
t29,-3.5048573773663987e-12,-2.353901109803159e-12,-3.5049245466406416e-12,-2.3560884374831145e-12,-3.504707553608651e-12,-2.353977228341662e-12,-3.5044280980413275e-12,-2.358901735430567e-12,-3.5047316339997423e-12,-2.351232816305929e-12,-3.504546846760435e-12,-2.356467201427955e-12,-1.757845625324363e-11
