Zone,1,2,3,4,5,6
t162,-2.9635363038222895e-10,-2.1126581934493197e-10,-4.946657385280083e-10,-1.970280987548888e-10,-2.723570027072402e-10,-4.121415057172019e-10
t163,-3.048556186806667e-10,-2.1731666621154444e-10,-5.03402870237869e-10,-2.0057911697e-10,-2.752494242807531e-10,-4.1467499570133635e-10
t164,-3.089343022835806e-10,-2.2020919384147106e-10,-5.07668889402702e-10,-2.0705833116283795e-10,-2.728126551850484e-10,-4.1496142782869705e-10
t165,-3.0896650883654807e-10,-2.2024199188836737e-10,-5.269215916398873e-10,-2.1777554090964306e-10,-2.7526006763518543e-10,-4.2782798750334614e-10
t166,-3.250967917308288e-10,-2.3171410121728143e-10,-5.639362500109561e-10,-2.3212023020177092e-10,-2.906685698278268e-10,-4.485767769418163e-10
t167,-3.5170808675319604e-10,-2.506622992106057e-10,-5.942883658499689e-10,-2.477437661147754e-10,-3.1054157930628126e-10,-4.724843656464996e-10
t168,-3.793348225189471e-10,-2.70353895293265e-10,-6.241526098579358e-10,-2.6196375771718716e-10,-3.2948930131499306e-10,-4.888372891234632e-10
t169,-1.514500905566937e-8,-1.0797325225176911e-8,-2.60482967159124e-8,-1.1693872674899176e-8,-1.4067723832741098e-8,-2.1878955849047055e-8
t170,-1.6175738034955675e-8,-1.1531333609211461e-8,-2.675726335815637e-8,-1.2119864002496648e-8,-1.4630928299623776e-8,-2.229510966902415e-8
t171,-1.6818996150596475e-8,-1.1990221806581322e-8,-2.738242463075837e-8,-1.2472680186709101e-8,-1.496439868212326e-8,-2.2684236609376783e-8
t172,-1.736170772600844e-8,-1.2387496970394114e-8,-2.76418045111437e-8,-1.2779080757655631e-8,-1.5116057033177704e-8,-2.311050279916498e-8
t173,-1.8468171241585197e-8,-1.3205879710234883e-8,-2.7686391278315584e-8,-1.3036384150331647e-8,-1.5097720973974216e-8,-2.3220047664804546e-8
t174,-2.0269243032650433e-8,-1.4359768274973765e-8,-2.7588492412452983e-8,-1.3340195025706788e-8,-1.500855968950217e-8,-2.3785509579637786e-8
t175,-2.2752494999664337e-8,-1.5959583316064853e-8,-2.6784903641061378e-8,-1.2923744895982675e-8,-1.4520791517276894e-8,-2.3872566875268634e-8
t176,-2.3505292072131107e-8,-1.6401776262539756e-8,-2.529960170992426e-8,-1.1936554641974663e-8,-1.3546743459795278e-8,-2.2846267976199328e-8
t177,-2.220024926778675e-8,-1.5502798155474216e-8,-2.3812334557420758e-8,-1.0826467622525032e-8,-1.2548506863921376e-8,-2.187501022940339e-8
t178,-2.0285621052885285e-8,-1.417461898107894e-8,-2.2336429924634053e-8,-9.89047002245873e-9,-1.1842231767133615e-8,-2.0855327545139065e-8
t179,-1.8205589361799415e-8,-1.2728394587150126e-8,-2.122161455805711e-8,-9.18631242549773e-9,-1.1378092830075194e-8,-2.0128302339589233e-8
